Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Кугарчинская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692					
1	"Число избирателей, внесенных в списки"	23375	308	418	366	562	355	275	525	490	617	379	204	337	698	1174	723	1253	517	459	306	337	254	221	413	714	309	102	184	776	205	126	128	638	219	248	175	252	248	516	930	1612	1425	485	637	88	442	519	352	225	254	160	215					
2	"Число бюллетеней, полученных участковыми комиссиями"	23233	302	446	363	550	356	272	525	482	588	364	205	347	734	1169	704	1257	496	462	306	334	282	245	415	704	322	115	177	773	204	127	128	653	222	265	170	241	241	473	868	1557	1311	504	613	86	442	600	340	255	248	171	219					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18698	278	382	326	454	339	218	458	417	467	345	202	292	443	802	525	937	463	357	296	271	224	197	290	508	299	95	139	675	155	111	128	559	197	199	127	197	191	401	654	1175	1075	400	525	78	394	396	289	199	222	153	174					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1669	23	36	30	41	16	11	45	0	77	18	2	45	75	52	38	10	16	100	10	46	30	24	53	89	10	7	20	17	30	12	0	45	22	49	10	20	31	14	37	70	87	5	57	8	25	105	34	26	7	7	27					
6	Число погашенных бюллетеней	2866	1	28	7	55	1	43	22	65	44	1	1	10	216	315	141	310	17	5	0	17	28	24	72	107	13	13	18	81	19	4	0	49	3	17	33	24	19	58	177	312	149	99	31	0	23	99	17	30	19	11	18					
7	Число бюллетеней в переносных ящиках для голосования	1669	23	36	30	41	16	11	45	0	77	18	2	45	75	52	38	10	16	100	10	46	30	24	53	89	10	7	20	17	30	12	0	45	22	49	10	20	31	14	37	70	87	5	57	8	25	105	34	26	7	7	27					
8	Число бюллетеней в стационарных ящиках для голосования	18690	278	382	326	454	339	218	457	417	467	345	202	292	443	802	525	937	462	357	296	271	224	197	290	508	299	95	139	671	155	111	128	559	197	199	127	197	191	401	654	1175	1073	400	525	78	394	396	289	199	222	153	174					
9	Число недействительных бюллетеней	374	3	12	4	3	3	5	2	0	18	0	3	14	8	1	1	24	0	3	0	9	7	15	16	22	0	1	0	19	7	2	0	3	13	2	6	1	2	14	8	18	39	7	4	3	14	5	18	12	0	0	3					
10	Число действительных бюллетеней	19985	298	406	352	492	352	224	500	417	526	363	201	323	510	853	562	923	478	454	306	308	247	206	327	575	309	101	159	669	178	121	128	601	206	246	131	216	220	401	683	1227	1121	398	578	83	405	496	305	213	229	160	198					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	2	4	2	4	0	0	4	4	4	4	3	4	8	23	7	23	4	4	4	4	4	2	6	8	4	2	4	8	4	2	2	8	3	4	2	5	5	6	11	26	24	6	8	2	4	8	4	4	4	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	154	2	0	2	1	0	0	0	0	0	4	0	1	3	5	5	7	0	0	0	0	2	2	3	8	4	0	0	8	1	1	0	7	0	2	0	0	0	5	11	24	21	6	5	1	0	5	0	1	3	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	234	2	0	0	5	10	2	3	7	4	15	0	0	2	24	36	33	9	4	2	3	0	3	2	7	0	1	3	4	0	2	2	3	6	2	3	3	0	2	2	7	9	0	0	3	0	1	1	0	2	2	3					
14	Число погашенных открепительных удостоверений	146	0	4	0	3	0	0	4	4	4	0	3	3	5	18	2	16	4	4	4	4	2	0	3	0	0	2	4	0	3	1	2	1	3	2	2	5	5	1	0	2	3	0	3	1	4	3	4	3	1	4	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	575	17	16	3	28	8	6	16	2	8	10	2	4	0	22	15	30	8	16	8	0	8	9	17	21	8	3	1	14	6	5	3	36	14	12	5	4	13	17	22	22	29	9	3	7	11	26	8	10	6	1	6					
		2.82%	5.64%	3.82%	0.84%	5.65%	2.25%	2.62%	3.18%	0.47%	1.47%	2.75%	0.98%	1.18%	0.0%	2.57%	2.66%	3.16%	1.67%	3.50%	2.61%	0.0%	3.14%	4.07%	4.95%	3.51%	2.58%	2.94%	0.62%	2.03%	3.24%	4.06%	2.34%	5.96%	6.39%	4.83%	3.64%	1.84%	5.85%	4.09%	3.18%	1.76%	2.5%	2.22%	0.51%	8.13%	2.62%	5.18%	2.47%	4.44%	2.62%	0.62%	2.98%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	168	5	0	2	4	0	1	0	2	5	6	0	6	3	4	8	17	4	0	0	2	1	1	1	2	3	0	1	5	3	0	0	7	0	0	3	2	1	3	4	17	21	8	2	1	0	5	2	0	3	1	2					
		0.82%	1.66%	0.0%	0.56%	0.80%	0.0%	0.43%	0.0%	0.47%	0.91%	1.65%	0.0%	1.78%	0.57%	0.46%	1.42%	1.79%	0.83%	0.0%	0.0%	0.63%	0.39%	0.45%	0.29%	0.33%	0.97%	0.0%	0.62%	0.72%	1.62%	0.0%	0.0%	1.15%	0.0%	0.0%	2.18%	0.92%	0.45%	0.72%	0.57%	1.36%	1.81%	1.97%	0.34%	1.16%	0.0%	0.99%	0.61%	0.0%	1.31%	0.62%	0.99%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	333	6	2	4	7	2	1	3	9	12	10	2	8	11	27	3	19	0	1	0	4	4	3	8	13	1	1	2	12	2	4	0	3	6	11	1	6	3	4	18	32	26	3	7	2	2	13	6	2	3	0	4					
		1.63%	1.99%	0.47%	1.12%	1.41%	0.56%	0.43%	0.59%	2.15%	2.20%	2.75%	0.98%	2.37%	2.12%	3.16%	0.53%	2.00%	0.0%	0.21%	0.0%	1.26%	1.57%	1.35%	2.33%	2.17%	0.32%	0.98%	1.25%	1.74%	1.08%	3.25%	0.0%	0.49%	2.73%	4.43%	0.72%	2.76%	1.35%	0.96%	2.60%	2.57%	2.24%	0.74%	1.20%	2.32%	0.47%	2.59%	1.85%	0.88%	1.31%	0.0%	1.99%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	177	1	3	0	3	0	0	3	3	4	4	2	0	3	6	10	14	5	2	0	0	0	2	2	12	0	1	0	5	6	1	2	0	2	4	0	3	0	3	2	22	19	8	5	1	0	1	6	0	4	0	3					
		0.86%	0.33%	0.71%	0.0%	0.60%	0.0%	0.0%	0.59%	0.71%	0.73%	1.10%	0.98%	0.0%	0.57%	0.70%	1.77%	1.47%	1.04%	0.43%	0.0%	0.0%	0.0%	0.90%	0.58%	2.01%	0.0%	0.98%	0.0%	0.72%	3.24%	0.81%	1.56%	0.0%	0.91%	1.61%	0.0%	1.38%	0.0%	0.72%	0.28%	1.76%	1.63%	1.97%	0.85%	1.16%	0.0%	0.19%	1.85%	0.0%	1.74%	0.0%	1.49%					
22	"5. ""За Русь Святую"""	54	0	0	1	1	0	0	0	0	1	4	0	4	3	5	3	1	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	3	6	6	2	0	2	0	0	1	1	0	0	1	0					
		0.26%	0.0%	0.0%	0.28%	0.20%	0.0%	0.0%	0.0%	0.0%	0.18%	1.10%	0.0%	1.18%	0.57%	0.58%	0.53%	0.10%	0.20%	0.0%	0.0%	0.0%	0.0%	2.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.72%	0.0%	0.0%	0.72%	0.86%	0.48%	0.17%	0.0%	0.34%	0.0%	0.0%	0.19%	0.30%	0.0%	0.0%	0.62%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	67	1	1	0	0	0	1	3	0	2	0	1	0	0	6	0	3	2	0	0	0	0	0	3	2	0	2	1	3	0	2	2	4	1	1	0	0	1	0	5	4	4	1	2	1	3	0	2	1	2	0	0					
		0.32%	0.33%	0.23%	0.0%	0.0%	0.0%	0.43%	0.59%	0.0%	0.36%	0.0%	0.49%	0.0%	0.0%	0.70%	0.0%	0.31%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.33%	0.0%	1.96%	0.62%	0.43%	0.0%	1.62%	1.56%	0.66%	0.45%	0.40%	0.0%	0.0%	0.45%	0.0%	0.72%	0.32%	0.34%	0.24%	0.34%	1.16%	0.71%	0.0%	0.61%	0.44%	0.87%	0.0%	0.0%					
