Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
"Наименование Избирательной комиссии:    Улан-Удэ, Советская"																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787					
1	"Число избирателей, внесенных в списки избирателей"	55730	1174	1230	1556	889	1772	1727	2622	2133	1736	846	1516	1608	2412	2018	1797	2814	2715	2479	2143	1993	2005	2248	963	2575	2072	2449	917	1477	2867	10	114	25	139	77	612					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52540	1000	1000	1400	800	1600	1600	2500	1900	1500	800	1300	1500	2200	2100	1600	2700	2600	2300	2000	1900	1900	2300	1100	2600	1900	2300	800	1300	2700	10	200	40	150	140	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27226	512	488	783	569	865	918	1156	831	992	426	1004	938	1327	898	905	1438	1090	973	807	931	1070	1211	952	904	950	1161	390	549	1241	10	114	25	110	76	612					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	900	81	17	47	10	73	39	36	26	38	29	9	33	47	28	13	68	35	27	14	43	30	10	11	42	11	12	16	9	27	0	0	0	18	1	0					
6	Число погашенных избирательных бюллетеней	24413	407	495	570	221	662	643	1308	1043	470	345	287	529	826	1174	682	1194	1475	1300	1179	926	800	1079	137	1654	938	1127	394	742	1432	0	86	15	22	63	188					
7	Число избирательных бюллетеней в переносных ящиках для голосования	900	81	17	47	10	73	39	36	26	38	29	9	33	47	28	13	68	35	27	14	43	30	10	11	42	11	12	16	9	27	0	0	0	18	1	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27218	512	488	783	569	862	918	1156	831	992	426	1004	938	1327	898	905	1438	1090	973	807	929	1069	1211	952	904	948	1161	390	549	1241	10	114	25	110	76	612					
9	Число недействительных избирательных бюллетеней	792	10	26	19	23	12	15	75	17	13	4	13	26	17	22	17	28	25	30	24	44	41	15	37	22	26	25	13	17	63	0	23	2	3	0	45					
10	Число действительных избирательных бюллетеней	27326	583	479	811	556	923	942	1117	840	1017	451	1000	945	1357	904	901	1478	1100	970	797	928	1058	1206	926	924	933	1148	393	541	1205	10	91	23	125	77	567					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1995	69	69	69	69	68	69	69	69	69	69	69	67	67	69	69	69	69	69	69	70	69	69	69	69	69	69	67	69	69	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	409	8	6	10	13	26	14	16	15	22	13	15	16	24	17	15	23	12	16	12	11	7	27	2	18	8	14	4	12	13	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	465	17	7	19	3	9	18	27	16	19	3	21	14	55	11	13	7	24	14	12	3	6	8	3	15	11	20	6	11	8	0	28	5	5	0	27					
