Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Сычевская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10980	196	109	267	595	335	247	312	489	486	273	241	305	161	414	145	2317	2311	1777									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10374	194	108	276	595	340	247	315	488	491	275	238	302	165	416	150	1628	2337	1809									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4966	85	55	134	177	189	132	151	315	232	111	55	202	78	142	117	958	1075	758									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1750	33	25	84	258	43	43	95	88	189	50	94	78	21	64	19	498	36	32									
6	Число погашенных избирательных бюллетеней	3658	76	28	58	160	108	72	69	85	70	114	89	22	66	210	14	172	1226	1019									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1750	33	25	84	258	43	43	95	88	189	50	94	78	21	64	19	498	36	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4965	85	55	134	177	189	131	151	315	232	111	55	202	78	142	117	958	1075	758									
9	Число недействительных избирательных бюллетеней	168	0	1	5	0	0	0	4	7	3	1	1	19	3	2	0	86	24	12									
10	Число действительных избирательных бюллетеней	6547	118	79	213	435	232	174	242	396	418	160	148	261	96	204	136	1370	1087	778									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	183	5	5	10	5	10	5	5	5	5	5	5	10	5	5	8	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	3	0	10	1	7	3	0	2	4	2	3	0	5	3	4	13	21	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	5	2	3	6	3	4	3	6	2	1	2	3	2	2	1	10	9	10									
14	Число погашенных неиспользованных открепительных удостоверений	78	2	5	0	4	3	2	5	3	1	3	2	10	0	2	4	17	9	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	1	2	2	1	1	3	2	3	0	0	0	0	0	0	3	5	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
