Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																		
Дата голосования: 18.09.2016																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Неклиновская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																		
																																																																																																		
		Сумма	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №2381	УИК №2620	УИК №8345									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69057	193	435	908	845	695	645	236	701	1225	1701	1428	656	154	364	63	128	275	286	1162	232	753	465	1289	140	181	696	1152	1019	1527	979	1096	2528	2580	762	500	393	765	689	731	269	323	299	644	256	538	957	2554	2688	2497	2517	1743	586	1155	364	1122	544	1717	1334	704	376	505	1068	805	114	465	761	1396	1562	232	232	691	157	150	104	154	379	1657	1146	1733	123	148	152	636	121	87	198	517									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81635	193	436	906	849	710	649	237	705	1230	1708	1431	664	154	366	58	126	271	288	1145	231	755	464	1268	138	182	657	1159	1005	1537	978	1103	2546	2583	766	510	397	767	692	737	267	324	299	624	254	538	956	2548	2724	2523	2553	1748	580	1155	356	1117	550	1726	1338	712	364	502	1068	818	112	461	757	1383	1575	228	227	694	150	150	102	156	379	1666	1147	1731	122	148	152	637	118	95	200	13000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27418	121	304	408	282	407	311	92	256	317	533	385	252	79	122	32	82	144	150	604	86	350	145	514	68	103	313	397	289	539	286	351	820	906	266	167	93	234	221	307	110	188	146	287	116	265	343	829	1785	1012	1266	512	149	696	157	455	188	631	441	460	154	145	319	235	59	167	418	348	381	117	103	343	111	117	86	103	224	598	346	631	20	89	41	178	48	87	65	513									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3420	16	26	91	77	43	55	30	77	70	29	93	88	17	44	6	8	37	60	145	23	85	41	98	13	25	80	17	30	45	21	39	42	97	30	48	23	30	14	17	24	6	28	19	21	45	34	68	31	125	29	58	30	47	16	110	9	53	44	7	8	35	30	16	13	32	54	43	29	7	20	82	8	24	4	24	57	44	128	57	24	2	18	11	0	0	12	4									
6	Число погашенных избирательных бюллетеней	50797	56	106	407	490	260	283	115	372	843	1146	953	324	58	200	20	36	90	78	396	122	320	278	656	57	54	264	745	686	953	671	713	1684	1580	470	295	281	503	457	413	133	130	125	318	117	228	579	1651	908	1386	1258	1178	401	412	183	552	353	1042	853	245	202	322	719	567	40	262	285	992	1165	104	104	269	31	9	12	29	98	1024	673	1043	78	57	93	448	70	8	123	12483									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3420	16	26	91	77	43	55	30	77	70	29	93	88	17	44	6	8	37	60	145	23	85	41	98	13	25	80	17	30	45	21	39	42	97	30	48	23	30	14	17	24	6	28	19	21	45	34	68	31	125	29	58	30	47	16	110	9	53	44	7	8	35	30	16	13	32	54	43	29	7	20	82	8	24	4	24	57	44	128	57	24	2	18	11	0	0	12	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27367	121	304	408	282	407	311	92	256	315	533	385	252	79	122	32	82	144	150	604	86	350	145	513	68	103	313	397	289	539	286	351	820	906	266	167	93	234	221	307	110	188	146	284	116	263	343	829	1785	1012	1266	512	149	696	157	455	188	631	441	460	154	145	319	235	59	167	418	305	381	117	103	343	111	117	86	103	224	598	346	631	20	89	41	178	48	87	65	513									
9	Число недействительных избирательных бюллетеней	511	6	2	12	0	0	0	1	11	2	13	12	3	3	4	0	0	0	0	16	1	0	0	20	1	1	4	7	15	4	10	7	14	15	5	7	5	4	3	1	3	4	1	5	4	14	7	4	23	20	16	11	2	0	8	6	5	20	17	8	3	5	0	9	1	13	2	8	11	3	0	9	0	0	0	0	1	14	13	14	1	1	0	7	0	1	3	5									
10	Число действительных избирательных бюллетеней	30276	131	328	487	359	450	366	121	322	383	549	466	337	93	162	38	90	181	210	733	108	435	186	591	80	127	389	407	304	580	297	383	848	988	291	208	111	260	232	323	131	190	173	298	133	294	370	893	1793	1117	1279	559	177	743	165	559	192	664	468	459	159	175	349	242	71	186	470	340	399	121	123	416	119	141	90	127	280	628	461	674	43	90	59	182	48	86	74	512									
