Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Левокумская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712					
1	"Число избирателей, внесенных в списки избирателей"	29174	2155	2003	1947	2187	1732	2017	1007	1814	2764	1939	1940	1355	1142	1072	516	947	855	413	1369					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28050	2100	1900	1900	2000	1700	1900	1000	1800	2700	1900	1900	1300	1100	1000	450	900	800	400	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15649	1020	991	1182	1070	936	1066	559	944	1694	983	969	751	847	605	256	518	438	195	625					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1330	120	70	113	91	56	130	55	86	106	56	58	51	18	63	18	66	35	19	119					
6	Число погашенных избирательных бюллетеней	11071	960	839	605	839	708	704	386	770	900	861	873	498	235	332	176	316	327	186	556					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1330	120	70	113	91	56	130	55	86	106	56	58	51	18	63	18	66	35	19	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15649	1020	991	1182	1070	936	1066	559	944	1694	983	969	751	847	605	256	518	438	195	625					
9	Число недействительных избирательных бюллетеней	169	7	6	12	2	10	36	4	8	10	38	4	3	6	0	2	6	3	3	9					
10	Число действительных избирательных бюллетеней	16810	1133	1055	1283	1159	982	1160	610	1022	1790	1001	1023	799	859	668	272	578	470	211	735					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	298	25	14	20	25	17	20	10	18	27	19	19	13	10	19	2	10	10	5	15					
