Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Нагорный район																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850					
1	"Число избирателей, внесенных в список избирателей"	46135	1994	2254	2026	1567	1915	2507	2459	2210	281	2400	2853	1490	2718	2368	2702	1919	2509	2292	2842	2639	2190					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44800	1900	2200	1900	1400	1900	2400	2400	2100	500	2300	2700	1400	2900	2300	2600	1900	2400	2200	2700	2600	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	32352	1276	1657	1328	1198	1475	1808	1520	1554	139	1679	1946	999	1332	1794	1999	1667	1619	1856	2030	1851	1625					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	656	54	46	27	26	7	39	50	33	2	29	43	44	21	24	28	32	36	23	30	38	24					
6	Число погашенных избирательных бюллетеней	11792	570	497	545	176	418	553	830	513	359	592	711	357	1547	482	573	201	745	321	640	711	451					
7	Число избирательных бюллетеней в переносных ящиках для голосования	656	54	46	27	26	7	39	50	33	2	29	43	44	21	24	28	32	36	23	30	38	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32341	1276	1657	1328	1197	1475	1808	1520	1554	139	1676	1946	999	1329	1794	1999	1667	1619	1856	2030	1851	1621					
9	Число недействительных избирательных бюллетеней	629	30	36	18	25	9	49	35	81	6	32	27	19	39	21	51	0	17	22	33	55	24					
10	Число действительных избирательных бюллетеней	32368	1300	1667	1337	1198	1473	1798	1535	1506	135	1673	1962	1024	1311	1797	1976	1699	1638	1857	2027	1834	1621					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1463	70	70	70	70	70	75	75	70	10	75	75	70	75	75	75	70	75	70	75	75	73					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1056	70	70	52	23	38	26	45	44	10	75	75	25	70	56	56	70	43	70	42	53	43					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1828	69	78	82	115	57	103	71	101	18	126	108	71	72	95	82	69	70	77	142	132	90					
14	Число погашенных неиспользованных открепительных удостоверений	407	0	0	18	47	32	49	30	26	0	0	0	45	5	19	19	0	32	0	33	22	30					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	137	5	3	5	4	12	14	8	10	2	7	11	5	7	11	12	6	1	5	5	2	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2952	153	160	148	94	72	150	150	177	21	202	112	72	220	229	243	128	88	53	160	205	115					
		8.95%	11.50%	9.40%	10.92%	7.69%	4.86%	8.12%	9.55%	11.15%	14.89%	11.85%	5.63%	6.90%	16.30%	12.60%	11.99%	7.53%	5.32%	2.82%	7.77%	10.85%	6.99%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2438	104	159	95	74	109	135	93	151	14	148	146	42	150	161	160	48	79	55	187	181	147					
		7.39%	7.82%	9.34%	7.01%	6.05%	7.35%	7.31%	5.92%	9.51%	9.93%	8.68%	7.34%	4.03%	11.11%	8.86%	7.89%	2.83%	4.77%	2.93%	9.08%	9.58%	8.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	352	11	30	12	11	30	23	37	28	3	18	21	3	28	21	19	10	10	2	6	19	10					
		1.07%	0.83%	1.76%	0.89%	0.90%	2.02%	1.25%	2.36%	1.76%	2.13%	1.06%	1.06%	0.29%	2.07%	1.16%	0.94%	0.59%	0.60%	0.11%	0.29%	1.01%	0.61%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4983	251	310	212	155	177	251	162	234	33	295	356	92	359	291	338	202	154	150	365	303	293					
		15.10%	18.87%	18.20%	15.65%	12.67%	11.94%	13.59%	10.32%	14.74%	23.40%	17.30%	17.90%	8.82%	26.59%	16.01%	16.67%	11.89%	9.31%	7.98%	17.72%	16.04%	17.81%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2083	101	99	87	52	22	214	79	156	16	133	98	31	239	206	175	11	130	4	55	93	82					
		6.31%	7.59%	5.81%	6.42%	4.25%	1.48%	11.59%	5.03%	9.83%	11.35%	7.80%	4.93%	2.97%	17.70%	11.33%	8.63%	0.65%	7.85%	0.21%	2.67%	4.92%	4.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19314	667	894	776	801	1052	1012	1003	747	48	868	1218	783	301	849	1027	1286	1172	1585	1241	1021	963					
		58.53%	50.15%	52.50%	57.27%	65.49%	70.99%	54.79%	63.89%	47.07%	34.04%	50.91%	61.24%	75.07%	22.30%	46.70%	50.67%	75.69%	70.82%	84.35%	60.24%	54.05%	58.54%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	246	13	15	7	11	11	13	11	13	0	9	11	1	14	40	14	14	5	8	13	12	11					
