Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Нагорный район																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843					
1	"Число избирателей, внесенных в списки избирателей"	45577	2091	2279	2023	1350	2184	2503	2476	2505	2297	2481	1981	2548	2297	2048	2399	2402	2233	2720	2620	2140					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35000	1600	1800	1600	1000	1600	1900	1900	1900	1800	1900	1500	1900	1800	1500	1900	1900	1700	2100	2000	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23032	1078	1239	954	612	1124	1186	1410	1235	1129	1320	979	1272	1227	1073	1171	1208	1103	1306	1278	1128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	731	47	46	48	15	17	31	49	36	48	27	43	21	33	27	27	53	33	63	42	25					
6	Число погашенных избирательных бюллетеней	11237	475	515	598	373	459	683	441	629	623	553	478	607	540	400	702	639	564	731	680	547					
7	Число избирательных бюллетеней в переносных ящиках для голосования	731	47	46	48	15	17	31	49	36	48	27	43	21	33	27	27	53	33	63	42	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22999	1078	1239	954	612	1121	1182	1409	1235	1122	1316	975	1271	1227	1073	1171	1207	1099	1306	1276	1126					
9	Число недействительных избирательных бюллетеней	307	19	19	8	5	9	13	24	10	18	18	12	21	16	11	24	10	17	25	12	16					
10	Число действительных избирательных бюллетеней	23423	1106	1266	994	622	1129	1200	1434	1261	1152	1325	1006	1271	1244	1089	1174	1250	1115	1344	1306	1135					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	664	25	25	35	20	35	45	35	35	45	33	20	33	29	25	35	30	34	35	30	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	638	23	24	35	20	35	45	30	35	43	28	20	33	29	25	32	26	32	35	28	60					
