Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Большеулуйская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №736	УИК №737	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №2268									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6361	276	113	1961	391	146	404	101	178	183	131	525	196	274	104	57	58	190	63	922	88									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6163	274	99	1896	396	147	347	101	176	178	139	532	194	274	107	61	62	165	63	864	88									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3213	153	76	924	191	102	166	73	107	76	74	269	81	126	77	32	47	104	51	437	47									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	382	7	0	48	49	15	15	7	19	25	12	16	50	24	3	17	6	14	4	48	3									
6	Число погашенных избирательных бюллетеней	2568	114	23	924	156	30	166	21	50	77	53	247	63	124	27	12	9	47	8	379	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	381	7	0	48	49	15	15	7	19	25	12	16	50	24	3	17	6	14	4	47	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3210	153	76	923	191	102	166	73	107	76	74	269	81	126	77	32	47	104	51	435	47									
9	Число недействительных избирательных бюллетеней	79	2	0	31	4	1	6	0	1	3	1	5	3	0	2	0	0	4	0	14	2									
10	Число действительных избирательных бюллетеней	3512	158	76	940	236	116	175	80	125	98	85	280	128	150	78	49	53	114	55	468	48									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	183	8	3	55	12	4	12	3	5	5	4	16	6	8	3	2	2	6	2	25	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	0	3	16	7	0	2	1	0	1	4	16	4	4	0	0	2	5	0	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	1	1	10	5	1	0	1	6	5	0	11	4	5	1	1	1	1	6	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	115	8	0	39	5	4	10	2	5	4	0	0	2	4	3	2	0	1	2	24	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	40	1	1	15	3	2	1	2	2	0	1	7	0	1	0	0	1	0	0	3	0									
		1.11%	0.63%	1.32%	1.54%	1.25%	1.71%	0.55%	2.50%	1.59%	0.00%	1.16%	2.46%	0.00%	0.67%	0.00%	0.00%	1.89%	0.00%	0.00%	0.62%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	105	8	0	22	14	5	4	1	1	2	4	10	0	11	1	1	2	4	0	13	2									
		2.92%	5.00%	0.00%	2.27%	5.83%	4.27%	2.21%	1.25%	0.79%	1.98%	4.65%	3.51%	0.00%	7.33%	1.25%	2.04%	3.77%	3.39%	0.00%	2.70%	4.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	70	1	2	27	5	0	2	0	2	0	2	2	3	5	0	1	0	4	0	11	3									
		1.95%	0.63%	2.63%	2.78%	2.08%	0.00%	1.10%	0.00%	1.59%	0.00%	2.33%	0.70%	2.29%	3.33%	0.00%	2.04%	0.00%	3.39%	0.00%	2.28%	6.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1903	91	48	436	136	82	89	61	87	56	44	132	70	76	59	31	32	69	43	235	26									
		52.99%	56.88%	63.16%	44.90%	56.67%	70.09%	49.17%	76.25%	69.05%	55.45%	51.16%	46.32%	53.44%	50.67%	73.75%	63.27%	60.38%	58.47%	78.18%	48.76%	52.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	0	0	10	2	0	2	1	0	1	0	1	1	0	1	0	0	1	0	3	0									
		0.64%	0.00%	0.00%	1.03%	0.83%	0.00%	1.10%	1.25%	0.00%	0.99%	0.00%	0.35%	0.76%	0.00%	1.25%	0.00%	0.00%	0.85%	0.00%	0.62%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
