Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Читинская - 43																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3607	УИК №3608	УИК №3609	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643	УИК №3644	УИК №3645	УИК №3646	УИК №3647	УИК №3654	УИК №3655									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28350	477	129	147	1503	1664	2814	1233	342	309	585	249	1713	2600	1387	1627	561	1078	2283	1961	1000	1653	1356	1679									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25620	450	100	120	1200	1500	2700	900	300	250	550	200	1600	2500	1300	1450	500	1000	2000	1800	800	1500	1200	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8755	160	38	62	720	440	844	580	133	140	252	102	282	708	358	416	252	322	727	586	234	680	265	454									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	479	35	3	5	42	46	28	12	16	14	12	11	5	16	10	8	82	29	21	15	14	15	21	19									
6	Число погашенных избирательных бюллетеней	16386	255	59	53	438	1014	1828	308	151	96	286	87	1313	1776	932	1026	166	649	1252	1199	552	805	914	1227									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	479	35	3	5	42	46	28	12	16	14	12	11	5	16	10	8	82	29	21	15	14	15	21	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8751	160	38	62	720	440	844	580	133	140	251	102	282	708	358	415	252	322	726	585	234	680	265	454									
9	Число недействительных избирательных бюллетеней	227	5	3	1	19	11	10	11	1	2	3	4	5	20	11	14	19	12	24	13	9	16	4	10									
10	Число действительных избирательных бюллетеней	9003	190	38	66	743	475	862	581	148	152	260	109	282	704	357	409	315	339	723	587	239	679	282	463									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	5	5	5	20	20	20	20	5	5	10	10	20	25	20	20	20	15	30	30	15	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	3	0	0	0	3	14	14	3	0	7	0	2	6	3	4	14	3	4	4	0	3	0	5									
