Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Половинская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  1154					
1	"Число избирателей, внесенных в список"	11094	444	666	280	293	413	180	73	189	304	143	272	134	979	1067	1072	592	106	117	178	260	82	778	151	220	64	439	91	481	340	99	87	295	73	67	65					
2	Число полученных избирательных бюллетеней	11233	456	682	300	292	419	183	74	188	302	141	269	143	966	1112	1087	577	108	120	184	260	86	791	157	227	68	439	92	494	331	97	88	300	74	62	64					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8187	325	494	217	238	328	144	52	131	223	122	237	123	647	717	674	373	94	104	133	246	76	484	120	176	52	351	84	357	294	96	79	228	62	56	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	731	38	48	37	17	28	14	12	21	39	8	16	0	47	72	47	48	4	0	10	0	0	57	7	3	8	42	5	37	19	0	4	30	5	0	8					
6	Число погашенных избирательных бюллетеней	2315	93	140	46	37	63	25	10	36	40	11	16	20	272	323	366	156	10	16	41	14	10	250	30	48	8	46	3	100	18	1	5	42	7	6	6					
7	Число избирательных бюллетеней в переносных ящиках	731	38	48	37	17	28	14	12	21	39	8	16	0	47	72	47	48	4	0	10	0	0	57	7	3	8	42	5	37	19	0	4	30	5	0	8					
8	Число бюллетеней в стационарных ящиках для голосования	8187	325	494	217	238	328	144	52	131	223	122	237	123	647	717	674	373	94	104	133	246	76	484	120	176	52	351	84	357	294	96	79	228	62	56	50					
9	Число недействительных избирательных бюллетеней	69	2	1	6	0	7	3	0	2	0	0	3	0	3	8	4	2	2	0	2	1	2	4	2	3	1	2	0	4	2	1	0	2	0	0	0					
10	Число действительных избирательных бюллетеней	8849	361	541	248	255	349	155	64	150	262	130	250	123	691	781	717	419	96	104	141	245	74	537	125	176	59	391	89	390	311	95	83	256	67	56	58					
11	Число полученных открепительных  удостоверений	283	13	9	20	8	10	8	3	8	8	3	8	8	17	14	10	15	3	3	3	8	3	20	3	7	3	20	3	15	8	3	3	7	3	3	3					
12	Число выданных открепительных удостоверений	124	11	9	20	4	0	0	0	3	4	0	2	0	8	13	9	3	0	0	0	3	0	5	0	4	0	8	0	12	3	0	1	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	2	1	3	0	4	1	0	1	2	0	1	0	1	5	2	2	0	1	1	1	0	2	0	1	0	1	1	1	0	0	0	1	0	1	0					
14	Число неиспользованных открепительных удостоверений	159	2	0	0	4	10	8	3	5	4	3	6	8	9	1	1	12	3	3	3	5	3	15	3	3	3	12	3	3	5	3	2	6	3	3	2					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	239	9	9	6	4	8	1	1	2	13	0	2	6	31	31	27	6	6	11	5	3	0	7	0	5	2	7	0	10	11	6	1	6	2	0	1					
		2.68%	2.48%	1.66%	2.36%	1.57%	2.25%	0.63%	1.56%	1.32%	4.96%	0.00%	0.79%	4.88%	4.47%	3.93%	3.74%	1.43%	6.12%	10.58%	3.50%	1.22%	0.00%	1.29%	0.00%	2.79%	3.33%	1.78%	0.00%	2.54%	3.51%	6.25%	1.20%	2.33%	2.99%	0.00%	1.72%					
19	. Малышкин Олег Александрович	492	12	19	19	28	26	3	3	10	24	4	18	8	23	36	40	19	13	11	7	10	4	15	4	3	6	17	7	30	27	6	2	19	17	2	0					
		5.52%	3.31%	3.51%	7.48%	10.98%	7.30%	1.90%	4.69%	6.58%	9.16%	3.08%	7.11%	6.50%	3.31%	4.56%	5.55%	4.51%	13.27%	10.58%	4.90%	4.07%	5.26%	2.77%	3.15%	1.68%	10.00%	4.33%	7.87%	7.61%	8.63%	6.25%	2.41%	7.36%	25.37%	3.57%	0.00%					
20	. Миронов Сергей Михайлович	71	3	7	1	4	1	1	0	2	0	3	6	1	5	7	5	3	0	1	1	4	0	1	0	0	1	1	3	2	3	1	0	1	0	1	2					
		0.80%	0.83%	1.29%	0.39%	1.57%	0.28%	0.63%	0.00%	1.32%	0.00%	2.31%	2.37%	0.81%	0.72%	0.89%	0.69%	0.71%	0.00%	0.96%	0.70%	1.63%	0.00%	0.18%	0.00%	0.00%	1.67%	0.25%	3.37%	0.51%	0.96%	1.04%	0.00%	0.39%	0.00%	1.79%	3.45%					
21	. Путин Владимир Владимирович	5717	262	275	167	164	223	97	17	89	151	91	114	56	436	527	503	303	72	60	95	146	55	411	95	140	23	289	67	213	219	51	58	168	19	34	27					
		64.11%	72.18%	50.74%	65.75%	64.31%	62.64%	61.39%	26.56%	58.55%	57.63%	70.00%	45.06%	45.53%	62.82%	66.79%	69.76%	71.97%	73.47%	57.69%	66.43%	59.35%	72.37%	75.97%	74.80%	78.21%	38.33%	73.54%	75.28%	54.06%	69.97%	53.12%	69.88%	65.12%	28.36%	60.71%	46.55%					
22	. Хакамада Ирина Муцуовна	141	6	4	5	5	8	4	3	1	4	6	2	2	15	14	10	6	0	0	1	5	0	7	0	4	4	5	0	7	8	2	0	1	1	1	0					
		1.58%	1.65%	0.74%	1.97%	1.96%	2.25%	2.53%	4.69%	0.66%	1.53%	4.62%	0.79%	1.63%	2.16%	1.77%	1.39%	1.43%	0.00%	0.00%	0.70%	2.03%	0.00%	1.29%	0.00%	2.23%	6.67%	1.27%	0.00%	1.78%	2.56%	2.08%	0.00%	0.39%	1.49%	1.79%	0.00%					
