Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Подгоренская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137					
1	"Число избирателей, внесенных в списки избирателей"	22231	1508	2381	1257	388	1308	1321	677	964	959	239	308	1011	416	189	318	725	548	335	354	481	261	236	599	342	304	113	805	281	259	316	162	992	512	445	299	379	239					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22810	1400	2410	1240	390	1320	1340	690	1000	970	240	330	1010	460	200	450	720	580	340	380	500	290	260	640	380	310	120	810	290	260	340	170	1020	520	470	300	410	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12865	902	1592	746	250	752	803	282	522	510	134	192	522	271	112	224	381	393	193	106	303	140	138	332	215	224	66	420	130	144	183	86	637	215	277	131	224	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3654	99	151	109	57	76	124	145	140	191	48	55	114	111	43	94	310	80	94	135	83	68	72	99	34	51	36	150	68	65	84	54	165	176	95	87	48	43					
6	Число погашенных избирательных бюллетеней	6291	399	667	385	83	492	413	263	338	269	58	83	374	78	45	132	29	107	53	139	114	82	50	209	131	35	18	240	92	51	73	30	218	129	98	82	138	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3654	99	151	109	57	76	124	145	140	191	48	55	114	111	43	94	310	80	94	135	83	68	72	99	34	51	36	150	68	65	84	54	165	176	95	87	48	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12862	902	1592	746	250	751	803	282	522	510	134	192	522	271	112	224	381	393	193	106	303	140	138	332	215	222	66	420	130	144	183	86	637	215	277	131	224	113					
9	Число недействительных избирательных бюллетеней	185	14	25	12	5	10	13	6	6	6	1	2	3	3	0	7	1	7	0	2	5	5	0	6	4	0	0	1	2	2	0	2	16	0	7	2	3	7					
10	Число действительных избирательных бюллетеней	16331	987	1718	843	302	817	914	421	656	695	181	245	633	379	155	311	690	466	287	239	381	203	210	425	245	273	102	569	196	207	267	138	786	391	365	216	269	149					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	606	31	81	15	3	28	25	10	20	20	3	18	35	35	3	3	4	18	8	3	18	20	13	37	35	5	4	10	4	3	19	7	15	4	20	3	23	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	587	31	81	15	2	28	25	10	20	20	2	18	23	35	3	3	4	18	8	3	18	20	13	37	31	5	4	10	4	3	19	6	15	4	20	3	23	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	225	38	37	17	2	7	6	6	3	9	2	9	11	0	2	1	2	2	2	1	3	3	2	7	2	1	2	7	2	2	5	2	3	5	2	13	6	1					
14	Число погашенных неиспользованных открепительных удостоверений	19	0	0	0	1	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	1.Политическая партия «Аграрная партия России»	399	19	41	4	5	11	34	7	40	35	4	7	10	7	6	18	5	15	14	11	3	4	1	4	9	2	0	11	6	4	18	0	12	4	6	3	17	2					
		2.42%	1.90%	2.35%	0.47%	1.63%	1.33%	3.67%	1.64%	6.04%	4.99%	2.20%	2.83%	1.57%	1.83%	3.87%	5.66%	0.72%	3.17%	4.88%	4.56%	0.78%	1.92%	0.48%	0.93%	3.61%	0.73%	0.00%	1.93%	3.03%	1.91%	6.74%	0.00%	1.50%	1.02%	1.61%	1.38%	6.25%	1.28%					
19	2.Всероссийская политическая партия «Гражданская Сила»	66	7	10	2	1	4	7	1	4	3	0	1	2	1	1	0	0	2	1	1	1	1	0	1	1	0	2	1	2	1	1	0	5	2	0	0	0	0					
		0.40%	0.70%	0.57%	0.23%	0.33%	0.48%	0.76%	0.23%	0.60%	0.43%	0.00%	0.40%	0.31%	0.26%	0.65%	0.00%	0.00%	0.42%	0.35%	0.41%	0.26%	0.48%	0.00%	0.23%	0.40%	0.00%	1.96%	0.18%	1.01%	0.48%	0.37%	0.00%	0.62%	0.51%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	21	0	0	3	0	2	2	2	1	1	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	0	1	0					
		0.13%	0.00%	0.00%	0.35%	0.00%	0.24%	0.22%	0.47%	0.15%	0.14%	0.00%	0.00%	0.31%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.23%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.37%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2361	232	355	136	79	179	127	61	115	93	15	36	70	42	6	32	58	65	37	50	29	21	17	58	26	30	14	48	19	34	10	14	85	52	29	37	31	19					
