Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Абыйская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7					
1	"Число избирателей, внесенных в списки избирателей"	2971	311	1556	323	278	43	171	289					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3019	312	1528	340	288	56	188	307					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	25	2	0	15	1	0	0	7					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2348	292	1093	277	253	41	158	234					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	168	13	119	14	5	0	5	12					
6	Число погашенных избирательных бюллетеней	478	5	316	34	29	15	25	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	193	15	119	29	6	0	5	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2348	292	1093	277	253	41	158	234					
9	Число недействительных избирательных бюллетеней	14	1	10	1	1	0	1	0					
10	Число действительных избирательных бюллетеней	2527	306	1202	305	258	41	162	253					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	229	25	100	25	25	5	24	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	148	22	61	25	15	2	16	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	33	3	20	1	5	0	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	81	3	39	0	10	3	8	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	17	1	0	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	65	3	18	4	30	1	3	6					
		2.56%	0.98%	1.49%	1.31%	11.58%	2.44%	1.84%	2.37%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	0	6	0	0	0	0	0					
		0.24%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	164	12	86	34	8	0	6	18					
		6.45%	3.91%	7.10%	11.11%	3.09%	0.00%	3.68%	7.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	0	8	2	0	0	3	0					
		0.51%	0.00%	0.66%	0.65%	0.00%	0.00%	1.84%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	3	0	1	0	1	0					
		0.20%	0.00%	0.25%	0.00%	0.39%	0.00%	0.61%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	74	9	41	5	5	0	6	8					
		2.91%	2.93%	3.38%	1.63%	1.93%	0.00%	3.68%	3.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	335	46	156	30	44	2	27	30					
		13.18%	14.98%	12.87%	9.80%	16.99%	4.88%	16.56%	11.86%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	2	6	2	2	0	0	1					
		0.51%	0.65%	0.50%	0.65%	0.77%	0.00%	0.00%	0.40%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1837	234	865	227	168	38	115	190					
		72.29%	76.22%	71.37%	74.18%	64.86%	92.68%	70.55%	75.10%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	0	13	1	0	0	1	0					
		0.59%	0.00%	1.07%	0.33%	0.00%	0.00%	0.61%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
