Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Абыйская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7					
1	"Число избирателей, внесенных в список избирателей"	3023	322	1612	345	273	35	160	276					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3154	349	1598	370	323	47	178	289					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	22	3	0	8	3	2	0	6					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2216	275	1060	268	230	31	128	224					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	137	7	90	22	7	0	3	8					
6	Число погашенных избирательных бюллетеней	779	64	448	72	83	14	47	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	159	10	90	30	10	2	3	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2216	275	1060	268	230	31	128	224					
9	Число недействительных избирательных бюллетеней	19	4	10	3	0	0	1	1					
10	Число действительных избирательных бюллетеней	2356	281	1140	295	240	33	130	237					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	227	30	87	30	30	10	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	209	29	87	30	24	10	9	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	6	34	1	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	18	1	0	0	6	0	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	17	1	1	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	585	66	310	62	57	2	42	46					
		24.63%	23.16%	26.96%	20.81%	23.75%	6.06%	32.06%	19.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	85	5	50	3	11	0	5	11					
		3.58%	1.75%	4.35%	1.01%	4.58%	0.00%	3.82%	4.62%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	1	9	3	1	0	1	0					
		0.63%	0.35%	0.78%	1.01%	0.42%	0.00%	0.76%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	221	33	117	28	12	1	8	22					
		9.31%	11.58%	10.17%	9.40%	5.00%	3.03%	6.11%	9.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	2	14	0	1	0	1	0					
		0.76%	0.70%	1.22%	0.00%	0.42%	0.00%	0.76%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1427	174	638	198	158	30	72	157					
		60.08%	61.05%	55.48%	66.44%	65.83%	90.91%	54.96%	65.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	5	0	2	1	0	0	1	1					
		0.21%	0.00%	0.17%	0.34%	0.00%	0.00%	0.76%	0.42%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
