Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Копейская городская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924					
1	"Число избирателей, внесенных в списки"	104834	2213	1046	1293	1555	1951	2166	1736	2124	752	1843	675	1015	2701	1982	1672	2438	2338	2133	1635	1214	1105	790	1410	1784	600	1874	1157	2160	2005	2870	1803	2768	2624	2596	2780	2746	2473	685	1488	1050	1292	1679	1163	1830	1134	1687	2778	2787	1345	938	1343	2025	1336	2037	2091	2060	2803	1655	261	201	1139					
2	"Число бюллетеней, полученных участковыми комиссиями"	103997	2200	1060	1200	1550	1950	2150	1700	2150	750	1870	700	1000	2650	2000	1670	2400	2250	2100	1600	1200	1070	770	1400	1770	590	1800	1180	2160	1970	2830	1800	2800	2600	2600	2800	2750	2380	700	1490	1060	1280	1680	1150	1850	1180	1690	2780	2700	1330	900	1400	2000	1350	2050	2100	2040	2740	1540	270	197	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44092	848	395	354	460	825	939	711	880	249	756	196	388	1048	758	520	1011	1138	906	699	548	523	344	590	645	263	833	584	1059	921	1260	876	1275	1240	1097	1190	1321	1061	234	500	259	489	713	463	639	497	602	1243	1187	631	407	557	751	588	1011	975	1004	1149	811	112	82	477					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2372	118	31	19	27	40	34	50	51	12	52	28	40	17	45	36	42	20	46	73	38	60	18	25	38	26	67	26	27	27	47	37	80	49	49	57	41	46	15	45	74	76	49	32	21	23	39	40	50	26	28	18	21	27	51	19	46	39	9	14	0	71					
6	Число погашенных бюллетеней	57533	1234	634	827	1063	1085	1177	939	1219	489	1062	476	572	1585	1197	1114	1347	1092	1148	828	614	487	408	785	1087	301	900	570	1074	1022	1523	887	1445	1311	1454	1553	1388	1273	451	945	727	715	918	655	1190	660	1049	1497	1463	673	465	825	1228	735	988	1106	990	1552	720	144	115	552					
7	Число бюллетеней в переносных ящиках для голосования	2372	118	31	19	27	40	34	50	51	12	52	28	40	17	45	36	42	20	46	73	38	60	18	25	38	26	67	26	27	27	47	37	80	49	49	57	41	46	15	45	74	76	49	32	21	23	39	40	50	26	28	18	21	27	51	19	46	39	9	14	0	71					
8	Число бюллетеней в стационарных ящиках для голосования	43967	848	395	354	460	825	939	711	880	249	756	196	388	1047	758	520	1011	1135	906	699	548	523	344	590	645	263	833	584	1059	920	1260	876	1212	1240	1097	1190	1321	1061	234	499	259	489	713	462	637	497	602	1243	1135	631	407	557	751	588	1011	975	1004	1149	810	112	82	477					
9	Число недействительных бюллетеней	809	21	6	10	9	20	21	7	23	5	23	1	1	21	11	4	21	20	16	19	23	11	15	5	13	6	9	2	7	11	11	10	17	19	9	18	18	8	5	12	9	11	22	9	12	0	18	34	14	20	6	14	21	13	29	23	31	7	13	2	2	11					
10	Число действительных бюллетеней	45530	945	420	363	478	845	952	754	908	256	785	223	427	1043	792	552	1032	1135	936	753	563	572	347	610	670	283	891	608	1079	936	1296	903	1275	1270	1137	1229	1344	1099	244	532	324	554	740	485	646	520	623	1249	1171	637	429	561	751	602	1033	971	1019	1181	806	124	80	537					
