Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
"Наименование Избирательной комиссии:    Ижевск, Ленинская"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253					
1	"Число избирателей, внесенных в список избирателей"	97691	1471	2099	1935	1824	2667	1160	2446	1484	2180	2071	2741	2282	2887	2024	2827	2031	1296	1953	1649	2351	2209	2159	2021	1853	1341	2200	2702	2167	2056	1334	70	2642	2345	1973	1387	1803	2276	2126	138	114	1760	895	319	1993	2388	2390	1906	2363	1118	2252	1167	776	2070					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85945	1300	1800	1700	1600	2400	1000	2200	1300	1900	1800	2400	2000	2600	1800	2500	1800	1100	1700	1400	2100	1900	1900	1800	1600	1200	2000	2400	1900	1800	1100	70	2300	2100	1700	1200	1600	2000	1900	135	125	1500	800	315	1800	2100	2100	1700	2100	900	2000	1000	700	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47459	773	912	881	767	1221	602	1191	637	921	1040	1340	1012	1249	955	1222	881	625	1057	873	1174	1065	1201	915	1038	766	1140	1527	1106	988	699	70	1008	963	902	570	818	1219	1055	135	114	978	322	314	1006	1306	1330	1003	985	509	1058	635	333	1048					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1136	2	13	25	25	37	3	59	16	50	66	23	32	15	37	32	33	55	21	4	19	23	22	10	7	16	10	14	10	19	14	0	15	19	37	20	45	28	25	0	0	13	12	0	24	20	20	12	31	22	49	7	8	17					
6	Число погашенных избирательных бюллетеней	37350	525	875	794	808	1142	395	950	647	929	694	1037	956	1336	808	1246	886	420	622	523	907	812	677	875	555	418	850	859	784	793	387	0	1277	1118	761	610	737	753	820	0	11	509	466	1	770	774	750	685	1084	369	893	358	359	735					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1136	2	13	25	25	37	3	59	16	50	66	23	32	15	37	32	33	55	21	4	19	23	22	10	7	16	10	14	10	19	14	0	15	19	37	20	45	28	25	0	0	13	12	0	24	20	20	12	31	22	49	7	8	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47435	773	912	881	767	1221	602	1191	637	921	1040	1340	1012	1249	955	1222	881	625	1056	873	1174	1065	1201	915	1038	766	1140	1506	1106	988	699	70	1008	963	902	570	818	1219	1055	135	114	978	322	314	1006	1306	1328	1003	985	509	1058	635	333	1048					
9	Число недействительных избирательных бюллетеней	795	11	13	11	13	24	17	27	5	16	13	23	13	35	16	27	13	5	21	22	9	29	24	14	13	15	11	0	13	17	11	2	28	5	9	9	18	29	19	0	1	8	10	10	17	21	14	8	15	8	59	8	1	15					
10	Число действительных избирательных бюллетеней	47776	764	912	895	779	1234	588	1223	648	955	1093	1340	1031	1229	976	1227	901	675	1056	855	1184	1059	1199	911	1032	767	1139	1520	1103	990	702	68	995	977	930	581	845	1218	1061	135	113	983	324	304	1013	1305	1334	1007	1001	523	1048	634	340	1050					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1289	25	25	45	25	35	25	15	15	25	15	25	15	25	25	35	20	15	25	30	35	25	25	35	35	15	25	35	30	29	25	0	35	30	15	15	25	25	25	0	0	35	25	5	35	35	35	40	25	15	25	25	15	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	918	18	15	11	9	31	15	11	14	23	12	25	11	24	14	14	20	11	18	17	27	19	13	27	23	12	17	35	30	29	14	0	19	24	14	11	12	19	13	0	0	30	6	3	27	21	34	28	24	6	19	23	4	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	752	11	30	27	8	33	8	16	30	19	11	10	19	12	16	10	11	14	10	10	13	14	21	17	17	10	2	7	15	16	30	34	14	6	9	7	6	11	6	18	5	19	12	26	14	16	0	6	10	23	8	11	5	19					
14	Число погашенных неиспользованных открепительных удостоверений	371	7	10	34	16	4	10	4	1	2	3	0	4	1	11	21	0	4	7	13	8	6	12	8	12	3	8	0	0	0	11	0	16	6	1	4	13	6	12	0	0	5	19	2	8	14	1	12	1	9	6	2	11	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
