Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Шатурская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169					
1	"Число избирателей, внесенных в список избирателей"	55591	1756	1518	2198	2047	2458	1902	1945	2005	2528	1595	1431	1909	988	399	1751	249	419	1560	1075	1591	1429	1527	1676	264	244	1580	475	502	374	655	2515	374	830	1910	2143	330	970	304	134	284	572	748	857	251	1460	1859					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44000	1350	1100	1700	1650	1950	1600	1550	1600	2000	1300	1150	1500	750	250	1400	200	300	1250	800	1300	1150	1250	1350	200	200	1250	350	400	300	500	2000	250	650	1500	1450	250	800	200	100	200	500	600	700	200	1250	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22920	730	608	1042	891	1027	868	913	855	1208	800	598	680	347	172	653	72	148	594	388	583	515	519	566	138	102	735	209	190	139	254	1043	89	415	732	960	55	369	64	53	91	96	368	346	77	862	756					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2658	22	67	18	26	20	7	18	19	4	3	5	7	24	7	72	6	29	57	17	33	67	84	87	15	21	73	38	21	39	30	37	80	15	76	162	123	81	94	41	85	379	40	115	96	100	198					
6	Число погашенных избирательных бюллетеней	18421	598	425	640	733	903	725	619	726	788	497	547	813	379	71	674	122	123	599	395	684	568	647	697	47	77	442	103	189	122	216	920	81	220	692	328	72	350	42	6	24	25	192	239	27	288	746					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2657	22	67	18	26	20	7	18	19	4	3	5	7	24	7	72	6	29	57	17	33	67	83	87	15	21	73	38	21	39	30	37	80	15	76	162	123	81	94	41	85	379	40	115	96	100	198					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22905	730	607	1042	891	1027	867	913	855	1207	800	598	680	347	172	653	72	148	594	388	584	515	519	566	138	102	735	209	190	139	254	1043	89	403	732	960	54	369	64	53	91	96	368	346	77	862	756					
9	Число недействительных избирательных бюллетеней	617	21	17	24	31	25	15	25	20	25	16	14	20	10	5	20	3	7	14	9	16	19	25	22	11	4	21	8	6	3	8	18	1	17	22	31	5	9	2	2	2	1	8	7	2	14	12					
10	Число действительных избирательных бюллетеней	24945	731	657	1036	886	1022	859	906	854	1186	787	589	667	361	174	705	75	170	637	396	601	563	577	631	142	119	787	239	205	175	276	1062	168	401	786	1091	172	441	156	92	174	474	400	454	171	948	942					
