Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
"Наименование Избирательной комиссии:    Саратов, Волжская"																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №1884									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70419	639	1547	716	1194	1737	1161	1364	1286	1010	1574	1424	999	2752	2921	2958	2415	2206	1144	2486	2417	1591	1413	1673	2291	1100	1738	1672	1126	1324	1939	267	743	1377	1209	1149	1488	1988	1496	2148	1709	1642	2046	134	120	3086									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57700	450	1150	550	950	1400	950	1100	1050	800	1300	1150	800	2250	2400	2400	2000	1800	950	2000	2000	1300	1150	1350	1850	850	1400	1350	950	1100	1600	300	950	1150	1000	950	1200	1650	1200	1750	1450	1350	1650	150	150	2450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37191	305	648	312	652	981	617	602	480	430	974	799	458	1902	1320	1507	1587	771	740	1109	1518	854	807	1067	1438	399	545	1051	306	497	1179	267	712	839	481	264	879	762	966	897	933	1011	1176	134	120	1895									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2218	40	14	34	13	111	63	17	14	48	28	112	57	39	44	20	7	0	3	47	56	43	47	38	51	91	64	120	5	35	32	0	31	51	23	149	74	221	16	74	50	37	150	0	0	49									
6	Число погашенных избирательных бюллетеней	18290	105	488	204	285	308	270	481	556	322	298	239	285	309	1036	873	406	1029	207	844	426	403	296	245	361	360	791	179	639	568	389	33	207	260	496	537	247	666	218	779	467	302	324	16	30	506									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2218	40	14	34	13	111	63	17	14	48	28	112	57	39	44	20	7	0	3	47	56	43	47	38	51	91	64	120	5	35	32	0	31	51	23	149	74	221	16	74	50	37	150	0	0	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37167	305	635	312	650	981	617	601	480	430	970	799	458	1902	1320	1507	1587	771	740	1109	1518	850	807	1067	1438	399	545	1051	306	497	1179	267	712	839	481	264	879	762	966	897	933	1011	1176	134	120	1895									
9	Число недействительных избирательных бюллетеней	358	5	4	5	8	15	4	17	12	8	2	14	65	0	0	2	0	19	5	0	0	5	5	0	0	4	12	0	5	11	11	0	2	9	11	7	0	23	3	19	11	5	13	0	0	17									
10	Число действительных избирательных бюллетеней	39027	340	645	341	655	1077	676	601	482	470	996	897	450	1941	1364	1525	1594	752	738	1156	1574	888	849	1105	1489	486	597	1171	306	521	1200	267	741	881	493	406	953	960	979	952	972	1043	1313	134	120	1927									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	0	0	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1476	8	37	10	26	32	41	35	18	24	29	25	39	37	40	42	43	46	50	36	50	50	31	35	30	14	27	47	43	48	44	0	48	48	50	22	28	35	22	29	35	39	33	0	0	50									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	936	89	158	14	10	5	19	23	6	15	13	13	27	5	17	26	6	10	40	5	0	22	29	12	14	30	30	5	16	5	16	141	12	6	8	22	2	1	7	5	7	3	5	0	2	35									
14	Число погашенных неиспользованных открепительных удостоверений	624	42	13	40	24	18	9	15	32	26	21	25	11	13	10	8	7	4	0	14	0	0	19	15	20	36	23	3	7	2	6	0	2	2	0	28	22	15	28	21	15	11	17	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	396	2	6	2	3	5	7	2	3	4	15	8	2	18	18	21	27	18	7	10	16	10	9	4	7	5	13	11	8	7	10	0	3	5	7	5	6	15	12	11	12	10	11	0	0	21									
