Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Кандалакшская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №456									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40464	507	300	233	493	2488	1659	1498	1492	876	1490	1553	1704	1695	1054	551	1454	1421	1612	849	724	1460	692	849	1529	518	375	522	953	277	1051	1092	1599	1035	561	1496	650	947	497	463	132	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35230	400	250	200	400	2200	1500	1300	1300	800	1300	1400	1500	1500	800	500	1300	1300	1400	700	600	1200	600	700	1300	400	370	400	800	250	900	900	1400	900	500	1400	600	810	500	400	130	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	47	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13922	181	111	62	166	806	625	504	451	262	544	520	585	590	384	148	441	377	458	275	242	486	211	280	537	149	131	174	362	100	432	396	513	252	123	1113	200	267	168	185	36	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	346	8	1	0	1	14	1	3	2	15	4	4	5	3	6	2	5	6	6	2	2	7	0	6	13	3	132	5	13	0	5	10	9	5	11	0	2	21	2	3	0	9									
6	Число погашенных избирательных бюллетеней	20885	211	138	138	233	1380	874	793	847	523	752	876	910	907	410	350	854	917	936	423	356	707	389	414	750	248	107	221	425	150	463	494	878	643	336	287	398	475	330	212	94	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	423	8	1	0	1	14	1	3	2	15	4	4	5	3	6	2	5	6	6	2	2	7	0	6	13	3	132	5	13	0	5	10	9	5	41	0	2	68	2	3	0	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13904	181	111	62	165	805	625	504	451	260	543	520	585	590	382	148	441	377	456	275	242	486	211	280	537	149	130	174	362	100	432	396	513	252	123	1105	200	267	168	185	36	75									
9	Число недействительных избирательных бюллетеней	483	8	5	2	4	31	25	10	14	9	10	19	20	19	9	7	11	10	9	8	5	19	6	18	13	6	23	8	5	5	19	14	22	11	9	36	8	7	5	10	0	4									
10	Число действительных избирательных бюллетеней	13844	181	107	60	162	788	601	497	439	266	537	505	570	574	379	143	435	373	453	269	239	474	205	268	537	146	239	171	370	95	418	392	500	246	155	1069	194	328	165	178	36	80									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	4	1	5	5	15	10	10	10	5	10	11	11	11	10	5	10	10	10	10	5	10	5	5	10	5	0	10	10	5	15	15	10	10	10	15	15	15	15	15	7	0									
