Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																										
Дата голосования: 04.12.2011																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Лискинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083					
1	"Число избирателей, внесенных в список избирателей"	82825	1034	1030	1310	1465	891	1523	1205	1532	1854	719	1365	1497	1184	1214	1387	1336	1440	1207	266	1281	1690	1490	1668	1170	1332	1071	1402	1285	1235	1399	1133	1147	1112	1168	1265	661	1045	1234	668	233	1665	421	350	166	1001	743	130	962	936	715	1086	482	1591	1399	1160	677	461	975	1577	501	1163	851	784	1208	1304	1203	966	672	1165	961	611	458	103	457	590	320	844	985	877	855	950	160	192					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82720	1300	1030	1300	1400	850	1500	1180	1510	1810	700	1300	1550	1180	1200	1300	1300	1400	1130	250	1250	1700	1500	1520	1120	1310	1100	1400	1280	1150	1260	1450	1100	1040	1200	1120	680	1050	1200	700	250	1680	550	400	160	1000	760	140	970	940	700	1100	500	1580	1400	1150	730	470	980	1600	490	1170	860	800	1250	1310	1210	970	660	1200	980	620	460	120	450	590	300	850	990	890	860	950	160	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53827	736	803	1152	704	779	890	601	1044	1112	462	630	952	617	697	1244	954	1122	892	184	912	1100	754	1209	565	783	580	977	950	922	779	1121	732	734	897	490	455	838	934	475	115	1135	300	183	96	633	527	108	550	722	548	700	254	787	685	513	517	383	734	974	445	783	484	554	1025	929	464	842	356	698	630	233	226	71	239	290	175	495	415	737	659	658	139	34					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	12512	114	218	126	221	30	221	128	66	186	201	216	200	92	163	25	79	118	9	35	17	64	234	51	147	79	261	17	81	93	251	12	154	46	91	320	154	155	180	111	58	259	121	113	44	265	139	13	319	136	139	241	203	271	305	181	98	37	86	503	29	288	210	169	126	180	306	124	153	245	164	328	157	32	173	187	100	205	218	69	170	203	21	158					
6	Число погашенных избирательных бюллетеней	16381	450	9	22	475	41	389	451	400	512	37	454	398	471	340	31	267	160	229	31	321	536	512	260	408	448	259	406	249	135	230	317	214	260	212	310	71	57	86	114	77	286	129	104	20	102	94	19	101	82	13	159	43	522	410	456	115	50	160	123	16	99	166	77	99	201	440	4	151	257	186	59	77	17	38	113	25	150	357	84	31	89	0	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	12512	114	218	126	221	30	221	128	66	186	201	216	200	92	163	25	79	118	9	35	17	64	234	51	147	79	261	17	81	93	251	12	154	46	91	320	154	155	180	111	58	259	121	113	44	265	139	13	319	136	139	241	203	271	305	181	98	37	86	503	29	288	210	169	126	180	306	124	153	245	164	328	157	32	173	187	100	205	218	69	170	203	21	158					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53819	736	803	1152	704	778	890	601	1044	1112	462	630	952	617	697	1244	954	1122	892	184	912	1100	754	1209	565	783	580	977	950	922	779	1121	727	734	897	490	455	838	934	475	115	1135	300	183	96	633	527	108	550	722	548	700	254	787	685	513	517	383	733	974	445	783	484	554	1025	929	464	842	355	698	630	233	226	71	239	290	175	495	415	737	659	658	139	34					
9	Число недействительных избирательных бюллетеней	692	2	10	8	4	7	9	15	23	21	7	18	65	7	12	21	0	2	14	1	6	4	7	14	11	13	5	8	5	7	0	6	15	18	8	3	11	1	0	26	3	24	3	3	0	33	56	4	6	3	7	0	2	21	15	4	0	1	7	19	7	4	3	4	9	0	6	0	5	2	0	3	3	1	2	1	1	1	5	2	3	5	0	0					
10	Число действительных избирательных бюллетеней	65639	848	1011	1270	921	801	1102	714	1087	1277	656	828	1087	702	848	1248	1033	1238	887	218	923	1160	981	1246	701	849	836	986	1026	1008	1030	1127	866	762	980	807	598	992	1114	560	170	1370	418	293	140	865	610	117	863	855	680	941	455	1037	975	690	615	419	812	1458	467	1067	691	719	1142	1109	764	966	503	941	794	558	380	102	410	476	274	699	628	804	826	856	160	192					
