Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Лискинская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082					
1	"Число избирателей, внесенных в списки избирателей"	83416	1371	1214	1343	1502	1453	1587	1315	1634	1893	2091	1503	1544	1269	1176	1509	2340	1498	1164	226	1755	1921	1400	1564	1210	1427	1115	1217	1326	1333	1240	1415	1094	1702	897	918	973	956	1137	598	210	1527	558	379	169	1019	722	134	470	207	111	1090	381	1125	1696	1126	752	444	917	1577	431	1191	813	688	1165	1295	1272	937	628	1181	926	640	444	128	428	573	336	692	774	935	240	158	97					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78820	1200	1100	1200	1300	1300	1400	1200	1400	1600	1700	1200	1400	1100	1100	1400	1800	1400	1200	230	1500	1500	1300	1300	1000	1300	1000	1400	1200	1200	1150	1200	1000	1600	850	900	1000	1000	1200	700	250	1550	600	400	180	1050	750	150	500	200	110	1100	450	1100	1700	1100	800	450	1000	1500	420	1100	900	750	1100	1300	1200	900	650	1250	1000	650	400	120	450	570	340	700	800	950	300	300	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57236	845	810	977	931	1098	1066	846	1228	1389	1515	898	1048	807	909	1114	1464	1289	823	207	1330	1342	910	1110	778	1039	695	1056	1080	978	794	1066	797	1320	669	479	518	736	883	476	149	784	356	216	83	563	522	99	370	118	73	631	244	694	1026	714	632	375	755	1187	312	824	562	512	932	871	735	573	342	813	650	277	213	102	207	424	207	430	512	466	182	111	68					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	13537	195	244	131	346	57	225	266	105	134	129	175	298	152	137	170	289	68	73	19	114	120	306	119	204	143	219	161	63	114	180	45	37	186	168	303	336	125	156	122	47	624	143	112	62	272	111	24	58	65	28	291	85	254	338	159	108	34	130	137	62	170	120	127	90	305	410	327	238	219	192	257	180	18	163	130	110	190	212	382	50	47	22					
6	Число погашенных избирательных бюллетеней	8047	160	46	92	23	145	109	88	67	77	56	127	54	141	54	116	47	43	304	4	56	38	84	71	18	118	86	183	57	108	176	89	166	94	13	118	146	139	161	102	54	142	101	72	35	215	117	27	72	17	9	178	121	152	336	227	60	41	115	176	46	106	218	111	78	124	55	0	70	218	158	116	7	0	80	16	23	80	76	102	68	142	110					
7	Число избирательных бюллетеней в переносных ящиках для голосования	13536	195	244	131	346	57	225	266	105	134	129	175	298	152	137	170	289	68	73	19	114	120	306	119	204	143	219	161	63	114	180	45	37	186	168	303	336	125	156	122	47	624	142	112	62	272	111	24	58	65	28	291	85	254	338	159	108	34	130	137	62	170	120	127	90	305	410	327	238	219	192	257	180	18	163	130	110	190	212	382	50	47	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57227	845	810	976	931	1098	1066	846	1228	1389	1515	898	1048	807	909	1110	1464	1289	823	207	1330	1342	910	1110	778	1039	695	1056	1080	978	794	1066	796	1320	669	479	518	736	883	476	149	784	355	216	83	563	522	99	370	118	73	631	244	694	1026	714	632	375	755	1185	312	824	562	512	932	871	735	573	342	813	650	277	213	102	207	424	207	430	512	466	182	111	68					
9	Число недействительных избирательных бюллетеней	1241	39	58	17	12	18	7	14	15	18	22	14	21	8	15	35	33	3	10	2	29	19	14	12	11	19	11	11	49	22	7	20	23	85	7	3	18	78	4	1	2	0	9	2	0	3	76	1	6	0	0	1	22	6	6	9	0	1	12	17	14	2	4	10	11	9	92	43	18	8	2	1	3	0	0	21	0	11	2	6	3	1	3					
10	Число действительных избирательных бюллетеней	69522	1001	996	1090	1265	1137	1284	1098	1318	1505	1622	1059	1325	951	1031	1245	1720	1354	886	224	1415	1443	1202	1217	971	1163	903	1206	1094	1070	967	1091	810	1421	830	779	836	783	1035	597	194	1408	488	326	145	832	557	122	422	183	101	921	307	942	1358	864	740	408	873	1305	360	992	678	629	1011	1167	1053	857	562	1024	840	533	390	120	370	533	317	609	722	842	229	157	87					
