Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Лосино-Петровская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220					
1	"Число избирателей, внесенных в списки избирателей"	16482	1771	1811	1866	1844	1798	2017	1959	1723	1693					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16150	1700	1800	1850	1800	1750	1950	1950	1700	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7991	910	824	932	890	815	976	968	835	841					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	332	81	21	27	25	35	66	43	18	16					
6	Число погашенных избирательных бюллетеней	7827	709	955	891	885	900	908	939	847	793					
7	Число избирательных бюллетеней в переносных ящиках для голосования	332	81	21	27	25	35	66	43	18	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7989	910	824	932	888	815	976	968	835	841					
9	Число недействительных избирательных бюллетеней	126	14	11	9	13	23	12	18	11	15					
10	Число действительных избирательных бюллетеней	8195	977	834	950	900	827	1030	993	842	842					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	270	30	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	163	19	19	21	18	19	15	18	15	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	136	25	1	16	36	13	3	12	13	17					
14	Число погашенных неиспользованных открепительных удостоверений	107	11	11	9	12	11	15	12	15	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	4	0	1	2	1	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	335	39	38	49	34	32	44	39	29	31					
		4.03%	3.94%	4.50%	5.11%	3.72%	3.76%	4.22%	3.86%	3.40%	3.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	79	12	7	11	8	8	6	10	6	11					
		0.95%	1.21%	0.83%	1.15%	0.88%	0.94%	0.58%	0.99%	0.70%	1.28%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	1	3	0	2	1	1					
		0.11%	0.00%	0.12%	0.00%	0.11%	0.35%	0.00%	0.20%	0.12%	0.12%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1282	170	144	170	102	113	156	137	143	147					
		15.41%	17.15%	17.04%	17.73%	11.17%	13.29%	14.97%	13.55%	16.76%	17.15%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	129	15	13	18	4	20	17	18	11	13					
		1.55%	1.51%	1.54%	1.88%	0.44%	2.35%	1.63%	1.78%	1.29%	1.52%					
23	6.Политическая партия «Партия социальной справедливости»	24	7	4	0	1	0	3	4	0	5					
		0.29%	0.71%	0.47%	0.00%	0.11%	0.00%	0.29%	0.40%	0.00%	0.58%					
24	7.Политическая партия «Либерально-демократическая партия России»	830	103	87	84	110	65	92	122	88	79					
		9.97%	10.39%	10.30%	8.76%	12.05%	7.65%	8.83%	12.07%	10.32%	9.22%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	612	72	64	60	63	67	70	80	75	61					
		7.35%	7.27%	7.57%	6.26%	6.90%	7.88%	6.72%	7.91%	8.79%	7.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	117	10	9	20	14	5	17	8	14	20					
		1.41%	1.01%	1.07%	2.09%	1.53%	0.59%	1.63%	0.79%	1.64%	2.33%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4610	537	447	520	532	499	601	555	464	455					
		55.40%	54.19%	52.90%	54.22%	58.27%	58.71%	57.68%	54.90%	54.40%	53.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	168	12	20	18	31	15	24	18	11	19					
		2.02%	1.21%	2.37%	1.88%	3.40%	1.76%	2.30%	1.78%	1.29%	2.22%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
