Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Лосино-Петровская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255					
1	"Число избирателей, внесенных в список избирателей"	16449	1692	1724	1820	1790	1902	2068	2078	1729	1646					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16700	1700	1750	1900	1800	1900	2100	2150	1750	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7352	754	768	837	807	794	918	919	776	779					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	261	63	20	19	20	15	44	30	38	12					
6	Число погашенных избирательных бюллетеней	9080	881	959	1044	973	1091	1138	1201	936	857					
7	Число избирательных бюллетеней в переносных ящиках для голосования	261	63	20	19	20	15	44	30	38	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7299	754	768	837	803	794	918	919	727	779					
9	Число недействительных избирательных бюллетеней	337	76	39	33	31	36	24	39	35	24					
10	Число действительных избирательных бюллетеней	7223	741	749	823	792	773	938	910	730	767					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	315	35	35	35	35	35	35	35	35	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	162	27	18	18	11	12	21	16	25	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	7	6	12	21	9	5	6	14	17					
14	Число погашенных неиспользованных открепительных удостоверений	153	8	17	17	24	23	14	19	10	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	3	1	1	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	7	2	3	0	0	0	0	0	0	2					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1171	119	127	121	149	102	165	137	132	119					
		15.49%	14.57%	16.12%	14.14%	18.10%	12.61%	17.15%	14.44%	17.25%	15.04%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1575	178	152	175	199	164	181	211	167	148					
		20.83%	21.79%	19.29%	20.44%	24.18%	20.27%	18.81%	22.23%	21.83%	18.71%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	13	13	8	4	8	19	19	16	17					
		1.55%	1.59%	1.65%	0.93%	0.49%	0.99%	1.98%	2.00%	2.09%	2.15%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1932	209	200	246	174	205	261	226	209	202					
		25.56%	25.58%	25.38%	28.74%	21.14%	25.34%	27.13%	23.81%	27.32%	25.54%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	341	26	47	51	47	40	42	45	0	43					
		4.51%	3.18%	5.96%	5.96%	5.71%	4.94%	4.37%	4.74%	0.00%	5.44%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2039	192	203	219	213	245	265	267	206	229					
		26.97%	23.50%	25.76%	25.58%	25.88%	30.28%	27.55%	28.13%	26.93%	28.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	48	4	7	3	6	9	5	5	0	9					
		0.63%	0.49%	0.89%	0.35%	0.73%	1.11%	0.52%	0.53%	0.00%	1.14%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
