Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Краснинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517					
1	"Число избирателей, внесенных в списки"	12645	258	351	188	232	161	705	552	1504	345	298	159	2656	1220	171	209	248	513	93	207	275	353	100	626	172	237	196	269	347					
2	"Число бюллетеней, полученных участковыми комиссиями"	12475	252	350	187	235	160	730	580	1465	330	285	150	2530	1200	172	200	245	515	92	205	275	345	100	625	170	237	195	270	375					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5837	115	125	85	133	64	297	230	758	166	148	68	1281	546	85	96	96	263	37	126	116	146	53	306	72	77	81	110	157					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1858	79	109	48	38	50	56	40	20	58	57	53	53	138	55	70	77	63	29	30	116	97	35	87	58	100	83	84	75					
6	Число погашенных бюллетеней	4780	58	116	54	64	46	377	310	687	106	80	29	1196	516	32	34	72	189	26	49	43	102	12	232	40	60	31	76	143					
7	Число бюллетеней в переносных ящиках для голосования	1858	79	109	48	38	50	56	40	20	58	57	53	53	138	55	70	77	63	29	30	116	97	35	87	58	100	83	84	75					
8	Число бюллетеней в стационарных ящиках для голосования	5837	115	125	85	133	64	297	230	758	166	148	68	1281	546	85	96	96	263	37	126	116	146	53	306	72	77	81	110	157					
9	Число недействительных бюллетеней	118	1	11	3	2	2	9	3	5	5	5	5	13	7	0	0	2	8	2	11	0	1	1	6	3	0	0	8	5					
10	Число действительных бюллетеней	7577	193	223	130	169	112	344	267	773	219	200	116	1321	677	140	166	171	318	64	145	232	242	87	387	127	177	164	186	227					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	312	5	10	5	10	5	15	15	15	26	10	5	46	20	5	10	10	10	5	10	10	10	5	10	5	10	5	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	98	0	0	0	1	1	9	9	12	17	0	1	25	14	1	1	1	1	0	0	0	1	0	2	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	3	2	4	2	3	0	3	7	1	2	2	2	3	1	8	3	3	1	3	4	9	3	3	3	4	2	1	3					
14	Число погашенных открепительных удостоверений	214	5	10	5	9	4	6	6	3	9	10	4	21	6	4	9	9	9	5	10	10	9	5	8	3	10	5	10	10					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	175	5	4	3	7	3	11	9	7	6	12	10	14	8	3	5	4	4	2	2	9	2	1	10	10	9	4	6	5					
		2.27%	2.57%	1.70%	2.25%	4.09%	2.63%	3.11%	3.33%	0.89%	2.67%	5.85%	8.26%	1.04%	1.16%	2.14%	3.01%	2.31%	1.22%	3.03%	1.28%	3.87%	0.82%	1.13%	2.54%	7.69%	5.08%	2.43%	3.09%	2.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	77	3	4	4	0	0	6	1	5	4	2	1	14	8	3	1	2	0	2	0	1	1	2	4	2	4	0	0	3					
		1.00%	1.54%	1.70%	3.00%	0.0%	0.0%	1.69%	0.37%	0.64%	1.78%	0.97%	0.82%	1.04%	1.16%	2.14%	0.60%	1.15%	0.0%	3.03%	0.0%	0.43%	0.41%	2.27%	1.01%	1.53%	2.25%	0.0%	0.0%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	422	16	11	2	9	3	14	17	27	16	7	9	84	71	12	2	5	9	1	10	18	6	0	24	5	14	6	14	10					
		5.48%	8.24%	4.70%	1.50%	5.26%	2.63%	3.96%	6.29%	3.47%	7.14%	3.41%	7.43%	6.29%	10.38%	8.57%	1.20%	2.89%	2.76%	1.51%	6.41%	7.75%	2.46%	0.0%	6.10%	3.84%	7.90%	3.65%	7.21%	4.31%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	148	4	2	1	0	0	5	3	21	1	0	2	33	18	3	7	4	2	4	2	1	2	1	3	0	13	2	5	9					
		1.92%	2.06%	0.85%	0.75%	0.0%	0.0%	1.41%	1.11%	2.69%	0.44%	0.0%	1.65%	2.47%	2.63%	2.14%	4.21%	2.31%	0.61%	6.06%	1.28%	0.43%	0.82%	1.13%	0.76%	0.0%	7.34%	1.21%	2.57%	3.87%					
22	"5. ""За Русь Святую"""	33	3	1	1	0	0	3	1	3	2	1	1	3	0	0	0	1	2	0	1	1	2	0	1	0	0	2	1	3					
