Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Гуковская городская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52013	2068	2413	2399	820	1524	2126	1283	1072	2151	2071	2059	1712	1348	1097	1450	2321	2253	2396	1572	862	1029	1241	1213	660	1099	1038	1088	1036	651	1352	934	1122	1019	316	952	1190	1076									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47110	1880	2210	2200	730	1370	1920	1160	910	1960	1880	1840	1560	1220	1000	1310	2090	2060	2190	1430	780	940	1130	1100	590	950	950	990	940	580	1230	850	1020	920	290	860	1090	980									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15485	645	774	762	277	523	627	446	395	677	652	688	429	254	241	411	772	710	717	386	255	215	491	420	207	278	286	259	334	163	321	197	402	293	80	242	354	302									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	944	47	23	44	18	19	25	23	8	20	15	51	9	35	17	48	33	25	6	30	31	7	15	19	34	76	30	21	18	17	27	26	26	27	8	32	18	16									
6	Число погашенных избирательных бюллетеней	30681	1188	1413	1394	435	828	1268	691	507	1263	1213	1101	1122	931	742	851	1285	1325	1467	1014	494	718	624	661	349	596	634	710	588	400	882	627	592	600	202	586	718	662									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	944	47	23	44	18	19	25	23	8	20	15	51	9	35	17	48	33	25	6	30	31	7	15	19	34	76	30	21	18	17	27	26	26	27	8	32	18	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15481	645	772	762	277	522	627	446	395	677	652	688	429	254	241	411	772	710	717	386	255	215	491	420	207	278	286	258	334	163	321	197	402	293	80	242	354	302									
9	Число недействительных избирательных бюллетеней	349	10	7	16	5	11	22	8	12	16	14	19	16	5	6	15	14	12	17	10	1	8	2	11	3	7	6	13	7	4	12	1	5	8	0	10	6	10									
10	Число действительных избирательных бюллетеней	16076	682	788	790	290	530	630	461	391	681	653	720	422	284	252	444	791	723	706	406	285	214	504	428	238	347	310	266	345	176	336	222	423	312	88	264	366	308									
