Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Шекснинская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097					
1	"Число избирателей, внесенных в списки"	25731	575	1633	2430	1395	2815	2598	1254	2940	687	1912	98	472	93	105	295	124	223	163	353	133	253	106	419	73	84	1015	133	325	306	142	284	705	94	280	857	357					
2	"Число бюллетеней, полученных участковыми комиссиями"	24217	479	1563	2000	1341	2500	2500	1217	2890	649	1771	87	456	87	107	276	123	236	153	352	131	233	108	393	75	82	1014	128	320	302	140	274	700	91	274	850	315					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13739	317	953	1344	787	1581	1383	691	1532	358	989	36	186	35	61	171	57	54	41	165	63	125	48	261	35	52	605	68	173	141	46	163	463	54	122	458	121					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1790	70	5	106	62	21	7	12	100	76	20	17	92	23	13	61	26	87	81	76	28	62	27	30	18	8	78	24	57	67	45	22	127	10	85	58	89					
6	Число погашенных бюллетеней	8688	92	605	550	492	898	1110	514	1258	215	762	34	178	29	33	44	40	95	31	111	40	46	33	102	22	22	331	36	90	94	49	89	110	27	67	334	105					
7	Число бюллетеней в переносных ящиках для голосования	1789	70	5	106	62	21	7	12	100	76	20	17	92	23	13	61	26	87	81	76	28	62	27	30	18	7	78	24	57	67	45	22	127	10	85	58	89					
8	Число бюллетеней в стационарных ящиках для голосования	13535	317	953	1344	786	1581	1383	691	1330	358	989	36	186	36	61	171	57	54	41	165	63	125	48	261	35	52	605	68	173	139	46	163	463	54	122	458	121					
9	Число недействительных бюллетеней	468	11	15	16	38	30	19	10	110	11	29	7	5	4	2	4	4	1	5	4	4	3	2	10	0	2	22	8	5	6	0	11	44	3	5	12	6					
10	Число действительных бюллетеней	14856	376	943	1434	810	1572	1371	693	1320	423	980	46	273	55	72	228	79	140	117	237	87	184	73	281	53	57	661	84	225	200	91	174	546	61	202	504	204					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	710	15	30	30	30	30	30	30	80	15	30	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	126	1	6	8	2	9	4	3	45	1	10	0	0	0	0	1	0	0	1	1	0	3	1	3	2	0	6	1	4	0	0	0	6	0	0	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	3	1	0	3	5	2	2	11	1	5	6	4	0	0	2	0	3	0	0	2	0	1	4	1	0	7	0	4	2	0	4	0	0	2	4	1					
14	Число погашенных открепительных удостоверений	584	14	24	22	28	21	26	27	35	14	20	15	15	15	15	14	15	15	14	14	15	12	14	12	13	15	9	14	11	15	15	15	9	15	15	7	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	177	8	9	5	5	17	15	4	23	3	8	0	3	1	0	2	3	8	4	3	1	1	1	1	2	2	8	2	2	3	1	5	10	0	3	11	3					
		1.15%	2.06%	0.93%	0.34%	0.58%	1.06%	1.07%	0.56%	1.60%	0.69%	0.79%	0.0%	1.07%	1.69%	0.0%	0.86%	3.61%	5.67%	3.27%	1.24%	1.09%	0.53%	1.33%	0.34%	3.77%	3.38%	1.17%	2.17%	0.86%	1.45%	1.09%	2.70%	1.69%	0.0%	1.44%	2.13%	1.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	274	8	27	34	16	20	29	12	18	10	17	2	2	0	0	2	0	3	1	2	3	0	1	4	0	0	10	1	3	0	1	2	22	1	4	18	1					
		1.78%	2.06%	2.81%	2.34%	1.88%	1.24%	2.08%	1.70%	1.25%	2.30%	1.68%	3.77%	0.71%	0.0%	0.0%	0.86%	0.0%	2.12%	0.81%	0.82%	3.29%	0.0%	1.33%	1.37%	0.0%	0.0%	1.46%	1.08%	1.30%	0.0%	1.09%	1.08%	3.72%	1.56%	1.93%	3.48%	0.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	431	18	30	46	23	40	31	26	34	11	23	0	14	5	2	6	3	6	5	6	6	5	6	9	3	5	16	1	2	5	2	5	11	3	0	16	7					
		2.81%	4.65%	3.13%	3.17%	2.71%	2.49%	2.23%	3.69%	2.37%	2.53%	2.27%	0.0%	5.03%	8.47%	2.70%	2.58%	3.61%	4.25%	4.09%	2.48%	6.59%	2.67%	8.0%	3.09%	5.66%	8.47%	2.34%	1.08%	0.86%	2.42%	2.19%	2.70%	1.86%	4.68%	0.0%	3.10%	3.33%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	286	6	24	31	17	28	43	12	24	4	20	0	1	1	1	3	3	1	3	1	3	2	5	4	1	4	5	1	0	2	0	1	16	0	1	15	3					
		1.86%	1.55%	2.50%	2.13%	2.00%	1.74%	3.09%	1.70%	1.67%	0.92%	1.98%	0.0%	0.35%	1.69%	1.35%	1.29%	3.61%	0.70%	2.45%	0.41%	3.29%	1.06%	6.66%	1.37%	1.88%	6.77%	0.73%	1.08%	0.0%	0.97%	0.0%	0.54%	2.71%	0.0%	0.48%	2.90%	1.42%					
22	"5. ""За Русь Святую"""	85	3	5	8	0	7	4	4	7	3	8	0	3	1	0	5	0	1	2	1	0	3	0	1	0	1	2	1	1	0	0	1	5	0	1	4	3					
		0.55%	0.77%	0.52%	0.55%	0.0%	0.43%	0.28%	0.56%	0.48%	0.69%	0.79%	0.0%	1.07%	1.69%	0.0%	2.15%	0.0%	0.70%	1.63%	0.41%	0.0%	1.60%	0.0%	0.34%	0.0%	1.69%	0.29%	1.08%	0.43%	0.0%	0.0%	0.54%	0.84%	0.0%	0.48%	0.77%	1.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	50	1	4	2	3	5	4	1	4	0	5	0	1	1	0	1	0	2	0	0	0	2	0	0	0	0	0	0	2	1	1	0	5	0	2	3	0					
		0.32%	0.25%	0.41%	0.13%	0.35%	0.31%	0.28%	0.14%	0.27%	0.0%	0.49%	0.0%	0.35%	1.69%	0.0%	0.43%	0.0%	1.41%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.48%	1.09%	0.0%	0.84%	0.0%	0.96%	0.58%	0.0%					
