Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Вурнарская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21845	1718	915	546	1022	85	930	1220	319	297	313	114	348	395	374	437	255	236	152	385	295	161	138	92	65	676	40	409	371	295	517	158	392	132	111	282	785	248	358	331	195	283	180	188	199	260	170	452	234	680	344	150	416	357	135	309	222	150	438	421	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21555	1661	869	501	984	83	898	1199	313	290	310	106	339	380	358	435	253	239	160	390	318	165	142	108	77	684	49	408	378	301	513	159	375	128	116	262	771	243	361	316	181	283	174	185	199	259	173	450	237	691	343	155	410	344	138	313	222	146	440	419	151									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14079	1014	546	326	564	72	493	702	235	189	186	91	232	196	231	276	152	114	104	236	244	108	114	68	22	362	32	301	243	217	353	108	295	91	77	183	515	184	255	231	150	174	130	134	155	170	93	320	164	477	299	134	236	240	86	207	174	114	300	259	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1772	23	15	26	16	3	7	16	26	25	76	11	30	59	26	53	22	26	11	35	22	23	14	7	34	92	3	26	35	36	33	16	19	16	16	30	129	20	29	43	12	42	10	11	19	44	32	52	47	87	36	10	26	18	15	57	23	17	29	23	13									
6	Число погашенных избирательных бюллетеней	5704	624	308	149	404	8	398	481	52	76	48	4	77	125	101	106	79	99	45	119	52	34	14	33	21	230	14	81	100	48	127	35	61	21	23	49	127	39	77	42	19	67	34	40	25	45	48	78	26	127	8	11	148	86	37	49	25	15	111	137	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1772	23	15	26	16	3	7	16	26	25	76	11	30	59	26	53	22	26	11	35	22	23	14	7	34	92	3	26	35	36	33	16	19	16	16	30	129	20	29	43	12	42	10	11	19	44	32	52	47	87	36	10	26	18	15	57	23	17	29	23	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14079	1014	546	326	564	72	493	702	235	189	186	91	232	196	231	276	152	114	104	236	244	108	114	68	22	362	32	301	243	217	353	108	295	91	77	183	515	184	255	231	150	174	130	134	155	170	93	320	164	477	299	134	236	240	86	207	174	114	300	259	101									
9	Число недействительных избирательных бюллетеней	606	47	24	13	28	1	18	22	11	10	0	4	9	15	18	3	6	14	1	4	5	3	8	6	3	19	2	16	7	6	4	9	17	5	5	12	16	3	19	8	3	10	0	9	12	14	2	13	3	54	4	3	9	9	2	7	0	2	9	11	9									
10	Число действительных избирательных бюллетеней	15245	990	537	339	552	74	482	696	250	204	262	98	253	240	239	326	168	126	114	267	261	128	120	69	53	435	33	311	271	247	382	115	297	102	88	201	628	201	265	266	159	206	140	136	162	200	123	359	208	510	331	141	253	249	99	257	197	129	320	271	105									
