Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Первомайская																																						
																																						
Сводная таблица предварительных итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347					
1	"Число избирателей, внесенных в списки"	24962	3184	2904	1432	3643	208	1289	774	284	104	390	447	652	420	338	319	108	231	548	1252	1469	184	173	548	650	670	188	324	494	456	298	981					
2	"Число бюллетеней, полученных участковыми комиссиями"	24647	2974	2813	1408	3313	200	1325	803	287	105	389	460	647	436	356	314	105	220	598	1200	1543	203	175	620	664	690	198	324	489	446	300	1042					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11325	1401	1076	714	1383	175	793	336	134	47	184	182	297	204	161	139	48	111	215	538	652	75	95	233	379	343	121	159	224	215	156	535					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1349	110	48	15	55	0	75	100	32	15	25	39	37	79	39	68	26	11	45	32	33	12	24	53	24	11	11	69	126	75	5	55					
6	Число погашенных бюллетеней	11973	1463	1689	679	1875	25	457	367	121	43	180	239	313	153	156	107	31	98	338	630	858	116	56	334	261	336	66	96	139	156	139	452					
7	Число бюллетеней в переносных ящиках для голосования	1347	110	48	15	55	0	75	100	32	15	25	39	37	79	39	68	26	11	45	32	33	12	24	53	24	9	11	69	126	75	5	55					
8	Число бюллетеней в стационарных ящиках для голосования	11318	1398	1076	714	1383	175	789	336	134	47	184	182	297	204	161	139	48	111	215	538	652	75	95	233	379	343	121	159	224	215	156	535					
9	Число недействительных бюллетеней	320	5	20	18	14	3	19	2	3	2	8	7	15	5	12	5	8	9	0	16	15	4	7	13	25	30	13	10	5	11	1	15					
10	Число действительных бюллетеней	12345	1503	1104	711	1424	172	845	434	163	60	201	214	319	278	188	202	66	113	260	554	670	83	112	273	378	322	119	218	345	279	160	575					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	72	20	0	0	15	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	10	5	0	0	0	0	0	0	0	0	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	4	1	6	2	0	2	0	0	0	0	0	0	0	2	1	1	1	0	2	1	0	0	0	1	0	1	0	1	0	0	1					
14	Число погашенных открепительных удостоверений	60	11	0	0	12	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	10	5	0	0	0	0	0	0	0	0	3	3					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	243	10	10	7	20	3	23	5	1	1	1	3	9	1	5	5	4	2	3	11	21	3	5	7	17	12	1	9	12	12	3	17					
		1.91%	0.66%	0.88%	0.96%	1.39%	1.71%	2.66%	1.14%	0.60%	1.61%	0.47%	1.35%	2.69%	0.35%	2.5%	2.41%	5.40%	1.63%	1.15%	1.92%	3.06%	3.44%	4.20%	2.44%	4.21%	3.40%	0.75%	3.94%	3.42%	4.13%	1.86%	2.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	104	17	9	9	26	1	2	4	0	1	1	0	3	0	0	1	0	0	2	4	1	0	0	0	4	3	2	5	3	3	1	2					
