Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Шумихинская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1032	УИК  1033	УИК  1034	УИК  1035	УИК  1036	УИК  1037	УИК  1038	УИК  1039	УИК  1040	УИК  1041	УИК  1042	УИК  1043	УИК  1044	УИК  1045	УИК  1046	УИК  1047	УИК  1048	УИК  1049	УИК  1050	УИК  1051	УИК  1052	УИК  1053	УИК  1054	УИК  1055	УИК  1056	УИК  1057	УИК  1058	УИК  1059	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065					
1	"Число избирателей, внесенных в списки"	26009	974	929	705	915	1303	1366	1523	1211	1067	1212	1034	859	1127	1311	50	249	601	131	778	337	91	955	593	395	290	110	704	179	147	172	487	274	467	398	409	307	587	289	457	247	459	310					
2	"Число бюллетеней, полученных участковыми комиссиями"	25865	965	930	720	895	1265	1345	1535	1195	1050	1195	1035	840	1105	1310	60	250	600	132	770	345	97	975	585	395	295	115	705	180	148	173	485	270	475	400	410	305	570	280	455	255	450	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13568	518	473	354	392	657	574	695	514	487	617	526	416	510	537	50	175	416	90	434	229	53	501	369	257	199	79	441	117	103	99	233	170	242	197	249	205	357	180	258	164	217	214					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1691	39	49	26	16	36	48	97	103	33	68	59	63	51	78	0	10	35	9	115	23	6	42	49	22	37	3	20	8	11	27	40	16	65	85	26	17	41	20	66	10	105	17					
6	Число погашенных бюллетеней	10606	408	408	340	487	572	723	743	578	530	510	450	361	544	695	10	65	149	33	221	93	38	432	167	116	59	33	244	55	34	47	212	84	168	118	135	83	172	80	131	81	128	69					
7	Число бюллетеней в переносных ящиках для голосования	1690	39	49	26	16	36	48	96	103	33	68	59	63	51	78	0	10	35	9	115	23	6	42	49	22	37	3	20	8	11	27	40	16	65	85	26	17	41	20	66	10	105	17					
8	Число бюллетеней в стационарных ящиках для голосования	13565	518	473	354	391	657	574	695	514	487	617	526	416	509	537	50	175	416	90	434	229	53	501	368	257	199	79	441	117	103	99	233	170	242	197	249	205	357	180	258	164	217	214					
9	Число недействительных бюллетеней	208	7	8	7	3	11	5	11	9	3	7	11	4	6	8	1	9	10	2	6	4	3	9	6	3	4	2	5	0	4	2	6	9	4	4	2	1	4	1	3	1	2	1					
10	Число действительных бюллетеней	15047	550	514	373	404	682	617	780	608	517	678	574	475	554	607	49	176	441	97	543	248	56	534	411	276	232	80	456	125	110	124	267	177	303	278	273	221	394	199	321	173	320	230					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	365	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	6	8	5	10	16	4	10	10	8	8	5	10	5	5	7	10	8	10	8	10	8	10	8	10	8	10	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	120	8	10	4	6	2	1	7	5	2	6	5	7	7	3	0	0	2	0	4	13	0	5	1	1	0	0	1	2	0	1	1	0	2	4	0	0	2	1	6	0	1	0					
