Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Красноселькупская									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК №7	УИК №8					
1	"Число избирателей, внесенных в списки"	4416	2893	1523					
2	"Число бюллетеней, полученных участковыми комиссиями"	4400	2900	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	306	52	254					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2608	1789	819					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	163	101	62					
6	Число погашенных бюллетеней	1323	958	365					
7	Число бюллетеней в переносных ящиках для голосования	469	153	316					
8	Число бюллетеней в стационарных ящиках для голосования	2598	1779	819					
9	Число недействительных бюллетеней	19	12	7					
10	Число действительных бюллетеней	3048	1920	1128					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	58	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	15	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	9	0					
14	Число погашенных открепительных удостоверений	69	43	26					
15	Число открепительных удостоверений выданных ТИК	2	0	2					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	66	43	23					
		2.15%	2.22%	2.02%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	51	17					
		2.21%	2.63%	1.49%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	61	29	32					
		1.98%	1.50%	2.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	62	40	22					
		2.02%	2.07%	1.93%					
22	"5. ""За Русь Святую"""	32	12	20					
		1.04%	0.62%	1.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	4	4					
		0.26%	0.20%	0.35%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	9	1					
		0.32%	0.46%	0.08%					
25	"8. ""Народно-республиканская партия России"""	0	0	0					
		0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	12	2					
		0.45%	0.62%	0.17%					
27	"10. ""Аграрная партия России"""	33	17	16					
		1.07%	0.87%	1.40%					
28	"11. ""Истинные патриоты России"""	6	5	1					
		0.19%	0.25%	0.08%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	24	10	14					
		0.78%	0.51%	1.23%					
30	"13. ""Демократическая партия России"""	14	11	3					
		0.45%	0.56%	0.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	3	1					
		0.13%	0.15%	0.08%					
32	"15. ""Партия СЛОН"""	4	1	3					
		0.13%	0.05%	0.26%					
33	"16. ""Родина"" (народно-патриотический союз)"""	173	92	81					
		5.64%	4.76%	7.13%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	6	5					
		0.35%	0.31%	0.44%					
35	"18. ""ЛДПР"""	302	155	147					
		9.84%	8.02%	12.95%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	37	23	14					
		1.20%	1.19%	1.23%					
37	"20. ""Политическая партия ""Единая Россия"""	1789	1186	603					
		58.33%	61.38%	53.12%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	5	10					
		0.48%	0.25%	0.88%					
39	"22. ""Развитие предпринимательства"""	6	5	1					
		0.19%	0.25%	0.08%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	183	109	74					
		5.96%	5.64%	6.51%					
									
41	Против всех	126	92	34					
		4.10%	4.76%	2.99%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
