Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Красноуфимская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в списки избирателей"	23644	123	1031	374	233	95	484	91	606	157	500	432	381	461	1790	90	403	178	695	394	384	97	379	121	1944	139	296	161	345	354	1180	936	65	1653	940	466	305	342	524	337	94	264	214	324	156	766	403	346	597	546	344	104					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23530	143	1060	389	235	90	513	100	586	159	506	439	364	460	1750	86	412	184	735	384	385	98	369	121	1916	141	318	169	345	360	1116	940	68	1600	910	444	283	347	468	409	91	253	209	331	220	732	381	354	573	519	356	109					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13641	80	584	228	143	67	329	51	354	96	272	269	261	264	995	47	249	102	454	200	296	62	229	90	1026	81	119	99	220	233	669	470	40	903	490	306	231	217	270	200	60	145	119	170	128	451	260	184	298	283	183	64					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1446	11	98	21	21	3	33	10	38	22	33	5	20	30	63	5	19	7	51	23	27	11	29	10	44	17	62	7	19	19	67	107	10	72	50	23	30	6	34	15	5	20	9	19	10	32	34	26	13	55	43	8					
6	Число погашенных избирательных бюллетеней	8443	52	378	140	71	20	151	39	194	41	201	165	83	166	692	34	144	75	230	161	62	25	111	21	846	43	137	63	106	108	380	363	18	625	370	115	22	124	164	194	26	88	81	142	82	249	87	144	262	181	130	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1446	11	98	21	21	3	33	10	38	22	33	5	20	30	63	5	19	7	51	23	27	11	29	10	44	17	62	7	19	19	67	107	10	72	50	23	30	6	34	15	5	20	9	19	10	32	34	26	13	55	43	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13641	80	584	228	143	67	329	51	354	96	272	269	261	264	995	47	249	102	454	200	296	62	229	90	1026	81	119	99	220	233	669	470	40	903	490	306	231	217	270	200	60	145	119	170	128	451	260	184	298	283	183	64					
9	Число недействительных избирательных бюллетеней	147	0	8	0	1	1	1	1	9	1	0	1	3	2	9	0	1	2	5	6	1	0	4	0	6	0	0	3	2	4	4	0	0	12	8	6	1	3	2	5	1	0	0	4	0	6	4	5	9	5	0	1					
10	Число действительных избирательных бюллетеней	14940	91	674	249	163	69	361	60	383	117	305	273	278	292	1049	52	267	107	500	217	322	73	254	100	1064	98	181	103	237	248	732	577	50	963	532	323	260	220	302	210	64	165	128	185	138	477	290	205	302	333	226	71					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	395	1	9	10	6	3	32	5	8	4	7	7	11	2	17	1	9	4	17	2	5	2	4	2	17	6	7	2	2	5	25	21	4	16	8	6	5	2	13	8	2	8	4	6	3	11	4	16	6	8	8	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	391	1	9	10	6	3	32	5	8	3	7	7	10	2	17	1	9	4	17	2	4	2	4	2	17	6	7	2	2	5	25	21	4	16	8	6	5	2	13	8	2	8	4	6	3	11	4	15	6	8	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	182	0	15	7	4	2	7	3	1	3	9	4	4	2	7	0	2	3	1	4	2	1	2	1	7	0	2	4	4	3	8	4	5	8	0	8	1	3	6	1	1	4	3	1	1	8	4	3	2	4	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
