Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Красноуфимская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №508	УИК №509					
1	"Число избирателей, внесенных в список избирателей"	24367	122	975	393	237	90	515	115	614	171	534	429	399	471	1804	87	428	177	680	393	461	98	400	113	2014	132	317	157	314	381	1183	925	54	1657	1088	458	366	356	547	346	91	249	223	298	215	895	400	400	1183	318	94					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24400	120	990	410	240	90	540	115	620	165	535	430	405	480	1700	90	440	180	690	400	460	95	425	110	1900	145	325	150	320	380	1200	920	60	1660	1110	465	365	365	540	350	95	255	220	305	215	915	395	405	1190	325	95					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11807	64	478	210	140	58	289	52	289	90	264	213	213	223	908	49	246	80	382	173	274	53	199	77	964	72	105	104	170	183	533	452	30	727	440	277	193	171	246	177	48	120	100	157	116	410	206	183	394	159	46					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1227	4	65	29	20	3	24	17	42	22	18	4	10	22	42	1	24	11	41	33	29	9	29	3	46	11	66	7	17	18	44	69	8	53	34	25	23	8	39	17	4	15	9	13	13	44	42	20	51	22	7					
6	Число погашенных избирательных бюллетеней	11366	52	447	171	80	29	227	46	289	53	253	213	182	235	750	40	170	89	267	194	157	33	197	30	890	62	154	39	133	179	623	399	22	880	636	163	149	186	255	156	43	120	111	135	86	461	147	202	745	144	42					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1227	4	65	29	20	3	24	17	42	22	18	4	10	22	42	1	24	11	41	33	29	9	29	3	46	11	66	7	17	18	44	69	8	53	34	25	23	8	39	17	4	15	9	13	13	44	42	20	51	22	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11807	64	478	210	140	58	289	52	289	90	264	213	213	223	908	49	246	80	382	173	274	53	199	77	964	72	105	104	170	183	533	452	30	727	440	277	193	171	246	177	48	120	100	157	116	410	206	183	394	159	46					
9	Число недействительных избирательных бюллетеней	375	0	16	4	3	0	6	1	8	2	5	2	7	9	26	0	4	5	5	14	12	1	8	3	17	1	3	3	5	4	13	15	0	23	16	16	16	3	11	8	0	3	2	10	7	12	6	16	18	4	2					
10	Число действительных избирательных бюллетеней	12659	68	527	235	157	61	307	68	323	110	277	215	216	236	924	50	266	86	418	192	291	61	220	77	993	82	168	108	182	197	564	506	38	757	458	286	200	176	274	186	52	132	107	160	122	442	242	187	427	177	51					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	679	0	26	17	13	7	16	5	20	4	13	6	12	9	25	4	25	10	22	12	11	5	15	11	50	22	17	5	11	10	27	22	10	25	16	11	8	12	16	11	5	13	7	12	7	22	7	15	15	12	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	601	0	26	14	7	7	16	5	12	1	6	4	9	6	25	4	24	10	22	12	7	5	15	9	40	22	15	5	10	6	27	22	10	22	16	11	8	12	16	11	4	13	2	12	7	22	5	14	10	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	219	1	10	2	5	4	4	4	3	6	6	5	2	0	13	1	6	3	4	4	5	1	3	4	5	4	8	5	4	3	4	8	7	4	8	5	5	1	8	2	0	3	7	3	2	10	7	6	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	78	0	0	3	6	0	0	0	8	3	7	2	3	3	0	0	1	0	0	0	4	0	0	2	10	0	2	0	1	4	0	0	0	3	0	0	0	0	0	0	1	0	5	0	0	0	2	1	5	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	1	0	0	4	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2674	23	94	40	25	10	58	16	108	22	52	38	38	28	207	9	49	13	87	51	38	7	73	21	174	11	44	18	39	33	151	106	4	259	159	88	34	26	44	30	5	21	23	30	11	67	37	31	88	23	11					
		20.52%	33.82%	17.31%	16.74%	15.63%	16.39%	18.53%	23.19%	32.63%	19.64%	18.44%	17.51%	17.04%	11.43%	21.79%	18.00%	18.15%	14.29%	20.57%	24.76%	12.54%	11.29%	32.02%	26.25%	17.23%	13.25%	25.73%	16.22%	20.86%	16.42%	26.17%	20.35%	10.53%	33.21%	33.54%	29.14%	15.74%	14.53%	15.44%	15.46%	9.62%	15.56%	21.10%	17.65%	8.53%	14.76%	14.92%	15.27%	19.78%	12.71%	20.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2010	11	72	43	44	8	56	8	14	23	52	49	43	40	206	15	61	21	98	12	20	2	16	8	216	29	29	30	27	40	92	101	5	106	46	16	12	10	27	22	9	32	19	11	9	56	9	37	52	39	7					
