Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Данковская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317					
1	"Число избирателей, внесенных в список избирателей"	31099	972	588	1047	1714	1845	2303	2028	2311	1084	412	1029	1763	914	271	813	608	870	1036	839	540	341	573	755	830	491	578	494	280	394	999	301	666	474	430	506					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31390	980	590	1070	1730	1870	2330	2050	2340	1070	430	1040	1770	920	270	810	610	880	1040	840	540	340	580	760	840	490	580	510	280	400	1010	290	670	470	440	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14262	412	278	475	858	973	1264	1021	1071	468	208	419	838	395	102	401	231	328	431	294	166	157	179	332	467	213	234	230	98	144	405	107	343	240	219	261					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3012	56	34	38	60	40	41	46	58	66	11	27	67	20	57	155	145	142	189	144	123	51	195	230	39	79	80	91	81	97	129	80	101	102	57	81					
6	Число погашенных избирательных бюллетеней	14116	512	278	557	812	857	1025	983	1211	536	211	594	865	505	111	254	234	410	420	402	251	132	206	198	334	198	266	189	101	159	476	103	226	128	164	208					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3012	56	34	38	60	40	41	46	58	66	11	27	67	20	57	155	145	142	189	144	123	51	195	230	39	79	80	91	81	97	129	80	101	102	57	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14256	412	278	475	857	973	1264	1021	1069	466	208	419	838	395	102	400	231	328	431	294	166	157	179	332	467	213	234	230	98	144	405	107	343	240	219	261					
9	Число недействительных избирательных бюллетеней	350	16	4	14	16	20	30	27	26	12	4	9	23	11	5	7	1	6	11	12	7	4	8	9	16	2	6	9	3	3	7	4	1	7	5	5					
10	Число действительных избирательных бюллетеней	16918	452	308	499	901	993	1275	1040	1101	520	215	437	882	404	154	548	375	464	609	426	282	204	366	553	490	290	308	312	176	238	527	183	443	335	271	337					
