Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Кандалакшская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
1	"Число избирателей, внесенных в списки"	48238	1763	2369	2497	2207	1443	1078	2572	2483	1688	2272	79	566	1777	2174	2157	335	374	1048	686	592	132	2183	2034	1629	49	561	732	209	724	888	1101	805	2079	1706	330	231	1066	307	99	294	294	625					
2	"Число бюллетеней, полученных участковыми комиссиями"	46177	1600	2100	2300	2100	1300	1000	2300	2300	1600	2000	78	500	1700	2000	2100	330	350	1100	700	600	120	2000	2000	1600	48	620	730	200	700	1000	1000	750	2000	1600	600	300	1000	600	91	280	270	610					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24970	931	1276	1359	1123	684	571	1346	1281	871	1122	25	243	925	1104	1089	293	221	615	343	289	59	1223	926	737	35	276	381	122	371	569	636	439	935	954	212	170	289	280	56	99	141	349					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	726	30	40	33	22	9	12	26	18	15	36	0	14	20	34	25	0	3	21	37	10	23	70	40	26	0	14	12	0	7	50	3	1	36	18	0	0	5	0	0	7	6	3					
6	Число погашенных бюллетеней	20169	639	784	908	955	607	417	928	1001	714	842	53	243	755	862	986	37	126	464	320	301	38	707	1034	837	13	330	337	78	322	381	361	310	1029	628	388	130	394	320	35	174	123	258					
7	Число бюллетеней в переносных ящиках для голосования	1038	30	40	33	22	9	12	26	18	15	36	0	14	20	34	25	0	3	21	37	10	23	70	40	26	0	14	12	0	7	50	3	1	36	18	0	0	317	0	0	7	6	3					
8	Число бюллетеней в стационарных ящиках для голосования	24960	931	1276	1358	1123	684	571	1346	1281	871	1120	25	242	920	1104	1089	293	221	615	343	289	59	1222	926	737	35	276	381	122	371	569	636	439	935	954	212	170	289	280	56	99	141	349					
9	Число недействительных бюллетеней	211	7	3	16	3	7	7	11	8	6	7	0	6	2	8	12	0	0	10	4	4	0	9	15	18	0	6	6	0	1	10	0	0	5	3	0	0	7	1	0	3	2	4					
10	Число действительных бюллетеней	25787	954	1313	1375	1142	686	576	1361	1291	880	1149	25	250	938	1130	1102	293	224	626	376	295	82	1283	951	745	35	284	387	122	377	609	639	440	966	969	212	170	599	279	56	103	145	348					
