Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Симферополь, Центральная"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81470	1402	1952	1893	2028	1553	2188	2254	2003	2138	1489	2001	1815	1929	1628	2206	1978	1594	1645	1647	1691	1549	2817	1608	1564	1780	1628	1859	1753	1882	1656	1649	1896	1195	1923	1778	2289	1896	1907	1969	1648	1212	1844	2078	2641	314	101									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	72450	1350	1700	1700	1800	1400	1850	2000	1700	1900	1300	1750	1600	1750	1400	1950	1700	1400	1450	1500	1500	1300	2550	1400	1400	1500	1400	1600	1600	1650	1500	1400	1650	1000	1700	1600	2050	1650	1700	1700	1400	1600	1650	1850	2350	450	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33955	596	766	743	689	583	1537	1269	892	543	1098	681	685	722	647	1042	783	690	742	684	627	755	1136	731	588	789	684	752	717	765	781	743	833	499	818	756	753	946	878	838	869	1202	244	266	265	228	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	962	18	36	13	17	13	32	35	16	9	12	21	25	26	19	24	35	3	13	14	12	28	32	34	21	30	33	27	23	27	16	19	20	24	43	25	12	21	30	14	15	10	2	0	0	63	0									
6	Число погашенных избирательных бюллетеней	37533	736	898	944	1094	804	281	696	792	1348	190	1048	890	1002	734	884	882	707	695	802	861	517	1382	635	791	681	683	821	860	858	703	638	797	477	839	819	1285	683	792	848	516	388	1404	1584	2085	159	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	962	18	36	13	17	13	32	35	16	9	12	21	25	26	19	24	35	3	13	14	12	28	32	34	21	30	33	27	23	27	16	19	20	24	43	25	12	21	30	14	15	10	2	0	0	63	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33879	596	766	743	688	583	1537	1269	892	543	1098	660	685	722	647	1041	782	690	742	684	627	755	1136	731	588	789	683	752	717	765	781	743	813	499	787	756	753	946	878	838	869	1202	244	266	265	228	100									
9	Число недействительных избирательных бюллетеней	478	11	11	9	16	13	15	4	11	11	7	7	11	10	9	18	12	6	11	11	8	19	7	11	8	13	6	15	15	10	10	9	8	13	12	5	11	22	7	7	11	3	9	7	6	17	6									
10	Число действительных избирательных бюллетеней	34363	603	791	747	689	583	1554	1300	897	541	1103	674	699	738	657	1047	805	687	744	687	631	764	1161	754	601	806	710	764	725	782	787	753	825	510	818	776	754	945	901	845	873	1209	237	259	259	274	94									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2300	38	56	55	55	44	58	64	57	61	40	56	52	56	46	63	57	46	45	47	49	44	81	48	48	51	46	56	53	57	50	49	57	34	56	51	65	57	52	55	41	46	45	49	64	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	552	13	17	14	12	12	20	9	15	16	6	10	9	12	7	26	12	14	8	12	19	16	26	12	15	13	12	11	10	14	11	11	13	10	13	12	16	14	16	13	12	9	6	4	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	451	35	12	8	3	8	7	7	4	3	6	10	3	4	12	11	12	7	3	5	11	8	0	5	6	4	5	15	4	5	15	10	7	13	9	5	10	11	15	9	37	4	11	5	2	42	23									
14	Число погашенных неиспользованных открепительных удостоверений	1748	25	39	41	43	32	38	55	42	45	34	46	43	44	39	37	45	32	37	35	30	28	55	36	33	38	34	45	43	43	39	38	44	24	43	39	49	43	36	42	29	37	39	45	64	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	2	1	3	0	2	38	0	1	1	0	2	1	2	0	0	0	1	2	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	465	15	16	11	3	14	15	10	13	8	8	12	7	12	10	9	14	13	14	11	10	14	14	7	5	13	11	12	10	8	6	15	9	14	16	13	9	11	10	8	8	6	6	4	6	4	1									
		1.33%	2.44%	1.99%	1.46%	0.43%	2.35%	0.96%	0.77%	1.43%	1.45%	0.72%	1.76%	0.99%	1.60%	1.50%	0.85%	1.71%	1.88%	1.85%	1.58%	1.56%	1.79%	1.20%	0.92%	0.82%	1.59%	1.54%	1.54%	1.35%	1.01%	0.75%	1.97%	1.08%	2.68%	1.93%	1.66%	1.18%	1.14%	1.10%	0.94%	0.90%	0.50%	2.44%	1.50%	2.26%	1.37%	1.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	423	10	7	12	10	5	56	7	3	2	4	9	7	4	6	14	10	4	10	5	5	5	5	14	7	63	6	6	4	7	5	6	10	3	7	11	6	13	10	11	6	7	4	7	6	3	1									
		1.21%	1.63%	0.87%	1.59%	1.42%	0.84%	3.57%	0.54%	0.33%	0.36%	0.36%	1.32%	0.99%	0.53%	0.90%	1.31%	1.22%	0.58%	1.32%	0.72%	0.78%	0.64%	0.43%	1.83%	1.15%	7.69%	0.84%	0.77%	0.54%	0.88%	0.63%	0.79%	1.20%	0.57%	0.84%	1.41%	0.78%	1.34%	1.10%	1.29%	0.68%	0.58%	1.63%	2.63%	2.26%	1.03%	1.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	300	4	9	6	8	7	3	3	5	7	2	3	11	7	4	15	4	6	6	3	11	11	17	11	4	3	3	11	8	5	10	10	4	9	2	6	3	9	7	7	3	6	12	2	4	8	1									
		0.86%	0.65%	1.12%	0.79%	1.13%	1.17%	0.19%	0.23%	0.55%	1.27%	0.18%	0.44%	1.55%	0.94%	0.60%	1.41%	0.49%	0.87%	0.79%	0.43%	1.72%	1.40%	1.46%	1.44%	0.66%	0.37%	0.42%	1.41%	1.08%	0.63%	1.25%	1.31%	0.48%	1.72%	0.24%	0.77%	0.39%	0.93%	0.77%	0.82%	0.34%	0.50%	4.88%	0.75%	1.51%	2.75%	1.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24965	412	534	534	513	402	1013	1110	700	407	1001	517	531	570	488	700	569	499	508	491	444	523	838	510	443	557	494	525	498	546	576	514	585	351	567	545	560	655	658	587	682	1059	139	178	180	186	66									
		71.65%	67.10%	66.58%	70.63%	72.77%	67.45%	64.56%	85.12%	77.09%	73.73%	90.18%	75.92%	74.79%	76.20%	73.27%	65.73%	69.65%	72.01%	67.28%	70.34%	69.48%	66.79%	71.75%	66.67%	72.74%	68.01%	68.99%	67.39%	67.30%	68.94%	72.27%	67.45%	70.23%	67.11%	68.31%	69.78%	73.20%	67.74%	72.47%	68.90%	77.15%	87.38%	56.50%	66.92%	67.92%	63.92%	66.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	223	8	6	8	5	2	6	4	5	2	2	3	3	3	1	6	4	3	6	5	3	6	11	8	9	5	3	3	5	3	6	5	8	7	7	8	3	8	0	6	2	5	3	5	5	3	4									
