Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Касторенская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526					
1	"Число избирателей, внесенных в списки"	19578	1039	1806	1024	867	1326	1180	1509	288	330	628	267	221	110	457	449	240	289	258	319	484	623	447	471	254	170	416	173	666	83	176	114	962	380	217	376	636	183	140					
2	"Число бюллетеней, полученных участковыми комиссиями"	19477	1029	1806	1035	860	1324	1185	1484	281	324	621	266	210	112	455	440	249	285	261	324	491	618	451	475	254	170	405	176	659	91	172	116	942	380	217	372	617	181	139					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10145	440	792	408	319	610	584	910	138	219	355	137	139	69	245	288	184	202	130	193	272	272	247	242	113	103	315	103	345	30	122	63	512	176	137	253	226	147	105					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1190	40	56	30	83	39	35	19	42	14	32	13	23	13	39	57	17	31	14	30	39	24	48	32	20	14	19	18	41	29	15	11	82	48	11	35	64	7	6					
6	Число погашенных бюллетеней	8142	549	958	597	458	675	566	555	101	91	234	116	48	30	171	95	48	52	117	101	180	322	156	201	121	53	71	55	273	32	35	42	348	156	69	84	327	27	28					
7	Число бюллетеней в переносных ящиках для голосования	1190	40	56	30	83	39	35	19	42	14	32	13	23	13	39	57	17	31	14	30	39	24	48	32	20	14	19	18	41	29	15	11	82	48	11	35	64	7	6					
8	Число бюллетеней в стационарных ящиках для голосования	10143	440	792	408	319	610	584	910	138	219	355	137	139	69	245	288	184	202	130	193	272	272	247	242	113	103	315	102	345	30	122	62	512	176	137	253	226	147	105					
9	Число недействительных бюллетеней	350	4	12	2	17	1	25	23	12	9	6	3	2	7	8	13	27	14	7	0	5	13	8	13	3	0	18	6	5	4	4	7	33	3	3	14	11	4	4					
10	Число действительных бюллетеней	10983	476	836	436	385	648	594	906	168	224	381	147	160	75	276	332	174	219	137	223	306	283	287	261	130	117	316	114	381	55	133	66	561	221	145	274	279	150	107					
