Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Спасская городская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901					
1	"Число избирателей, внесенных в список избирателей"	35147	1474	1593	845	1033	1064	570	1681	626	1525	1632	1003	1693	559	649	1208	272	852	283	296	1589	1974	1824	1731	1619	320	1799	1608	577	1286	966	996					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35500	1500	1600	850	1050	1100	600	1700	650	1550	1650	1050	1700	600	650	1200	300	900	300	300	1550	1600	1850	1800	1700	350	1850	1600	600	1300	1000	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16172	698	831	412	471	435	289	812	318	817	704	485	656	164	236	554	103	297	134	98	713	1044	780	874	820	163	771	691	214	649	445	494					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1255	66	22	46	34	42	14	46	14	42	35	45	83	54	18	24	18	82	13	25	39	41	30	30	30	24	94	100	32	32	52	28					
6	Число погашенных избирательных бюллетеней	18073	736	747	392	545	623	297	842	318	691	911	520	961	382	396	622	179	521	153	177	798	515	1040	896	850	163	985	809	354	619	503	528					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1255	66	22	46	34	42	14	46	14	42	35	45	83	54	18	24	18	82	13	25	39	41	30	30	30	24	94	100	32	32	52	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16164	698	831	412	471	435	289	811	318	817	704	485	656	164	236	552	103	296	134	98	713	1044	779	874	820	163	771	691	214	646	445	494					
9	Число недействительных избирательных бюллетеней	746	12	33	17	10	23	15	22	14	252	20	9	15	11	16	11	4	8	14	1	40	24	13	16	23	4	38	20	9	17	14	21					
10	Число действительных избирательных бюллетеней	16673	752	820	441	495	454	288	835	318	607	719	521	724	207	238	565	117	370	133	122	712	1061	796	888	827	183	827	771	237	661	483	501					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	649	28	30	15	19	20	10	30	13	29	30	19	30	10	12	22	5	15	5	5	29	56	35	32	30	9	24	18	10	23	18	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	463	17	24	10	18	13	2	18	12	22	26	13	23	5	10	21	0	4	4	1	24	45	30	19	13	8	15	14	5	19	14	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	247	10	7	14	11	4	12	6	1	9	18	4	19	1	8	13	4	4	3	5	11	13	8	2	20	8	7	6	1	8	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	186	11	6	5	1	7	8	12	1	7	4	6	7	5	2	1	5	11	1	4	5	11	5	13	17	1	9	4	5	4	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3288	144	178	96	97	94	60	169	62	129	167	127	170	30	52	83	19	63	18	21	109	153	196	193	175	41	149	149	25	119	103	97					
		18.88%	18.85%	20.87%	20.96%	19.21%	19.71%	19.80%	19.72%	18.67%	15.02%	22.60%	23.96%	23.00%	13.76%	20.47%	14.41%	15.70%	16.67%	12.24%	17.07%	14.49%	14.10%	24.23%	21.35%	20.59%	21.93%	17.23%	18.84%	10.16%	17.55%	20.72%	18.58%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3111	144	164	63	107	87	55	171	74	104	123	82	118	42	60	90	18	80	17	14	159	230	138	130	157	40	151	126	40	131	90	106					
