Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Сосновоборская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675					
1	"Число избирателей, внесенных в списки избирателей"	22734	2209	2364	2627	2181	2193	2220	2404	2080	2310	2146					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21210	1970	2190	2420	2050	2050	2100	2290	1940	2190	2010					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13210	1300	1432	1498	1218	1279	1279	1404	1230	1350	1220					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	264	20	16	96	22	25	14	9	17	25	20					
6	Число погашенных избирательных бюллетеней	7736	650	742	826	810	746	807	877	693	815	770					
7	Число избирательных бюллетеней в переносных ящиках для голосования	264	20	16	96	22	25	14	9	17	25	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13197	1300	1431	1498	1218	1274	1279	1401	1230	1350	1216					
9	Число недействительных избирательных бюллетеней	175	10	23	28	16	12	22	10	12	24	18					
10	Число действительных избирательных бюллетеней	13286	1310	1424	1566	1224	1287	1271	1400	1235	1351	1218					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	395	40	40	40	40	40	40	40	40	40	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	98	12	12	9	10	5	15	7	8	11	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	82	3	14	26	7	7	2	7	8	3	5					
14	Число погашенных неиспользованных открепительных удостоверений	297	28	28	31	30	35	25	33	32	29	26					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	1	0	1	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	280	34	34	36	21	26	20	24	29	29	27					
		2.08%	2.58%	2.35%	2.26%	1.69%	2.00%	1.55%	1.70%	2.33%	2.11%	2.18%					
19	2.Всероссийская политическая партия «Гражданская Сила»	103	6	10	7	8	12	17	7	6	17	13					
		0.77%	0.45%	0.69%	0.44%	0.65%	0.92%	1.31%	0.50%	0.48%	1.24%	1.05%					
20	3.Политическая партия «Демократическая партия России»	12	2	2	1	2	2	1	0	1	0	1					
		0.09%	0.15%	0.14%	0.06%	0.16%	0.15%	0.08%	0.00%	0.08%	0.00%	0.08%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1758	184	217	276	175	134	131	159	157	183	142					
		13.06%	13.94%	14.99%	17.31%	14.11%	10.32%	10.13%	11.28%	12.59%	13.31%	11.49%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	205	24	23	16	24	17	21	26	8	19	27					
		1.52%	1.82%	1.59%	1.00%	1.94%	1.31%	1.62%	1.84%	0.64%	1.38%	2.18%					
23	6.Политическая партия «Партия социальной справедливости»	29	4	3	0	2	3	2	4	7	3	1					
		0.22%	0.30%	0.21%	0.00%	0.16%	0.23%	0.15%	0.28%	0.56%	0.22%	0.08%					
24	7.Политическая партия «Либерально-демократическая партия России»	1179	116	109	137	92	120	127	130	135	113	100					
		8.76%	8.79%	7.53%	8.59%	7.42%	9.24%	9.82%	9.22%	10.83%	8.22%	8.09%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1352	106	152	178	148	124	130	129	122	148	115					
		10.04%	8.03%	10.50%	11.17%	11.94%	9.55%	10.05%	9.15%	9.78%	10.76%	9.30%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	187	14	27	27	16	23	13	21	11	20	15					
		1.39%	1.06%	1.87%	1.69%	1.29%	1.77%	1.01%	1.49%	0.88%	1.45%	1.21%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8056	805	832	878	719	817	795	888	749	807	766					
		59.85%	60.98%	57.50%	55.08%	57.98%	62.89%	61.48%	62.98%	60.06%	58.69%	61.97%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	125	15	15	10	17	9	14	12	10	12	11					
		0.93%	1.14%	1.04%	0.63%	1.37%	0.69%	1.08%	0.85%	0.80%	0.87%	0.89%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
