Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Заволжская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457					
1	"Число избирателей, внесенных в список"	17792	1951	1765	2111	2266	1052	1137	1072	399	116	127	239	169	633	131	203	250	165	669	79	469	133	257	123	677	66	92	1091	350					
2	Число полученных избирательных бюллетеней	17510	1900	1700	2100	2200	1000	1100	1030	390	130	150	260	175	640	140	210	270	160	680	75	450	130	260	120	680	75	85	1060	340					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8182	888	780	1031	1053	397	535	353	191	56	47	90	68	276	72	81	142	45	342	51	249	66	112	61	339	50	27	572	208					
5	"Число избирательных бюллетеней, выданных вне помещения"	1864	93	119	47	48	88	55	111	84	34	54	58	49	191	46	68	44	90	109	15	96	51	79	22	87	0	45	51	30					
6	Число погашенных избирательных бюллетеней	7464	919	801	1022	1099	515	510	566	115	40	49	112	58	173	22	61	84	25	229	9	105	13	69	37	254	25	13	437	102					
7	Число избирательных бюллетеней в переносных ящиках	1864	93	119	47	48	88	55	111	84	34	54	58	49	191	46	68	44	90	109	15	96	51	79	22	87	0	45	51	30					
8	Число бюллетеней в стационарных ящиках для голосования	8182	888	780	1031	1053	397	535	353	191	56	47	90	68	276	72	81	142	45	342	51	249	66	112	61	339	50	27	572	208					
9	Число недействительных избирательных бюллетеней	80	7	11	9	4	5	4	0	0	1	0	0	0	4	2	0	3	0	8	0	2	0	1	1	5	0	0	11	2					
10	Число действительных избирательных бюллетеней	9966	974	888	1069	1097	480	586	464	275	89	101	148	117	463	116	149	183	135	443	66	343	117	190	82	421	50	72	612	236					
11	Число полученных открепительных  удостоверений	281	20	20	20	20	15	15	15	8	6	6	8	6	10	6	8	8	6	10	6	8	6	8	6	10	6	6	10	8					
12	Число выданных открепительных удостоверений	90	7	11	10	9	1	0	9	3	0	0	7	1	0	0	0	5	2	4	0	0	0	3	2	7	0	0	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	7	6	4	2	3	4	1	3	1	2	0	0	0	0	0	1	2	3	0	1	1	0	0	0	0	1	5	2					
14	Число неиспользованных открепительных удостоверений	191	13	9	10	11	14	15	6	5	6	6	1	5	10	6	8	3	4	6	6	8	6	5	4	3	6	6	2	7					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	424	65	32	55	68	24	24	25	17	3	5	8	0	15	0	6	0	0	11	1	14	2	2	4	13	1	3	15	11					
		4.22%	6.63%	3.56%	5.10%	6.18%	4.95%	4.07%	5.39%	6.18%	3.33%	4.95%	5.41%	0.00%	3.21%	0.00%	4.03%	0.00%	0.00%	2.44%	1.52%	4.06%	1.71%	1.05%	4.82%	3.05%	2.00%	4.17%	2.41%	4.62%					
19	. Малышкин Олег Александрович	321	36	28	21	59	13	15	17	9	2	1	4	0	10	0	8	4	4	16	3	10	20	10	0	10	0	0	13	8					
		3.20%	3.67%	3.11%	1.95%	5.36%	2.68%	2.54%	3.66%	3.27%	2.22%	0.99%	2.70%	0.00%	2.14%	0.00%	5.37%	2.15%	2.96%	3.55%	4.55%	2.90%	17.09%	5.24%	0.00%	2.35%	0.00%	0.00%	2.09%	3.36%					
20	. Миронов Сергей Михайлович	102	6	6	10	10	10	3	6	3	2	2	1	1	4	1	2	3	0	5	0	7	0	1	0	5	1	1	9	3					
		1.02%	0.61%	0.67%	0.93%	0.91%	2.06%	0.51%	1.29%	1.09%	2.22%	1.98%	0.68%	0.85%	0.86%	0.85%	1.34%	1.61%	0.00%	1.11%	0.00%	2.03%	0.00%	0.52%	0.00%	1.17%	2.00%	1.39%	1.44%	1.26%					
21	. Путин Владимир Владимирович	6308	555	498	616	655	271	405	300	196	58	71	99	79	371	89	105	123	96	302	39	199	66	135	40	262	45	40	448	145					
		62.79%	56.57%	55.39%	57.14%	59.49%	55.88%	68.64%	64.66%	71.27%	64.44%	70.30%	66.89%	67.52%	79.44%	75.42%	70.47%	66.13%	71.11%	66.96%	59.09%	57.68%	56.41%	70.68%	48.19%	61.50%	90.00%	55.56%	71.91%	60.92%					
22	. Хакамада Ирина Муцуовна	221	24	15	28	34	11	6	10	6	0	1	0	4	8	5	6	4	6	13	0	2	0	3	0	11	0	1	14	9					
