Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Савеловский район																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №3649	УИК №3650									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37436	2438	2095	2195	2749	2294	2412	2558	2454	2139	2556	2829	2681	2313	2633	2844	39	207									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26150	1700	1450	1550	1900	1600	1700	1800	1700	1500	1750	1950	1850	1600	1850	2000	50	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12539	854	632	617	933	665	699	826	676	725	854	1373	944	763	854	951	35	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	548	32	36	29	27	14	36	24	39	20	39	30	39	45	40	43	3	52									
6	Число погашенных избирательных бюллетеней	13063	814	782	904	940	921	965	950	985	755	857	547	867	792	956	1006	12	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	548	32	36	29	27	14	36	24	39	20	39	30	39	45	40	43	3	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12503	854	627	617	930	665	698	824	674	725	851	1368	929	763	854	951	35	138									
9	Число недействительных избирательных бюллетеней	241	13	17	18	14	15	8	11	12	10	11	35	14	13	21	22	0	7									
10	Число действительных избирательных бюллетеней	12810	873	646	628	943	664	726	837	701	735	879	1363	954	795	873	972	38	183									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	20	20	10	20	10	15	10	20	15	20	15	15	10	15	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	180	18	13	8	18	7	11	9	18	9	13	13	9	3	11	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	273	27	11	12	15	2	5	15	9	4	51	27	23	15	13	25	9	10									
14	Число погашенных неиспользованных открепительных удостоверений	55	2	7	2	2	3	4	1	2	6	7	2	6	7	4	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	5	3	1	6	0	1	3	0	1	2	1	2	2	5	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	501	40	33	17	42	33	18	27	22	42	30	46	29	34	39	38	1	10									
