Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Вадинская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7242	342	255	232	368	361	331	314	337	635	366	593	288	225	163	202	262	235	153	411	306	279	253	140	191									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7500	342	262	242	382	372	342	327	356	658	374	609	301	238	170	212	270	245	156	420	313	283	268	149	209									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4031	224	144	152	222	269	233	175	150	347	179	318	199	92	97	91	144	113	73	209	173	161	132	47	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1346	54	70	45	39	38	19	70	80	90	99	45	37	77	22	41	42	55	27	129	84	50	36	50	47									
6	Число погашенных избирательных бюллетеней	2123	64	48	45	121	65	90	82	126	221	96	246	65	69	51	80	84	77	56	82	56	72	100	52	75									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1346	54	70	45	39	38	19	70	80	90	99	45	37	77	22	41	42	55	27	129	84	50	36	50	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4031	224	144	152	222	269	233	175	150	347	179	318	199	92	97	91	144	113	73	209	173	161	132	47	87									
9	Число недействительных избирательных бюллетеней	70	0	0	0	0	1	4	0	4	3	11	6	0	11	15	0	1	2	0	2	0	5	3	2	0									
10	Число действительных избирательных бюллетеней	5307	278	214	197	261	306	248	245	226	434	267	357	236	158	104	132	185	166	100	336	257	206	165	95	134									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	5	8	8	10	7	14	8	19	24	7	20	14	10	9	5	5	6	5	6	10	5	18	9	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	236	5	8	8	10	7	11	8	18	24	7	20	14	10	8	5	5	6	5	6	9	4	18	8	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	4	3	4	3	7	4	0	1	3	5	10	4	1	3	1	2	2	4	3	2	2	4	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	2	1	3	8	9	7	4	2	4	3	9	1	2	0	1	3	2	0	0	0	2	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	2	2	0	5	2	0	0	2	3	1	3	0	1	0	0	2	0	0	1	0	0	0	0	1									
		0.46%	0.72%	0.93%	0.00%	1.92%	0.65%	0.00%	0.00%	0.87%	0.69%	0.36%	0.83%	0.00%	0.59%	0.00%	0.00%	1.08%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	84	5	2	1	5	5	5	3	6	2	2	16	0	2	5	0	4	4	0	3	1	2	6	4	1									
