Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Покачевская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11711	1454	829	1257	1184	1114	1230	1138	1163	1072	978	292									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10818	1337	769	1173	1093	1030	1139	1042	1058	1012	888	277									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5619	661	426	618	511	514	593	566	549	522	469	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	34	5	2	2	8	4	6	2	2	0	3	0									
6	Число погашенных избирательных бюллетеней	5165	671	341	553	574	512	540	474	507	490	416	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	34	5	2	2	8	4	6	2	2	0	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5619	661	426	618	511	514	593	566	549	522	469	190									
9	Число недействительных избирательных бюллетеней	383	37	22	55	53	18	36	40	56	23	35	8									
10	Число действительных избирательных бюллетеней	5270	629	406	565	466	500	563	528	495	499	437	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	20	20	20	20	20	20	20	20	20	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	18	8	12	7	8	11	13	7	11	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	298	9	11	12	12	9	11	24	9	9	26	166									
14	Число погашенных неиспользованных открепительных удостоверений	104	2	12	8	13	12	9	7	13	9	14	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	291	17	24	39	15	33	31	25	25	47	33	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	120	11	5	19	11	10	18	16	10	7	7	6									
		2.12%	1.65%	1.17%	3.06%	2.12%	1.93%	3.01%	2.82%	1.81%	1.34%	1.48%	3.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	385	32	14	46	25	49	53	29	59	21	45	12									
		6.81%	4.80%	3.27%	7.42%	4.82%	9.46%	8.85%	5.11%	10.71%	4.02%	9.53%	6.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	156	9	12	20	11	20	16	16	17	16	17	2									
		2.76%	1.35%	2.80%	3.23%	2.12%	3.86%	2.67%	2.82%	3.09%	3.07%	3.60%	1.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2247	264	165	270	187	246	223	218	204	230	177	63									
		39.75%	39.64%	38.55%	43.55%	36.03%	47.49%	37.23%	38.38%	37.02%	44.06%	37.50%	33.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	6	4	3	5	5	0	3	6	4	3	1									
		0.71%	0.90%	0.93%	0.48%	0.96%	0.97%	0.00%	0.53%	1.09%	0.77%	0.64%	0.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	3	0	0	0	3	4	0	1	0	0	2									
		0.23%	0.45%	0.00%	0.00%	0.00%	0.58%	0.67%	0.00%	0.18%	0.00%	0.00%	1.05%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1208	149	102	127	97	93	127	120	102	128	107	56									
		21.37%	22.37%	23.83%	20.48%	18.69%	17.95%	21.20%	21.13%	18.51%	24.52%	22.67%	29.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	0	3	5	0	1	0	6	4	3	3	1									
		0.46%	0.00%	0.70%	0.81%	0.00%	0.19%	0.00%	1.06%	0.73%	0.57%	0.64%	0.53%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	29	4	2	2	4	2	4	2	3	2	4	0									
		0.51%	0.60%	0.47%	0.32%	0.77%	0.39%	0.67%	0.35%	0.54%	0.38%	0.85%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	4	3	0	2	1	1	1	0	2	1	1									
		0.28%	0.60%	0.70%	0.00%	0.39%	0.19%	0.17%	0.18%	0.00%	0.38%	0.21%	0.53%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	5	3	6	4	2	4	0	3	7	3	1									
		0.67%	0.75%	0.70%	0.97%	0.77%	0.39%	0.67%	0.00%	0.54%	1.34%	0.64%	0.53%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	737	100	70	48	91	45	88	93	65	54	54	29									
		13.04%	15.02%	16.36%	7.74%	17.53%	8.69%	14.69%	16.37%	11.80%	10.34%	11.44%	15.26%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	4	2	5	2	3	3	5	3	5	3	1									
		0.64%	0.60%	0.47%	0.81%	0.39%	0.58%	0.50%	0.88%	0.54%	0.96%	0.64%	0.53%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	219	38	21	14	27	20	22	19	18	20	13	7									
		3.87%	5.71%	4.91%	2.26%	5.20%	3.86%	3.67%	3.35%	3.27%	3.83%	2.75%	3.68%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
