Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Богатовская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12052	561	331	500	1709	1683	1825	177	482	705	652	709	817	455	669	439	338									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12210	595	335	520	1720	1690	1845	180	485	705	660	715	825	465	690	445	335									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6793	329	231	330	909	1147	1044	99	226	296	360	379	430	235	362	249	167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1431	85	38	84	277	144	213	45	37	78	29	85	100	66	78	45	27									
6	Число погашенных избирательных бюллетеней	3986	181	66	106	534	399	588	36	222	331	271	251	295	164	250	151	141									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1431	85	38	84	277	144	213	45	37	78	29	85	100	66	78	45	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6791	329	231	330	909	1147	1044	99	224	296	360	379	430	235	362	249	167									
9	Число недействительных избирательных бюллетеней	272	27	16	20	30	36	46	3	5	9	13	6	21	13	11	9	7									
10	Число действительных избирательных бюллетеней	7950	387	253	394	1156	1255	1211	141	256	365	376	458	509	288	429	285	187									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	228	25	5	18	27	27	23	10	10	5	6	14	10	14	22	10	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	228	25	5	18	27	27	23	10	10	5	6	14	10	14	22	10	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	3	4	4	10	9	5	4	2	5	5	1	12	7	8	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	5	0	0	3	5	8	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
