Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																															
																																																																																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
1	"Число избирателей, внесенных в списки"	109541	2138	1086	2221	2073	620	1368	2070	1197	2107	1902	1947	2385	1795	2527	1922	1680	2617	1773	1796	2030	620	2012	1981	2033	2822	2203	2042	1918	1615	2680	2358	2208	2227	2733	2787	2744	1758	2837	1248	2230	2406	2592	2294	2273	2590	2894	2777	2578	1182	1202	935	2331	2498	12	12	13	11	15	14	13	12	11	13	15	12	14	14	14	12	13	15	13	13	13	14	13	13	14	12	12	13	13	13	14	13	12	14	15	15	13	12	14	14	14	14	14	14	14	14	13	13	14	13	15					
2	"Число бюллетеней, полученных участковыми комиссиями"	98939	1900	970	2020	1900	560	1200	1860	1100	1910	1720	1760	2160	1630	2300	1900	1510	2390	1610	1630	1830	560	1780	1790	1830	2570	2000	1830	1750	1460	2400	2140	2000	2040	2480	2520	2500	1550	2580	1140	2030	2180	2350	1950	2070	2360	2630	2470	2330	1050	960	700	2130	2270	12	12	13	11	15	14	13	12	11	13	15	12	14	14	14	12	13	15	13	13	13	14	13	13	14	12	12	13	13	13	14	13	12	14	15	15	13	12	14	14	14	14	14	14	14	14	13	13	14	13	15					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	13	11	15	14	13	12	11	13	15	12	14	14	14	12	13	15	13	13	12	14	13	13	14	12	12	13	13	13	14	13	12	14	15	15	13	12	14	13	14	14	14	14	14	14	13	13	14	13	15					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	47270	650	464	1010	1120	248	441	791	416	939	809	809	934	767	935	932	868	1529	606	767	940	356	1040	839	902	1268	1104	868	890	463	1191	1248	1078	954	1235	1342	1328	570	1054	364	1012	1049	1120	1040	1069	1096	1361	1207	1158	273	414	435	1013	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1405	15	3	20	24	11	50	33	6	49	28	35	24	20	31	18	24	29	14	5	16	4	51	30	46	28	49	24	23	21	16	25	23	14	9	14	16	11	23	36	8	19	9	11	10	17	10	9	6	263	45	45	21	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	49585	1235	503	990	756	301	707	1036	678	922	883	916	1202	843	1334	950	618	832	990	858	874	200	689	921	882	1274	847	938	837	976	1193	867	899	1072	1235	1164	1156	968	1503	740	1010	1112	1221	899	991	1247	1259	1254	1166	514	501	220	1096	1302	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	1405	15	3	20	24	11	50	33	6	49	28	35	24	20	31	18	24	29	14	5	16	4	51	30	46	28	49	24	23	21	16	25	23	14	9	14	16	11	23	36	8	19	9	11	10	17	10	9	6	263	45	45	21	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	47644	650	463	1007	849	248	441	789	416	939	809	809	932	766	935	932	868	1529	605	767	940	356	1040	838	902	1268	1101	867	889	463	1191	1246	1077	954	1235	1342	1328	570	1049	364	1009	1049	1118	1043	1069	1096	1361	1204	1158	273	414	435	1013	954	10	12	13	11	15	14	13	12	11	13	15	12	14	14	14	12	13	15	13	13	12	14	13	13	14	12	12	13	13	13	14	13	12	14	15	14	13	12	14	13	14	14	14	14	14	14	13	13	14	13	15					
9	Число недействительных бюллетеней	410	5	1	11	4	1	12	9	6	12	4	7	9	3	5	3	3	10	7	8	6	2	6	0	5	5	10	5	11	5	9	9	11	9	9	19	18	14	11	15	6	10	13	5	9	5	4	2	3	16	16	2	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
10	Число действительных бюллетеней	48639	660	465	1016	869	258	479	813	416	976	833	837	947	783	961	947	889	1548	612	764	950	358	1085	868	943	1291	1140	886	901	479	1198	1262	1089	959	1235	1337	1326	567	1061	385	1011	1058	1114	1049	1070	1108	1367	1211	1161	520	443	478	1028	960	10	12	13	11	15	14	13	12	11	13	15	12	14	14	14	12	13	15	13	13	12	14	13	13	14	12	12	13	13	12	12	13	12	14	15	13	13	11	14	13	14	14	14	14	13	14	13	13	14	13	15					
