Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Новоржевская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313					
1	"Число избирателей, внесенных в списки избирателей"	8837	1851	1624	437	558	502	956	602	779	1062	466					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9075	1833	1658	454	590	540	969	622	813	1128	468					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3461	947	913	121	133	181	350	152	210	323	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2545	96	101	217	325	205	338	280	347	414	222					
6	Число погашенных избирательных бюллетеней	3069	790	644	116	132	154	281	190	256	391	115					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2545	96	101	217	325	205	338	280	347	414	222					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3461	947	913	121	133	181	350	152	210	323	131					
9	Число недействительных избирательных бюллетеней	31	9	7	1	0	1	3	5	2	3	0					
10	Число действительных избирательных бюллетеней	5975	1034	1007	337	458	385	685	427	555	734	353					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	318	27	28	30	50	33	20	20	40	55	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	265	27	22	18	46	31	15	5	40	46	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	84	19	23	2	7	8	6	2	6	5	6					
14	Число погашенных неиспользованных открепительных удостоверений	53	0	6	12	4	2	5	15	0	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	238	26	37	22	22	11	23	30	26	29	12					
		3.96%	2.49%	3.65%	6.51%	4.80%	2.85%	3.34%	6.94%	4.67%	3.93%	3.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	20	3	8	0	2	2	0	0	1	4	0					
		0.33%	0.29%	0.79%	0.00%	0.44%	0.52%	0.00%	0.00%	0.18%	0.54%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	1	0	0	0	1	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.14%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	874	209	160	51	42	49	93	67	57	104	42					
		14.55%	20.04%	15.78%	15.09%	9.17%	12.69%	13.52%	15.51%	10.23%	14.11%	11.90%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	10	4	1	0	0	0	0	0	2	3	0					
		0.17%	0.38%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.41%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	13	4	0	0	0	0	1	0	2	5	1					
		0.22%	0.38%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.36%	0.68%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	387	66	61	18	25	24	47	39	35	54	18					
		6.44%	6.33%	6.02%	5.33%	5.46%	6.22%	6.83%	9.03%	6.28%	7.33%	5.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	681	144	151	49	42	32	47	56	69	61	30					
		11.34%	13.81%	14.89%	14.50%	9.17%	8.29%	6.83%	12.96%	12.39%	8.28%	8.50%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	95	20	17	2	4	6	3	4	3	10	26					
		1.58%	1.92%	1.68%	0.59%	0.87%	1.55%	0.44%	0.93%	0.54%	1.36%	7.37%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3630	551	566	194	320	258	471	231	358	460	221					
		60.44%	52.83%	55.82%	57.40%	69.87%	66.84%	68.46%	53.47%	64.27%	62.42%	62.61%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	7	6	1	1	2	0	0	2	3	3					
		0.42%	0.67%	0.59%	0.30%	0.22%	0.52%	0.00%	0.00%	0.36%	0.41%	0.85%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
