Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Новоржевская 																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308					
1	"Число избирателей, внесенных в список избирателей"	8300	1816	1560	390	518	470	842	542	759	994	409					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8500	1800	1600	400	530	500	870	600	800	1000	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2902	814	766	102	116	132	244	126	164	334	104					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1724	69	67	154	236	134	205	222	247	259	131					
6	Число погашенных избирательных бюллетеней	3874	917	767	144	178	234	421	252	389	407	165					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1724	69	67	154	236	134	205	222	247	259	131					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2900	814	764	102	116	132	244	126	164	334	104					
9	Число недействительных избирательных бюллетеней	67	14	22	1	2	8	8	1	3	5	3					
10	Число действительных избирательных бюллетеней	4557	869	809	255	350	258	441	347	408	588	232					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	170	35	32	8	11	9	18	11	16	21	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	37	9	15	1	2	0	6	1	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	11	3	4	5	2	4	2	2	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	133	26	17	7	9	9	12	10	16	19	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	729	170	150	53	51	37	65	41	47	85	30					
		15.77%	19.25%	18.05%	20.70%	14.49%	13.91%	14.48%	11.78%	11.44%	14.33%	12.77%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	530	106	89	30	29	39	76	42	35	61	23					
		11.46%	12.00%	10.71%	11.72%	8.24%	14.66%	16.93%	12.07%	8.52%	10.29%	9.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	6	6	0	3	1	2	1	1	1	0					
		0.45%	0.68%	0.72%	0.00%	0.85%	0.38%	0.45%	0.29%	0.24%	0.17%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1061	229	202	80	63	42	117	78	73	139	38					
		22.95%	25.93%	24.31%	31.25%	17.90%	15.79%	26.06%	22.41%	17.76%	23.44%	16.17%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	26	34	3	4	4	10	1	14	12	3					
		2.40%	2.94%	4.09%	1.17%	1.14%	1.50%	2.23%	0.29%	3.41%	2.02%	1.28%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2093	328	326	89	199	134	170	184	238	287	138					
		45.26%	37.15%	39.23%	34.77%	56.53%	50.38%	37.86%	52.87%	57.91%	48.40%	58.72%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	4	2	0	1	1	1	0	0	3	0					
		0.26%	0.45%	0.24%	0.00%	0.28%	0.38%	0.22%	0.00%	0.00%	0.51%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
