Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Очерская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19010	1358	756	1706	234	1495	1231	736	358	1248	1583	482	1481	1185	227	364	563	520	134	190	373	530	430	441	125	140	257	863									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17900	1300	700	1650	200	1400	1200	700	350	1200	1500	450	1400	1100	200	350	500	500	120	180	350	500	400	400	100	150	200	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5810	392	232	551	77	474	403	207	75	404	448	138	499	391	51	103	195	168	45	71	82	161	138	139	21	44	84	217									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	470	30	9	10	3	18	17	10	6	31	19	21	21	8	18	28	34	8	0	7	9	36	22	31	21	6	4	43									
6	Число погашенных избирательных бюллетеней	11620	878	459	1089	120	908	780	483	269	765	1033	291	880	701	131	219	271	324	75	102	259	303	240	230	58	100	112	540									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	470	30	9	10	3	18	17	10	6	31	19	21	21	8	18	28	34	8	0	7	9	36	22	31	21	6	4	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5809	392	232	551	76	474	403	207	75	404	448	138	499	391	51	103	195	168	45	71	82	161	138	139	21	44	84	217									
9	Число недействительных избирательных бюллетеней	201	14	7	10	1	16	17	8	2	14	20	7	24	13	1	1	2	5	2	2	6	4	8	6	0	3	2	6									
10	Число действительных избирательных бюллетеней	6078	408	234	551	78	476	403	209	79	421	447	152	496	386	68	130	227	171	43	76	85	193	152	164	42	47	86	254									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	520	30	25	30	20	30	30	20	20	30	30	20	30	30	10	15	15	5	5	10	15	20	20	15	5	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	2	3	7	0	5	7	3	0	3	2	1	3	5	0	0	3	2	1	1	0	3	2	1	0	10	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	5	2	5	0	5	2	0	0	1	2	0	13	7	0	2	7	0	2	0	1	1	0	0	2	0	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	453	28	22	23	20	25	23	17	20	27	28	19	27	25	10	15	12	3	4	9	15	17	18	14	5	0	9	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	3	1	4	0	1	0	1	0	1	3	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	79	2	6	5	4	6	7	2	1	8	5	0	10	8	0	1	5	1	0	0	0	1	1	0	3	0	0	3									
		1.26%	0.47%	2.49%	0.89%	5.06%	1.22%	1.67%	0.92%	1.23%	1.84%	1.07%	0.00%	1.92%	2.01%	0.00%	0.76%	2.18%	0.57%	0.00%	0.00%	0.00%	0.51%	0.63%	0.00%	7.14%	0.00%	0.00%	1.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	164	8	5	16	4	11	13	7	1	13	5	6	12	13	3	6	5	4	1	3	2	7	1	8	0	1	4	5									
		2.61%	1.90%	2.07%	2.85%	5.06%	2.24%	3.10%	3.23%	1.23%	2.99%	1.07%	3.77%	2.31%	3.26%	4.35%	4.58%	2.18%	2.27%	2.22%	3.85%	2.20%	3.55%	0.63%	4.71%	0.00%	2.00%	4.55%	1.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	194	13	7	22	3	17	13	2	2	10	13	3	22	19	0	5	5	4	0	2	3	5	2	9	0	1	3	9									
		3.09%	3.08%	2.90%	3.92%	3.80%	3.46%	3.10%	0.92%	2.47%	2.30%	2.78%	1.89%	4.23%	4.76%	0.00%	3.82%	2.18%	2.27%	0.00%	2.56%	3.30%	2.54%	1.25%	5.29%	0.00%	2.00%	3.41%	3.46%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2848	181	103	252	38	196	165	109	36	182	215	110	202	148	51	63	107	82	23	41	45	88	95	90	29	35	41	121									
		45.36%	42.89%	42.74%	44.92%	48.10%	39.84%	39.29%	50.23%	44.44%	41.84%	46.04%	69.18%	38.85%	37.09%	73.91%	48.09%	46.72%	46.59%	51.11%	52.56%	49.45%	44.67%	59.38%	52.94%	69.05%	70.00%	46.59%	46.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	1	1	6	0	3	3	2	2	2	1	1	5	4	0	0	2	1	0	1	0	2	1	2	0	0	1	1									
		0.67%	0.24%	0.41%	1.07%	0.00%	0.61%	0.71%	0.92%	2.47%	0.46%	0.21%	0.63%	0.96%	1.00%	0.00%	0.00%	0.87%	0.57%	0.00%	1.28%	0.00%	1.02%	0.63%	1.18%	0.00%	0.00%	1.14%	0.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.18%	0.00%	0.00%	0.24%	0.00%	1.23%	0.23%	0.21%	0.00%	0.19%	0.00%	1.45%	0.76%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1239	87	47	94	14	119	80	52	21	94	93	22	95	85	7	26	53	36	9	14	24	53	19	20	8	0	10	57									
