Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Тюкалинская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100					
1	"Число избирателей, внесенных в списки"	22113	1758	1296	765	1471	1083	385	1092	895	657	62	89	75	286	83	335	63	160	27	400	251	88	191	493	96	101	102	93	50	647	199	130	591	34	71	74	46	97	433	63	25	60	128	536	95	72	296	63	131	578	103	52	86	620	88	73	112	77	910	578	102	874	117	33	372	79	45	67	465	46	92	27	168	111					
2	"Число бюллетеней, полученных участковыми комиссиями"	20680	1600	1200	700	1300	1000	300	1000	800	615	75	90	75	290	85	307	65	160	48	367	250	90	183	442	95	98	103	94	48	602	200	128	535	36	69	75	48	97	396	65	27	64	128	487	93	70	265	65	120	544	109	54	93	584	88	80	112	86	850	588	102	806	110	34	344	80	47	69	410	47	90	25	164	114					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13715	846	710	394	848	672	227	572	478	374	62	63	63	197	67	195	51	96	25	275	183	53	152	296	71	70	84	63	34	350	116	102	356	33	51	63	46	77	335	57	23	47	118	253	68	56	218	57	99	400	57	49	57	358	79	73	108	77	594	353	81	532	79	30	248	65	24	52	301	38	67	24	137	86					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	662	51	46	22	42	16	4	35	8	37	0	4	4	4	4	14	0	7	2	29	18	0	0	15	8	3	0	0	4	16	17	4	16	0	0	0	0	0	0	0	0	0	0	30	11	0	10	0	0	10	6	0	0	25	0	0	0	0	16	25	0	50	11	0	16	0	9	0	9	0	4	0	0	0					
6	Число погашенных бюллетеней	6303	703	444	284	410	312	69	393	314	204	13	23	8	89	14	98	14	57	21	63	49	37	31	131	16	25	19	31	10	236	67	22	163	3	18	12	2	20	61	8	4	17	10	204	14	14	37	8	21	134	46	5	36	201	9	7	4	9	240	210	21	224	20	4	80	15	14	17	100	9	19	1	27	28					
7	Число бюллетеней в переносных ящиках для голосования	662	51	46	22	42	16	4	35	8	37	0	4	4	4	4	14	0	7	2	29	18	0	0	15	8	3	0	0	4	16	17	4	16	0	0	0	0	0	0	0	0	0	0	30	11	0	10	0	0	10	6	0	0	25	0	0	0	0	16	25	0	50	11	0	16	0	9	0	9	0	4	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13706	846	710	394	848	672	227	572	478	374	62	63	63	197	67	195	51	96	25	275	183	53	152	296	71	70	84	63	34	350	116	102	356	33	51	63	46	77	335	57	23	47	118	253	68	56	218	57	99	400	57	49	57	358	79	73	108	77	594	353	81	532	79	30	248	65	24	52	292	38	67	24	137	86					
9	Число недействительных бюллетеней	235	7	0	0	3	9	2	8	4	11	0	1	1	9	0	8	9	0	0	7	2	0	0	11	1	3	0	0	1	7	0	9	15	3	0	1	0	0	2	4	8	0	3	8	0	0	2	0	1	9	3	0	0	5	2	7	0	6	11	6	0	5	4	0	4	0	0	0	2	0	4	0	2	5					
10	Число действительных бюллетеней	14133	890	756	416	887	679	229	599	482	400	62	66	66	192	71	201	42	103	27	297	199	53	152	300	78	70	84	63	37	359	133	97	357	30	51	62	46	77	333	53	15	47	115	275	79	56	226	57	98	401	60	49	57	378	77	66	108	71	599	372	81	577	86	30	260	65	33	52	299	38	67	24	135	81					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	295	12	22	6	12	12	6	12	6	6	2	2	2	3	2	6	2	2	2	6	2	2	4	6	2	2	2	2	2	6	4	2	6	2	2	2	2	2	6	2	2	2	2	6	2	2	6	2	2	6	2	2	2	8	2	2	2	2	10	6	2	8	2	2	6	2	2	2	6	2	2	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	71	2	11	2	6	12	2	2	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	5	3	0	5	1	0	1	0	0	0	1	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	2	0	4	4	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	2	0	1	0	1	0	1	1	0	2	1	0	0	1	0	1	0	0	0	0	1	0	4	0	0	0	0	1	0	1	1	0	0	0	0	0	3	1	0	3	1	1	2	0	0	0	1	1	1	2	0	0					
14	Число погашенных открепительных удостоверений	224	10	11	4	6	0	4	10	3	6	2	2	2	2	2	6	2	2	2	6	2	1	4	5	2	2	2	2	2	6	2	2	5	2	2	2	2	2	5	2	2	2	2	6	2	2	5	2	2	4	2	2	2	4	2	2	2	2	5	3	2	3	1	2	5	2	2	2	5	1	2	2	2	2					
15	Число открепительных удостоверений выданных ТИК	5	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
