Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Большечерниговская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275					
1	"Число избирателей, внесенных в списки избирателей"	13853	1678	90	322	776	570	1298	920	1029	351	542	122	202	176	957	301	278	292	272	89	568	186	143	342	388	555	248	732	227	199					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12993	1620	80	300	700	500	1220	870	980	310	520	110	190	160	920	270	260	270	240	70	550	160	160	320	360	550	220	700	210	173					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8130	824	49	219	338	344	716	517	592	233	337	60	96	117	525	229	172	180	181	58	379	128	134	258	293	305	150	430	137	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	663	47	2	6	121	35	23	42	30	17	26	8	17	10	31	0	0	23	18	0	27	7	9	25	9	32	8	68	11	11					
6	Число погашенных избирательных бюллетеней	4200	749	29	75	241	121	481	311	358	60	157	42	77	33	364	41	88	67	41	12	144	25	17	37	58	213	62	202	62	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	663	47	2	6	121	35	23	42	30	17	26	8	17	10	31	0	0	23	18	0	27	7	9	25	9	32	8	68	11	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8130	824	49	219	338	344	716	517	592	233	337	60	96	117	525	229	172	180	181	58	379	128	134	258	293	305	150	430	137	129					
9	Число недействительных избирательных бюллетеней	86	6	0	0	8	2	5	2	1	4	0	2	0	1	4	8	0	5	0	3	3	0	2	5	3	4	6	7	3	2					
10	Число действительных избирательных бюллетеней	8707	865	51	225	451	377	734	557	621	246	363	66	113	126	552	221	172	198	199	55	403	135	141	278	299	333	152	491	145	138					
