Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Почепская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31326	1927	1181	2015	1225	1311	2005	1316	1955	357	713	243	314	323	395	156	547	93	953	681	276	260	184	515	195	173	308	1056	618	372	661	379	638	409	337	384	183	1769	932	417	387	282	924	185	340	233	195	209	115	468	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31100	2000	1000	2000	1000	1200	2000	1200	1800	370	740	250	330	330	400	160	560	100	1000	700	280	280	190	530	210	180	340	1000	630	380	670	400	670	500	350	400	190	1700	1000	430	400	290	920	190	350	240	210	220	120	470	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13859	691	393	886	601	482	812	774	688	224	281	74	107	154	251	70	248	62	405	272	76	167	101	197	99	83	160	396	197	133	421	155	392	147	113	279	65	723	674	206	178	84	394	111	180	82	85	95	60	231	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2476	17	34	65	82	82	19	26	23	27	44	49	52	52	23	36	93	15	99	123	62	5	20	61	41	23	51	101	32	37	53	51	62	106	107	38	44	78	71	52	29	18	74	40	33	53	45	28	21	44	35									
6	Число погашенных избирательных бюллетеней	14765	1292	573	1049	317	636	1169	400	1089	119	415	127	171	124	126	54	219	23	496	305	142	108	69	272	70	74	129	503	401	210	196	194	216	247	130	83	81	899	255	172	193	188	452	39	137	105	80	97	39	195	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2476	17	34	65	82	82	19	26	23	27	44	49	52	52	23	36	93	15	99	123	62	5	20	61	41	23	51	101	32	37	53	51	62	106	107	38	44	78	71	52	29	18	74	40	33	53	45	28	21	44	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13859	691	393	886	601	482	812	774	688	224	281	74	107	154	251	70	248	62	405	272	76	167	101	197	99	83	160	396	197	133	421	155	392	147	113	279	65	723	674	206	178	84	394	111	180	82	85	95	60	231	100									
9	Число недействительных избирательных бюллетеней	220	12	13	15	6	5	15	15	8	2	3	2	1	0	0	0	3	0	10	6	3	2	0	3	0	0	0	7	1	2	15	1	4	1	4	2	0	22	13	7	3	1	5	0	0	0	1	3	0	2	2									
10	Число действительных избирательных бюллетеней	16115	696	414	936	677	559	816	785	703	249	322	121	158	206	274	106	338	77	494	389	135	170	121	255	140	106	211	490	228	168	459	205	450	252	216	315	109	779	732	251	204	101	463	151	213	135	129	120	81	273	133									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	282	10	10	10	10	10	10	10	10	2	8	4	2	2	2	2	5	2	5	11	2	4	2	5	2	2	15	10	5	2	5	2	5	5	2	4	2	15	30	5	4	2	5	2	2	2	5	2	2	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	7	5	5	4	5	5	6	6	0	8	4	1	0	0	0	0	0	4	11	2	4	0	5	2	2	15	6	0	1	1	1	5	1	0	4	2	11	2	3	4	2	2	0	0	2	5	1	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	8	4	5	5	2	0	2	4	1	2	4	1	1	1	0	0	0	2	2	3	1	2	2	0	0	0	1	0	1	1	1	0	0	0	2	0	6	5	1	0	1	2	2	0	1	2	0	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	126	3	5	5	6	5	5	4	4	2	0	0	1	2	2	2	5	2	1	0	0	0	2	0	0	0	0	4	5	1	4	1	0	4	2	0	0	4	28	2	0	0	3	2	2	0	0	1	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	86	3	0	8	4	4	9	3	3	1	2	2	5	2	1	0	1	0	2	1	0	2	0	3	0	0	8	1	0	0	2	0	4	1	0	0	0	0	6	1	0	2	1	0	0	1	1	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	170	13	4	13	5	4	17	9	8	1	2	3	2	0	0	0	1	0	2	3	3	2	0	3	0	0	2	2	2	1	5	5	3	3	0	0	4	18	5	0	4	0	4	1	5	1	4	3	0	3	0									
		1.04%	1.84%	0.94%	1.37%	0.73%	0.71%	2.05%	1.13%	1.13%	0.40%	0.62%	2.44%	1.26%	0.00%	0.00%	0.00%	0.29%	0.00%	0.40%	0.76%	2.17%	1.16%	0.00%	1.16%	0.00%	0.00%	0.95%	0.40%	0.87%	0.59%	1.05%	2.43%	0.66%	1.19%	0.00%	0.00%	3.67%	2.25%	0.67%	0.00%	1.93%	0.00%	0.85%	0.66%	2.35%	0.74%	3.08%	2.44%	0.00%	1.09%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	443	26	13	27	19	6	22	12	22	3	14	11	3	8	3	3	4	1	16	16	4	3	5	7	3	2	6	19	17	2	6	6	14	3	8	4	3	30	8	11	6	2	15	3	2	3	4	4	4	10	0									
		2.71%	3.67%	3.04%	2.84%	2.78%	1.06%	2.65%	1.50%	3.09%	1.20%	4.31%	8.94%	1.89%	3.88%	1.09%	2.83%	1.17%	1.30%	3.17%	4.05%	2.90%	1.74%	4.13%	2.71%	2.14%	1.89%	2.84%	3.82%	7.42%	1.18%	1.27%	2.91%	3.08%	1.19%	3.64%	1.26%	2.75%	3.75%	1.07%	4.26%	2.90%	1.96%	3.21%	1.99%	0.94%	2.22%	3.08%	3.25%	4.94%	3.64%	0.00%									
