Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Темрюкская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922	УИК №4923	УИК №4924	УИК №4925	УИК №4926	УИК №4927	УИК №4928	УИК №4929	УИК №4930	УИК №4931	УИК №4932	УИК №4933	УИК №4934	УИК №4935	УИК №4936	УИК №4937	УИК №4938	УИК №4939	УИК №4940	УИК №4941	УИК №4942	УИК №4943	УИК №4944	УИК №4945	УИК №4946	УИК №4947	УИК №4948	УИК №4949	УИК №4950	УИК №4951	УИК №4952	УИК №4953	УИК №4954					
1	"Число избирателей, внесенных в список избирателей"	84393	1175	445	1757	1956	1186	1927	1709	2392	1914	2346	1524	1494	1384	1563	1868	1585	1634	1347	1678	1601	1761	1356	1114	2250	1083	2391	2137	1381	1289	1251	2393	1230	2117	2218	1460	1629	1058	1996	1291	908	1658	1123	2237	1639	1131	495	420	2055	2236	1705	789	1356	1083	1668					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79454	1122	420	1632	1803	1122	1942	1604	2157	1870	2386	1337	1358	1285	1445	1796	1418	1303	1280	1577	1497	1630	1260	999	2068	1074	2195	1989	1280	1197	1219	2280	1260	1926	2042	1340	1493	995	1908	1147	838	1535	1000	1970	1468	1020	446	437	2268	2187	1900	810	1326	1053	1540					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	48141	515	358	1153	990	646	1234	1031	1334	1175	1401	771	805	732	1319	885	875	845	791	987	835	934	694	591	1387	383	1173	1129	798	752	621	1300	769	1101	1140	1148	843	828	1596	840	536	968	473	1109	747	503	272	372	1278	1172	1055	493	893	622	939					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6735	167	58	86	81	80	64	59	94	149	78	93	69	113	126	149	98	299	109	126	204	84	139	123	120	181	222	149	77	189	87	179	110	126	182	187	131	83	78	68	66	198	277	87	89	113	51	34	185	156	237	94	97	95	139					
6	Число погашенных избирательных бюллетеней	24578	440	4	393	732	396	644	514	729	546	907	473	484	440	0	762	445	159	380	464	458	612	427	285	561	510	800	711	405	256	511	801	381	699	720	5	519	84	234	239	236	369	250	774	632	404	123	31	805	859	608	223	336	336	462					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6735	167	58	86	81	80	64	59	94	149	78	93	69	113	126	149	98	299	109	126	204	84	139	123	120	181	222	149	77	189	87	179	110	126	182	187	131	83	78	68	66	198	277	87	89	113	51	34	185	156	237	94	97	95	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48138	515	358	1153	989	646	1234	1031	1334	1175	1401	771	805	732	1319	885	875	845	791	987	835	934	694	591	1387	383	1173	1128	798	752	621	1300	769	1101	1140	1148	843	828	1596	840	536	968	473	1109	747	503	272	372	1278	1172	1055	493	892	622	939					
9	Число недействительных избирательных бюллетеней	1072	8	7	40	20	13	29	36	30	14	20	21	18	12	20	19	27	17	15	32	13	24	24	13	25	8	31	24	19	14	16	36	18	33	27	5	12	8	13	22	7	19	7	33	21	19	10	17	39	37	4	8	16	24	28					
10	Число действительных избирательных бюллетеней	53801	674	409	1199	1050	713	1269	1054	1398	1310	1459	843	856	833	1425	1015	946	1127	885	1081	1026	994	809	701	1482	556	1364	1253	856	927	692	1443	861	1194	1295	1330	962	903	1661	886	595	1147	743	1163	815	597	313	389	1424	1291	1288	579	973	693	1050					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1327	15	15	25	28	20	37	20	31	25	30	15	20	15	15	25	20	46	20	20	20	24	21	20	30	20	30	25	20	20	20	30	20	30	30	20	25	20	25	20	25	50	15	30	25	25	20	40	35	35	30	20	20	20	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1323	15	12	25	28	20	37	20	31	25	30	15	20	15	15	25	20	46	20	20	20	24	21	20	30	20	30	25	20	20	20	30	20	30	30	20	25	20	25	20	25	50	15	30	25	25	20	39	35	35	30	20	20	20	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	661	6	35	69	13	20	40	24	25	29	10	19	11	28	14	9	17	12	5	15	10	0	6	8	20	18	5	11	6	5	3	11	4	4	9	5	4	3	4	8	4	9	7	7	15	12	7	18	4	6	3	6	4	3	11					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	173	3	0	12	7	5	14	4	20	5	8	7	7	6	10	7	8	1	4	3	2	1	3	0	5	1	5	0	0	1	0	4	1	2	5	1	1	1	1	0	0	1	0	1	3	0	0	0	0	0	1	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7233	76	37	169	185	88	214	181	231	196	206	118	125	107	158	162	114	123	107	131	104	145	91	101	219	115	193	170	102	132	82	186	106	171	176	125	115	115	216	102	104	183	74	205	102	58	46	43	149	158	186	75	112	85	159					
		13.18%	11.14%	8.89%	13.64%	17.29%	12.12%	16.49%	16.61%	16.18%	14.80%	13.93%	13.66%	14.30%	12.66%	10.93%	15.67%	11.72%	10.75%	11.89%	11.77%	10.01%	14.24%	10.92%	14.15%	14.53%	20.39%	13.84%	13.31%	11.66%	14.03%	11.58%	12.58%	12.06%	13.94%	13.31%	9.36%	11.81%	12.62%	12.90%	11.23%	17.28%	15.69%	9.87%	17.14%	12.20%	9.42%	14.24%	10.59%	10.18%	11.90%	14.40%	12.78%	11.32%	11.85%	14.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8088	149	96	197	159	95	188	167	197	184	299	135	139	70	106	160	169	251	143	182	160	162	120	78	237	62	222	187	117	155	139	240	134	209	211	151	184	117	162	110	17	77	108	181	126	88	19	84	228	216	193	107	145	86	170					
		14.74%	21.85%	23.08%	15.90%	14.86%	13.09%	14.48%	15.32%	13.80%	13.90%	20.22%	15.63%	15.90%	8.28%	7.34%	15.47%	17.37%	21.94%	15.89%	16.35%	15.40%	15.91%	14.41%	10.92%	15.73%	10.99%	15.91%	14.64%	13.37%	16.47%	19.63%	16.23%	15.24%	17.03%	15.96%	11.31%	18.89%	12.84%	9.68%	12.11%	2.82%	6.60%	14.40%	15.13%	15.07%	14.29%	5.88%	20.69%	15.58%	16.27%	14.94%	18.23%	14.66%	11.99%	15.77%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	713	11	5	26	16	2	18	18	25	18	30	15	13	9	16	13	9	10	17	11	13	13	10	12	11	13	17	16	15	8	11	13	9	11	15	12	23	9	26	6	11	10	9	14	7	6	2	5	23	13	20	7	17	7	17					
		1.30%	1.61%	1.20%	2.10%	1.50%	0.28%	1.39%	1.65%	1.75%	1.36%	2.03%	1.74%	1.49%	1.07%	1.11%	1.26%	0.92%	0.87%	1.89%	0.99%	1.25%	1.28%	1.20%	1.68%	0.73%	2.30%	1.22%	1.25%	1.71%	0.85%	1.55%	0.88%	1.02%	0.90%	1.13%	0.90%	2.36%	0.99%	1.55%	0.66%	1.83%	0.86%	1.20%	1.17%	0.84%	0.97%	0.62%	1.23%	1.57%	0.98%	1.55%	1.19%	1.72%	0.98%	1.58%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11838	163	67	286	266	197	356	284	410	355	357	259	206	208	290	206	205	230	221	257	252	259	149	175	286	138	354	250	171	192	112	258	190	288	250	244	176	82	207	91	152	213	127	263	256	117	65	64	322	295	282	97	201	207	230					
