Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Песчанокопская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698					
1	"Число избирателей, внесенных в список"	26200	1781	1423	1609	1645	1502	1153	997	1882	527	1636	406	806	1104	940	647	1142	747	491	1011	1013	1263	875	1600					
2	Число полученных избирательных бюллетеней	26182	1759	1419	1606	1617	1512	1140	1009	1886	523	1634	406	813	1100	940	651	1155	741	491	1022	1012	1250	878	1618					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19906	1381	982	1252	1256	860	667	833	1633	445	1336	303	667	819	624	535	879	569	373	797	857	962	776	1100					
5	"Число избирательных бюллетеней, выданных вне помещения"	3203	166	278	204	220	289	229	75	70	36	166	68	75	153	209	71	167	73	76	118	48	178	15	219					
6	Число погашенных избирательных бюллетеней	3073	212	159	150	141	363	244	101	183	42	132	35	71	128	107	45	109	99	42	107	107	110	87	299					
7	Число избирательных бюллетеней в переносных ящиках	3203	166	278	204	220	289	229	75	70	36	166	68	75	153	209	71	167	73	76	118	48	178	15	219					
8	Число бюллетеней в стационарных ящиках для голосования	19898	1376	982	1252	1255	860	666	833	1633	445	1336	303	667	819	624	535	879	569	373	796	857	962	776	1100					
9	Число недействительных избирательных бюллетеней	106	7	3	2	11	6	4	2	4	0	0	0	22	25	3	0	2	0	0	0	4	0	0	11					
10	Число действительных избирательных бюллетеней	22995	1535	1257	1454	1464	1143	891	906	1699	481	1502	371	720	947	830	606	1044	642	449	914	901	1140	791	1308					
11	Число полученных открепительных  удостоверений	460	30	25	30	30	25	25	15	30	10	30	10	15	20	15	10	20	15	10	15	15	20	15	30					
12	Число выданных открепительных удостоверений	125	11	8	7	4	8	1	12	5	0	4	1	5	1	2	10	8	1	3	5	0	1	4	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	17	1	4	4	0	1	0	2	0	3	1	3	10	2	2	0	4	0	0	2	1	2	4					
14	Число неиспользованных открепительных удостоверений	335	19	17	23	26	17	24	3	25	10	26	9	10	19	13	0	12	14	7	10	15	19	11	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	291	16	28	24	7	15	15	6	30	8	7	9	9	5	8	4	2	7	5	21	13	5	11	36					
		1.26%	1.04%	2.22%	1.65%	0.47%	1.31%	1.68%	0.66%	1.76%	1.66%	0.47%	2.43%	1.21%	0.51%	0.96%	0.66%	0.19%	1.09%	1.11%	2.30%	1.44%	0.44%	1.39%	2.73%					
19	. Малышкин Олег Александрович	297	9	15	11	3	5	10	12	27	10	5	3	7	11	10	5	0	6	4	39	16	32	14	43					
		1.29%	0.58%	1.19%	0.76%	0.20%	0.44%	1.12%	1.32%	1.59%	2.08%	0.33%	0.81%	0.94%	1.13%	1.20%	0.83%	0.00%	0.93%	0.89%	4.27%	1.77%	2.81%	1.77%	3.26%					
20	. Миронов Сергей Михайлович	63	5	4	5	4	0	7	2	1	0	5	0	1	1	1	1	0	5	3	3	5	5	0	5					
		0.27%	0.32%	0.32%	0.34%	0.27%	0.00%	0.78%	0.22%	0.06%	0.00%	0.33%	0.00%	0.13%	0.10%	0.12%	0.17%	0.00%	0.78%	0.67%	0.33%	0.55%	0.44%	0.00%	0.38%					
21	. Путин Владимир Владимирович	20591	1396	1134	1321	1332	942	747	832	1547	439	1397	341	661	850	755	572	1035	580	409	833	819	1018	728	903					
		89.13%	90.53%	90.00%	90.73%	90.31%	81.98%	83.46%	91.63%	90.84%	91.27%	93.01%	91.91%	89.08%	87.45%	90.64%	94.39%	98.95%	90.34%	91.09%	91.14%	90.50%	89.30%	92.04%	68.46%					
22	. Хакамада Ирина Муцуовна	152	13	10	13	15	7	6	7	19	2	2	3	4	4	4	2	1	5	2	2	10	3	4	14					
		0.66%	0.84%	0.79%	0.89%	1.02%	0.61%	0.67%	0.77%	1.12%	0.42%	0.13%	0.81%	0.54%	0.41%	0.48%	0.33%	0.10%	0.78%	0.45%	0.22%	1.10%	0.26%	0.51%	1.06%					
23	. Харитонов Николай Михайлович	1405	78	56	69	80	164	105	42	55	20	80	14	33	65	47	16	4	35	24	11	28	77	28	274					
		6.08%	5.06%	4.44%	4.74%	5.42%	14.27%	11.73%	4.63%	3.23%	4.16%	5.33%	3.77%	4.45%	6.69%	5.64%	2.64%	0.38%	5.45%	5.35%	1.20%	3.09%	6.75%	3.54%	20.77%					
																														
24	Против всех	196	18	10	11	23	10	1	5	20	2	6	1	5	11	5	6	2	4	2	5	10	0	6	33					
		0.85%	1.17%	0.79%	0.76%	1.56%	0.87%	0.11%	0.55%	1.17%	0.42%	0.40%	0.27%	0.67%	1.13%	0.60%	0.99%	0.19%	0.62%	0.45%	0.55%	1.10%	0.00%	0.76%	2.50%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
