Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Шумерлинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8188	334	280	322	186	95	168	77	340	686	396	103	182	119	328	735	279	236	360	187	693	218	640	294	706	224									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8405	330	285	340	190	100	170	80	350	700	405	110	175	105	345	765	280	250	365	200	760	230	645	315	715	195									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4617	157	131	167	96	68	84	51	192	545	287	89	89	61	209	304	176	186	185	125	377	119	319	166	331	103									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1138	95	72	27	32	9	22	2	56	40	29	12	32	16	21	179	53	17	72	12	108	20	69	23	94	26									
6	Число погашенных избирательных бюллетеней	2650	78	82	146	62	23	64	27	102	115	89	9	54	28	115	282	51	47	108	63	275	91	257	126	290	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1138	95	72	27	32	9	22	2	56	40	29	12	32	16	21	179	53	17	72	12	108	20	69	23	94	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4617	157	131	167	96	68	84	51	192	545	287	89	89	61	209	304	176	186	185	125	377	119	319	166	331	103									
9	Число недействительных избирательных бюллетеней	173	6	5	8	2	1	0	0	2	21	7	10	3	2	7	15	7	9	15	2	8	1	10	3	22	7									
10	Число действительных избирательных бюллетеней	5582	246	198	186	126	76	106	53	246	564	309	91	118	75	223	468	222	194	242	135	477	138	378	186	403	122									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	268	10	10	10	10	5	10	5	10	10	10	5	0	10	18	25	10	10	10	10	30	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	242	4	10	9	8	4	10	5	10	10	10	5	0	10	17	25	4	10	10	10	30	10	10	10	10	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	7	1	3	5	3	3	4	3	6	5	1	4	4	3	10	2	3	1	0	2	0	4	1	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	26	6	0	1	2	1	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	0	0	3	0	0	0	0	0	4	1	0	0	1	0	5	1	11	0	1	0	0	4	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	1	1	2	1	0	1	0	1	3	3	0	1	0	1	3	2	2	0	0	1	3	1	5	2	0									
		0.59%	0.40%	0.49%	1.03%	0.78%	0.00%	0.94%	0.00%	0.40%	0.51%	0.95%	0.00%	0.83%	0.00%	0.43%	0.62%	0.87%	0.99%	0.00%	0.00%	0.21%	2.16%	0.26%	2.65%	0.47%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	87	4	5	6	3	1	3	1	3	13	3	0	3	0	5	3	5	2	0	0	9	0	8	3	3	4									
		1.51%	1.59%	2.46%	3.09%	2.34%	1.30%	2.83%	1.89%	1.21%	2.22%	0.95%	0.00%	2.48%	0.00%	2.17%	0.62%	2.18%	0.99%	0.00%	0.00%	1.86%	0.00%	2.06%	1.59%	0.71%	3.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	82	4	1	2	3	1	0	0	4	2	4	0	2	4	8	9	4	8	0	2	7	1	8	3	5	0									
		1.42%	1.59%	0.49%	1.03%	2.34%	1.30%	0.00%	0.00%	1.61%	0.34%	1.27%	0.00%	1.65%	5.19%	3.48%	1.86%	1.75%	3.94%	0.00%	1.46%	1.44%	0.72%	2.06%	1.59%	1.18%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3822	187	140	88	84	63	74	34	182	393	205	71	70	49	132	329	169	147	194	114	324	101	196	117	268	91									
		66.41%	74.21%	68.97%	45.36%	65.63%	81.82%	69.81%	64.15%	73.39%	67.18%	64.87%	70.30%	57.85%	63.64%	57.39%	68.12%	73.80%	72.41%	75.49%	83.21%	66.80%	72.66%	50.52%	61.90%	63.06%	70.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	1	1	1	0	2	1	0	0	3	0	1	1	0	2	6	1	2	0	1	1	0	1	0	1	0									
		0.45%	0.40%	0.49%	0.52%	0.00%	2.60%	0.94%	0.00%	0.00%	0.51%	0.00%	0.99%	0.83%	0.00%	0.87%	1.24%	0.44%	0.99%	0.00%	0.73%	0.21%	0.00%	0.26%	0.00%	0.24%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0									
