Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Абаканская городская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	126433	1408	1117	1634	1658	1516	1303	1437	1368	1700	1510	1976	1942	1780	1631	1830	1670	1612	2040	2360	2014	1231	2509	1722	2032	1545	1472	1486	1784	1487	1538	1325	1360	1448	2126	1867	1396	1580	1322	2150	2052	1604	1910	1443	1615	1523	2318	1638	1706	1374	1511	1803	1765	1522	2113	2153	1668	1372	2566	2049	1873	2562	2127	2339	1084	1270	1734	1926	1819	410	3141	1691	1538	1533	600	195									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	120500	1400	1000	1500	1600	1500	1200	1400	1300	1600	1500	1900	1900	1700	1600	1700	1500	1500	2000	2300	2000	1200	1900	1700	1900	1500	1400	1400	1700	1400	1500	1300	1300	1300	2000	1800	1300	1500	1200	2000	1900	1500	1900	1400	1500	1500	2100	1500	1700	1300	1500	1800	1600	1500	2000	2000	1600	1300	2500	1900	1800	2500	2100	2300	1000	1200	1700	1900	1800	400	2800	1600	1500	1400	600	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43050	492	413	687	640	529	508	639	479	577	521	667	750	686	456	479	309	572	837	906	776	322	1328	492	514	474	403	324	448	376	502	345	469	556	618	560	418	445	401	714	786	581	612	409	412	508	402	539	616	465	339	703	528	616	774	809	612	482	821	910	694	785	852	855	430	509	620	637	737	129	1019	435	517	578	583	114									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1589	7	10	10	3	10	23	24	7	15	25	11	10	14	12	11	11	5	18	14	15	15	10	40	50	24	18	22	37	27	18	9	8	122	20	16	11	10	30	22	13	32	10	19	22	21	17	34	14	6	13	6	64	7	7	8	13	9	28	235	2	13	11	5	14	7	14	11	12	8	13	18	21	4	17	77									
6	Число погашенных избирательных бюллетеней	75861	901	577	803	957	961	669	737	814	1008	954	1222	1140	1000	1132	1210	1180	923	1145	1380	1209	863	562	1168	1336	1002	979	1054	1215	997	980	946	823	622	1362	1224	871	1045	769	1264	1101	887	1278	972	1066	971	1681	927	1070	829	1148	1091	1008	877	1219	1183	975	809	1651	755	1104	1702	1237	1440	556	684	1066	1252	1051	263	1768	1147	962	818	0	309									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1589	7	10	10	3	10	23	24	7	15	25	11	10	14	12	11	11	5	18	14	15	15	10	40	50	24	18	22	37	27	18	9	8	122	20	16	11	10	30	22	13	32	10	19	22	21	17	34	14	6	13	6	64	7	7	8	13	9	28	235	2	13	11	5	14	7	14	11	12	8	13	18	21	4	17	77									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43030	492	413	687	640	529	508	639	479	577	520	667	750	686	456	479	309	572	836	906	776	322	1327	492	514	474	403	324	448	376	502	345	469	553	618	560	418	445	401	714	786	581	611	409	412	508	402	539	614	465	339	697	528	616	774	809	610	481	821	909	694	785	852	855	430	509	620	636	737	129	1019	435	517	578	583	114									
9	Число недействительных избирательных бюллетеней	960	10	9	19	12	10	9	10	14	6	4	12	10	11	12	12	9	10	17	15	19	10	49	19	11	6	4	17	11	3	15	9	13	18	19	12	6	20	7	9	16	19	12	4	3	15	9	9	16	6	9	12	15	13	12	17	10	19	29	44	14	12	12	19	5	6	17	11	11	2	16	11	13	6	26	2									
10	Число действительных избирательных бюллетеней	43659	489	414	678	631	529	522	653	472	586	541	666	750	689	456	478	311	567	837	905	772	327	1288	513	553	492	417	329	474	400	505	345	464	657	619	564	423	435	424	727	783	594	609	424	431	514	410	564	612	465	343	691	577	610	769	800	613	471	820	1100	682	786	851	841	439	510	617	636	738	135	1016	442	525	576	574	189									
