Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Козловская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
1	"Число избирателей, внесенных в список"	18132	1034	1258	1388	1441	783	858	1619	353	524	179	214	168	788	296	452	224	221	665	482	575	385	191	156	644	364	182	840	662	248	264	342	178	154					
2	Число полученных избирательных бюллетеней	17196	950	1200	1330	1360	730	790	1520	330	485	181	200	174	740	275	430	210	210	640	460	540	380	201	158	620	340	182	780	615	235	255	330	187	158					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10486	517	694	832	823	456	488	765	160	298	90	127	134	482	185	267	148	137	398	273	328	279	153	97	324	221	96	553	342	154	150	283	131	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	995	29	16	12	12	8	8	77	34	52	40	20	7	21	11	35	9	0	35	33	65	23	14	29	59	28	35	54	79	17	62	37	17	17					
6	Число погашенных избирательных бюллетеней	5715	404	490	486	525	266	294	678	136	135	51	53	33	237	79	128	53	73	207	154	147	78	34	32	237	91	51	173	194	64	43	10	39	40					
7	Число избирательных бюллетеней в переносных ящиках	995	29	16	12	12	8	8	77	34	52	40	20	7	21	11	35	9	0	35	33	65	23	14	29	59	28	35	54	79	17	62	37	17	17					
8	Число бюллетеней в стационарных ящиках для голосования	10486	517	694	832	823	456	488	765	160	298	90	127	134	482	185	267	148	137	398	273	328	279	153	97	324	221	96	553	342	154	150	283	131	101					
9	Число недействительных избирательных бюллетеней	202	7	10	6	13	7	8	17	1	13	4	5	4	11	5	5	5	5	9	7	7	6	3	1	13	6	2	5	5	2	2	2	5	1					
10	Число действительных избирательных бюллетеней	11279	539	700	838	822	457	488	825	193	337	126	142	137	492	191	297	152	132	424	299	386	296	164	125	370	243	129	602	416	169	210	318	143	117					
11	Число полученных открепительных  удостоверений	318	15	15	30	35	15	15	15	10	10	5	5	5	10	5	5	5	5	10	5	10	5	8	5	10	5	5	15	10	5	5	5	5	5					
12	Число выданных открепительных удостоверений	157	6	6	26	26	4	7	8	2	1	0	4	4	1	0	3	0	4	9	3	2	5	7	0	4	1	3	14	1	0	5	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	7	2	9	5	0	3	5	2	4	3	4	2	6	3	0	1	3	2	3	2	3	3	1	5	1	2	5	2	5	0	3	3	3					
14	Число неиспользованных открепительных удостоверений	161	9	9	4	9	11	8	7	8	9	5	1	1	9	5	2	5	1	1	2	8	0	1	5	6	4	2	1	9	5	0	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	26	1	1	0	5	2	1	1	0	2	2	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	4	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
