Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Кимрская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487					
1	"Число избирателей, внесенных в списки"	12840	2454	484	1417	972	331	212	375	167	117	935	81	194	55	304	309	884	263	907	275	489	188	1209	218					
2	"Число бюллетеней, полученных участковыми комиссиями"	12769	2441	480	1418	948	336	213	383	167	120	936	79	194	56	303	312	867	253	889	262	490	192	1219	211					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5881	1414	202	582	476	135	104	158	125	65	451	46	139	29	97	109	414	98	331	119	192	55	496	44					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1703	64	131	158	71	119	59	121	10	27	47	19	14	16	90	86	108	59	156	75	99	45	33	96					
6	Число погашенных бюллетеней	5185	963	147	678	401	82	50	104	32	28	438	14	41	11	116	117	345	96	402	68	199	92	690	71					
7	Число бюллетеней в переносных ящиках для голосования	1703	64	131	158	71	119	59	121	10	27	47	19	14	16	90	86	108	59	156	75	99	45	33	96					
8	Число бюллетеней в стационарных ящиках для голосования	5879	1414	202	581	476	135	104	158	125	65	450	46	139	29	97	109	414	98	331	119	192	55	496	44					
9	Число недействительных бюллетеней	181	21	0	12	5	0	3	3	4	0	4	1	0	0	1	0	16	4	81	0	10	0	15	1					
10	Число действительных бюллетеней	7401	1457	333	727	542	254	160	276	131	92	493	64	153	45	186	195	506	153	406	194	281	100	514	139					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	398	70	14	46	30	10	8	12	6	6	30	4	6	4	10	10	26	8	24	8	16	6	38	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	16	3	9	11	2	0	2	1	0	8	0	0	0	0	5	4	0	4	1	2	1	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	13	5	4	2	1	0	0	4	0	4	0	3	4	4	1	13	1	3	5	0	2	0	2					
14	Число погашенных открепительных удостоверений	322	54	11	37	19	8	8	10	5	6	22	4	6	4	10	5	22	8	20	7	14	5	32	5					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	120	22	10	22	5	5	4	3	0	2	8	0	1	0	3	3	9	5	2	5	3	1	6	1					
		1.58%	1.48%	3.00%	2.97%	0.91%	1.96%	2.45%	1.07%	0.0%	2.17%	1.60%	0.0%	0.65%	0.0%	1.60%	1.53%	1.72%	3.18%	0.41%	2.57%	1.03%	1.0%	1.13%	0.71%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	136	26	4	5	13	3	3	0	2	0	22	2	2	2	0	1	9	1	19	2	6	0	11	3					
		1.79%	1.75%	1.20%	0.67%	2.37%	1.18%	1.84%	0.0%	1.48%	0.0%	4.42%	3.07%	1.30%	4.44%	0.0%	0.51%	1.72%	0.63%	3.90%	1.03%	2.06%	0.0%	2.07%	2.14%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	249	73	4	36	19	7	4	1	5	10	9	0	2	1	7	8	11	7	18	4	3	3	13	4					
		3.28%	4.93%	1.20%	4.87%	3.47%	2.75%	2.45%	0.35%	3.70%	10.86%	1.81%	0.0%	1.30%	2.22%	3.74%	4.10%	2.10%	4.45%	3.69%	2.06%	1.03%	3.0%	2.45%	2.85%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	190	50	7	14	12	6	5	8	6	0	5	1	4	0	3	3	13	2	8	4	11	4	19	5					
		2.50%	3.38%	2.10%	1.89%	2.19%	2.36%	3.06%	2.86%	4.44%	0.0%	1.00%	1.53%	2.61%	0.0%	1.60%	1.53%	2.49%	1.27%	1.64%	2.06%	3.78%	4.0%	3.59%	3.57%					
22	"5. ""За Русь Святую"""	60	16	2	9	1	2	1	0	0	0	8	1	0	0	1	1	3	2	6	2	2	0	3	0					
		0.79%	1.08%	0.60%	1.21%	0.18%	0.78%	0.61%	0.0%	0.0%	0.0%	1.60%	1.53%	0.0%	0.0%	0.53%	0.51%	0.57%	1.27%	1.23%	1.03%	0.68%	0.0%	0.56%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	2	0	0	0	4	0	0	0	0	3	0	2	1	1	1	1	0	4	0	1	1	1	1					
		0.30%	0.13%	0.0%	0.0%	0.0%	1.57%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	1.30%	2.22%	0.53%	0.51%	0.19%	0.0%	0.82%	0.0%	0.34%	1.0%	0.18%	0.71%					
24	"7. ""Новый курс - Автомобильная Россия"""	45	9	0	2	3	0	2	1	0	2	2	1	2	1	2	2	3	0	3	3	3	2	1	1					
		0.59%	0.60%	0.0%	0.27%	0.54%	0.0%	1.22%	0.35%	0.0%	2.17%	0.40%	1.53%	1.30%	2.22%	1.06%	1.02%	0.57%	0.0%	0.61%	1.54%	1.03%	2.0%	0.18%	0.71%					
25	"8. ""Народно-республиканская партия России"""	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.38%	0.0%	0.20%	0.51%	0.0%	1.0%	0.18%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	7	1	1	2	0	1	2	0	0	3	0	0	0	0	1	2	0	4	0	1	1	1	0					
		0.35%	0.47%	0.30%	0.13%	0.36%	0.0%	0.61%	0.71%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.51%	0.38%	0.0%	0.82%	0.0%	0.34%	1.0%	0.18%	0.0%					
27	"10. ""Аграрная партия России"""	736	63	30	67	69	40	31	51	22	9	45	11	32	2	31	18	49	18	71	9	22	12	31	3					
		9.70%	4.26%	9.00%	9.06%	12.61%	15.74%	19.01%	18.27%	16.29%	9.78%	9.05%	16.92%	20.91%	4.44%	16.57%	9.23%	9.38%	11.46%	14.57%	4.63%	7.56%	12.0%	5.86%	2.14%					
28	"11. ""Истинные патриоты России"""	15	0	1	2	2	2	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0					
		0.19%	0.0%	0.30%	0.27%	0.36%	0.78%	0.0%	1.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	73	25	3	6	6	2	3	0	0	0	3	1	1	0	3	1	3	1	5	1	1	0	6	2					
		0.96%	1.69%	0.90%	0.81%	1.09%	0.78%	1.84%	0.0%	0.0%	0.0%	0.60%	1.53%	0.65%	0.0%	1.60%	0.51%	0.57%	0.63%	1.02%	0.51%	0.34%	0.0%	1.13%	1.42%					
30	"13. ""Демократическая партия России"""	35	6	3	4	3	0	0	2	0	2	1	0	0	0	0	0	4	0	6	0	0	0	4	0					
