Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Аксубаевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22522	1689	2151	1547	1857	319	221	497	535	498	205	442	114	283	1374	933	418	139	341	708	426	264	241	203	479	160	371	317	131	274	362	83	391	273	218	338	217	341	264	195	306	227	279	250	90	197	176	248	748	182									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23104	1735	2215	1600	1915	332	230	510	546	510	211	455	119	291	1400	950	427	137	349	722	438	270	248	207	490	165	378	325	138	280	369	88	398	282	216	342	220	349	271	202	313	234	285	258	96	205	182	255	758	188									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21790	1634	2101	1511	1799	301	217	482	500	493	204	439	114	281	1321	887	414	137	340	691	412	249	239	200	469	158	306	314	130	271	315	71	330	270	212	328	211	338	262	194	301	210	258	245	90	197	175	248	739	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	533	38	46	21	38	15	3	11	28	0	0	0	0	0	40	37	0	0	0	12	10	13	0	0	5	0	61	0	0	0	23	11	60	2	0	10	5	0	0	0	4	15	18	3	0	0	0	0	4	0									
6	Число погашенных избирательных бюллетеней	781	63	68	68	78	16	10	17	18	17	7	16	5	10	39	26	13	0	9	19	16	8	9	7	16	7	11	11	8	9	31	6	8	10	4	4	4	11	9	8	8	9	9	10	6	8	7	7	15	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	533	38	46	21	38	15	3	11	28	0	0	0	0	0	40	37	0	0	0	12	10	13	0	0	5	0	61	0	0	0	23	11	60	2	0	10	5	0	0	0	4	15	18	3	0	0	0	0	4	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21790	1634	2101	1511	1799	301	217	482	500	493	204	439	114	281	1321	887	414	137	340	691	412	249	239	200	469	158	306	314	130	271	315	71	330	270	212	328	211	338	262	194	301	210	258	245	90	197	175	248	739	182									
9	Число недействительных избирательных бюллетеней	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	22320	1671	2147	1532	1836	316	220	493	528	493	204	439	114	281	1361	924	414	137	340	703	422	262	239	200	474	158	367	314	130	271	338	82	390	272	212	338	216	338	262	194	305	225	275	248	90	197	175	248	743	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	45	55	45	45	5	5	10	10	10	3	10	3	5	25	18	7	3	6	11	7	5	5	3	8	3	7	7	3	4	7	3	7	6	5	6	5	6	5	5	7	5	6	6	3	5	4	6	11	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	485	45	55	45	45	5	5	10	10	10	3	10	3	5	25	18	7	3	6	11	7	5	5	3	8	3	7	7	3	4	7	3	7	6	5	6	5	6	5	5	7	5	6	6	3	5	4	6	11	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	1	2	0	4	0	1	0	1	1	0	0	0	0	2	4	0	7	0	2	0	0	0	1	0	0	4	1	1	0	1	0	2	0	4	4	1	0	0	0	1	0	0	0	0	0	0	1	4	0									
