Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
"Наименование Избирательной комиссии:    Хабаровск, Железнодорожная"																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №824	УИК №825					
1	"Число избирателей, внесенных в списки избирателей"	116349	2402	2593	2303	2759	2405	632	2783	2864	2990	2907	2989	2698	1386	2057	2421	2271	2062	1357	2552	2025	2732	504	2291	2629	2189	2803	3036	2943	2228	2391	1495	2501	1504	2555	1493	2525	2310	812	2674	2626	2942	2578	2465	2675	2030	1882	1857	2571	241	1491	2058	2649	78	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	111000	2000	2500	2000	2500	2000	500	2500	3000	3000	3000	3000	2500	1500	2000	2000	2000	2000	1000	2500	2000	2500	500	2000	2500	2000	2500	3000	2500	2000	2000	1500	2500	1500	2500	1500	2500	2000	1000	2500	2500	3000	2500	2500	2500	2000	2500	1500	2500	500	1500	2000	2500	200	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65465	1305	1154	1492	1554	1384	410	1472	1810	1596	1685	1634	1876	897	956	1417	1335	1114	721	1385	1109	1532	308	1177	1298	1169	1544	1530	1601	1350	1354	785	1265	813	1417	918	1487	1239	520	2140	1532	1733	1547	1491	1540	1126	1603	991	1121	38	886	802	1089	78	135					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3106	69	94	44	43	41	15	34	29	34	35	48	53	23	52	81	83	126	37	48	50	41	192	45	61	78	36	84	84	18	58	71	38	24	49	33	39	84	241	32	34	44	22	69	74	54	6	29	88	203	26	45	65	0	0					
6	Число погашенных избирательных бюллетеней	42429	626	1252	464	903	575	75	994	1161	1370	1280	1318	571	580	992	502	582	760	242	1067	841	927	0	778	1141	753	920	1386	815	632	588	644	1197	663	1034	549	974	677	239	328	934	1223	931	940	886	820	891	480	1291	259	588	1153	1346	122	165					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3106	69	94	44	43	41	15	34	29	34	35	48	53	23	52	81	83	126	37	48	50	41	192	45	61	78	36	84	84	18	58	71	38	24	49	33	39	84	241	32	34	44	22	69	74	54	6	29	88	203	26	45	65	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65399	1305	1152	1492	1554	1384	410	1472	1810	1595	1666	1632	1876	895	944	1417	1332	1114	721	1385	1109	1531	308	1177	1298	1169	1544	1530	1601	1350	1354	785	1265	812	1416	918	1487	1239	520	2133	1527	1732	1547	1491	1540	1123	1597	991	1121	38	886	802	1089	78	135					
9	Число недействительных избирательных бюллетеней	788	17	29	21	17	16	4	21	18	18	12	24	20	14	12	7	10	15	7	17	11	15	20	18	9	15	41	11	24	14	11	7	13	10	15	3	17	12	11	29	27	11	8	14	18	18	23	12	17	2	10	5	18	0	0					
10	Число действительных избирательных бюллетеней	67717	1357	1217	1515	1580	1409	421	1485	1821	1611	1689	1656	1909	904	984	1491	1405	1225	751	1416	1148	1557	480	1204	1350	1232	1539	1603	1661	1354	1401	849	1290	826	1450	948	1509	1311	750	2136	1534	1765	1561	1546	1596	1159	1580	1008	1192	239	902	842	1136	78	135					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1355	19	30	20	30	30	7	22	30	30	30	30	30	30	15	30	30	30	20	30	30	30	0	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	0	30	30	30	30	30	20	20	40	20	30	0	22	30	30	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1270	19	30	17	29	30	6	21	30	29	28	27	30	30	15	23	25	30	19	30	30	28	0	30	26	26	29	30	30	15	30	19	30	18	30	26	29	30	0	29	29	30	30	30	20	20	40	20	30	0	16	30	22	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1400	15	14	23	49	37	8	17	26	19	21	19	17	19	14	19	3	23	10	17	7	23	9	14	19	18	23	18	33	18	17	24	28	14	35	22	30	22	154	17	22	17	17	22	27	14	46	15	21	17	24	17	13	78	135					
