Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Тере-Хольская									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК  138	УИК  139					
1	"Число избирателей, внесенных в списки"	1149	521	628					
2	"Число бюллетеней, полученных участковыми комиссиями"	1123	490	633					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	219	138	81					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	443	205	238					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	36	13	23					
6	Число погашенных бюллетеней	425	134	291					
7	Число бюллетеней в переносных ящиках для голосования	255	151	104					
8	Число бюллетеней в стационарных ящиках для голосования	443	205	238					
9	Число недействительных бюллетеней	36	19	17					
10	Число действительных бюллетеней	662	337	325					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0					
14	Число погашенных открепительных удостоверений	49	25	24					
15	Число открепительных удостоверений выданных ТИК	0	0	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	30	14	16					
		4.29%	3.93%	4.67%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3	2	1					
		0.42%	0.56%	0.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	9	4	5					
		1.28%	1.12%	1.46%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2	2	0					
		0.28%	0.56%	0.0%					
22	"5. ""За Русь Святую"""	1	0	1					
		0.14%	0.0%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	3	1	2					
		0.42%	0.28%	0.58%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0	0					
		0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0					
		0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	1					
		0.14%	0.0%	0.29%					
27	"10. ""Аграрная партия России"""	2	2	0					
		0.28%	0.56%	0.0%					
28	"11. ""Истинные патриоты России"""	0	0	0					
		0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1	1	0					
		0.14%	0.28%	0.0%					
30	"13. ""Демократическая партия России"""	0	0	0					
		0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	8	10					
		2.57%	2.24%	2.92%					
32	"15. ""Партия СЛОН"""	1	0	1					
		0.14%	0.0%	0.29%					
33	"16. ""Родина"" (народно-патриотический союз)"""	0	0	0					
		0.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	2					
		0.28%	0.0%	0.58%					
35	"18. ""ЛДПР"""	6	0	6					
		0.85%	0.0%	1.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	5	5	0					
		0.71%	1.40%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	548	279	269					
		78.51%	78.37%	78.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	2	3					
		0.71%	0.56%	0.87%					
39	"22. ""Развитие предпринимательства"""	4	2	2					
		0.57%	0.56%	0.58%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	18	15	3					
		2.57%	4.21%	0.87%					
									
41	Против всех	3	0	3					
		0.42%	0.0%	0.87%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
