Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Кореневская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14713	1574	2171	836	766	331	106	205	145	454	900	950	216	241	455	634	639	365	646	177	449	158	417	631	465	248	534									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11650	1250	1700	650	600	270	80	160	110	350	700	750	170	200	350	500	500	280	500	150	350	130	350	500	400	200	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6746	681	1166	367	312	162	57	118	62	228	515	448	123	114	221	242	267	164	200	80	213	68	171	248	209	91	219									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1005	31	37	48	34	44	9	10	15	37	46	59	12	37	34	59	45	44	148	34	18	11	40	41	29	20	63									
6	Число погашенных избирательных бюллетеней	3899	538	497	235	254	64	14	32	33	85	139	243	35	49	95	199	188	72	152	36	119	51	139	211	162	89	168									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1005	31	37	48	34	44	9	10	15	37	46	59	12	37	34	59	45	44	148	34	18	11	40	41	29	20	63									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6745	681	1165	367	312	162	57	118	62	228	515	448	123	114	221	242	267	164	200	80	213	68	171	248	209	91	219									
9	Число недействительных избирательных бюллетеней	212	18	33	13	7	2	1	3	4	15	16	13	7	1	8	6	3	6	5	8	7	3	8	10	9	2	4									
10	Число действительных избирательных бюллетеней	7538	694	1169	402	339	204	65	125	73	250	545	494	128	150	247	295	309	202	343	106	224	76	203	279	229	109	278									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	179	15	10	10	10	5	5	5	5	5	10	10	3	5	5	5	5	5	5	5	5	3	5	5	15	3	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	79	11	8	2	1	0	3	2	0	2	5	4	0	2	2	1	2	1	1	0	0	0	4	0	15	0	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	3	1	0	1	1	2	1	1	3	2	2	1	0	1	2	2	0	2	1	1	1	0	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	100	4	2	8	9	5	2	3	5	3	5	6	3	3	3	4	3	4	4	5	5	3	1	5	0	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	4	6	1	2	0	0	0	0	0	1	0	0	4	0	0	4	0	0	0	0	0	0	1	2	10	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	67	7	12	2	2	0	0	0	3	4	3	6	1	1	4	3	4	3	1	1	1	0	2	0	3	1	3									
		0.86%	0.98%	0.99%	0.48%	0.58%	0.00%	0.00%	0.00%	3.90%	1.51%	0.53%	1.18%	0.74%	0.66%	1.57%	0.99%	1.28%	1.44%	0.29%	0.88%	0.43%	0.00%	0.95%	0.00%	1.26%	0.90%	1.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	287	24	37	15	11	6	2	4	5	16	34	17	1	6	11	11	12	9	9	2	13	4	6	12	5	2	13									
		3.70%	3.37%	3.08%	3.61%	3.18%	2.91%	3.03%	3.13%	6.49%	6.04%	6.06%	3.35%	0.74%	3.97%	4.31%	3.65%	3.85%	4.33%	2.59%	1.75%	5.63%	5.06%	2.84%	4.15%	2.10%	1.80%	4.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	10	11	3	7	0	0	0	0	1	7	6	0	1	3	0	1	1	4	3	0	1	3	6	2	0	6									
		0.98%	1.40%	0.92%	0.72%	2.02%	0.00%	0.00%	0.00%	0.00%	0.38%	1.25%	1.18%	0.00%	0.66%	1.18%	0.00%	0.32%	0.48%	1.15%	2.63%	0.00%	1.27%	1.42%	2.08%	0.84%	0.00%	2.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4106	317	564	194	154	144	48	103	34	120	275	229	63	113	155	170	181	114	238	72	127	53	122	165	138	69	144									
