Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Спасская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265					
1	"Число избирателей, внесенных в списки избирателей"	22456	1126	104	541	180	494	824	384	820	839	444	127	236	424	193	278	128	467	340	104	90	162	138	211	293	266	881	820	1058	382	164	1060	936	1551	1133	383	246	170	516	1271	1132	1540					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20280	1000	94	522	179	450	700	350	750	800	430	122	200	400	210	260	121	427	310	120	89	158	141	195	260	260	840	750	950	350	170	950	900	1300	1000	350	350	172	450	1100	1000	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13541	633	84	371	132	341	374	223	576	442	306	86	136	366	50	227	77	320	245	71	58	120	101	149	150	219	568	481	673	237	82	644	469	833	604	253	181	93	336	731	639	860					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1708	79	7	47	5	27	285	27	14	68	28	13	25	24	117	21	8	32	25	0	7	4	3	4	39	0	43	59	80	18	9	58	103	58	39	13	20	14	40	105	100	40					
6	Число погашенных избирательных бюллетеней	5008	288	3	104	42	82	41	100	160	290	96	23	39	10	43	12	36	75	40	49	24	34	37	42	71	41	229	210	197	95	79	248	328	409	357	84	149	65	74	264	238	200					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1731	79	7	47	5	27	285	27	14	68	28	13	25	24	117	21	8	32	25	0	7	4	3	4	39	0	43	59	80	18	9	58	103	58	39	13	20	14	40	105	123	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13539	633	84	371	132	341	374	223	575	442	306	86	136	366	50	227	77	320	245	71	58	120	101	149	150	219	568	481	672	237	82	644	469	833	604	253	181	93	336	731	639	860					
9	Число недействительных избирательных бюллетеней	184	6	0	7	2	0	16	6	10	7	2	2	0	2	0	2	0	1	4	0	2	0	2	1	5	0	2	10	12	1	1	6	8	6	10	7	5	3	5	9	8	14					
10	Число действительных избирательных бюллетеней	15086	706	91	411	135	368	643	244	579	503	332	97	161	388	167	246	85	351	266	71	63	124	102	152	184	219	609	530	740	254	90	696	564	885	633	259	196	104	371	827	754	886					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	690	20	5	15	5	20	15	14	20	25	10	5	5	10	0	5	5	10	10	5	5	5	5	5	10	10	30	25	25	10	5	35	35	56	50	10	10	5	15	50	40	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	389	17	0	15	1	20	10	11	11	14	10	1	5	10	0	2	2	3	6	3	4	2	3	1	10	10	22	5	16	3	5	13	6	11	14	10	9	2	11	33	40	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	260	7	6	6	3	5	22	10	12	6	2	5	5	3	5	5	4	3	4	2	1	1	2	3	4	3	8	4	6	10	2	9	7	15	11	4	5	5	9	5	19	12					
14	Число погашенных неиспользованных открепительных удостоверений	301	3	5	0	4	0	5	3	9	11	0	4	0	0	0	3	3	7	4	2	1	3	2	4	0	0	8	20	9	7	0	22	29	45	36	0	1	3	4	17	0	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	1.Политическая партия «Аграрная партия России»	422	35	1	16	6	21	16	11	0	13	14	0	3	7	9	4	2	5	13	1	2	1	0	4	7	11	15	17	23	5	3	14	12	35	14	4	4	3	23	16	15	17					
		2.76%	4.92%	1.10%	3.83%	4.38%	5.71%	2.43%	4.40%	0.00%	2.55%	4.19%	0.00%	1.86%	1.79%	5.39%	1.61%	2.35%	1.42%	4.81%	1.41%	3.08%	0.81%	0.00%	2.61%	3.70%	5.02%	2.45%	3.15%	3.06%	1.96%	3.30%	1.99%	2.10%	3.93%	2.18%	1.50%	1.99%	2.80%	6.12%	1.91%	1.97%	1.89%					
19	2.Всероссийская политическая партия «Гражданская Сила»	63	0	2	3	1	3	6	1	3	3	0	0	1	1	1	0	0	0	0	0	0	0	1	0	4	1	4	1	3	1	0	2	3	2	4	2	0	1	1	0	2	6					
		0.41%	0.00%	2.20%	0.72%	0.73%	0.82%	0.91%	0.40%	0.51%	0.59%	0.00%	0.00%	0.62%	0.26%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	2.12%	0.46%	0.65%	0.19%	0.40%	0.39%	0.00%	0.28%	0.52%	0.22%	0.62%	0.75%	0.00%	0.93%	0.27%	0.00%	0.26%	0.67%					
20	3.Политическая партия «Демократическая партия России»	13	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1					
		0.09%	0.14%	0.00%	0.00%	0.00%	0.00%	0.15%	0.40%	0.17%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.13%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.26%	0.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1359	44	13	33	9	45	34	19	27	71	8	4	16	10	19	7	3	15	27	1	11	2	13	16	31	7	46	81	89	32	33	79	57	103	59	27	11	8	37	84	54	74					
		8.90%	6.18%	14.29%	7.89%	6.57%	12.23%	5.16%	7.60%	4.58%	13.92%	2.40%	4.04%	9.94%	2.56%	11.38%	2.82%	3.53%	4.26%	10.00%	1.41%	16.92%	1.61%	12.50%	10.46%	16.40%	3.20%	7.53%	15.00%	11.84%	12.55%	36.26%	11.25%	9.97%	11.56%	9.18%	10.15%	5.47%	7.48%	9.84%	10.05%	7.09%	8.22%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	37	2	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	3	6	2	1	0	1	0	0	4	2	3					
