Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Северо-Байкальская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529					
1	"Число избирателей, внесенных в список избирателей"	11866	1097	548	1098	907	623	524	251	649	576	510	524	281	975	881	725	432	474	433	358					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10744	968	501	994	826	572	498	228	595	513	473	492	255	882	746	648	395	430	396	332					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	35	0	5	20	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5941	463	243	479	411	332	360	167	319	355	366	362	189	414	393	254	156	188	280	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	381	39	15	32	25	14	50	14	7	9	16	15	13	19	7	20	25	7	46	8					
6	Число погашенных избирательных бюллетеней	4387	466	238	463	390	226	88	37	269	149	91	115	53	449	346	374	214	235	70	114					
7	Число избирательных бюллетеней в переносных ящиках для голосования	416	39	20	52	25	14	50	24	7	9	16	15	13	19	7	20	25	7	46	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5941	463	243	479	411	332	360	167	319	355	366	362	189	414	393	254	156	188	280	210					
9	Число недействительных избирательных бюллетеней	74	8	2	9	4	2	9	2	3	6	2	0	1	5	6	5	0	4	3	3					
10	Число действительных избирательных бюллетеней	6283	494	261	522	432	344	401	189	323	358	380	377	201	428	394	269	181	191	323	215					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	11	5	12	15	15	10	60	5	8	35	25	25	10	20	10	5	5	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	211	5	5	12	15	11	10	60	5	8	22	23	5	3	4	2	2	0	15	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	4	1	0	3	2	2	4	5	5	6	3	5	1	8	5	0	1	7	2					
14	Число погашенных неиспользованных открепительных удостоверений	85	6	0	0	0	4	0	0	0	0	13	2	20	7	16	8	3	5	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	845	81	43	67	67	47	38	24	38	35	37	36	24	80	95	40	21	19	24	29					
		13.29%	16.14%	16.35%	12.62%	15.37%	13.58%	9.27%	12.57%	11.66%	9.62%	9.69%	9.55%	11.88%	18.48%	23.75%	14.60%	11.60%	9.74%	7.36%	13.30%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	935	91	47	86	65	57	44	19	42	50	49	54	30	75	57	38	32	23	26	50					
		14.71%	18.13%	17.87%	16.20%	14.91%	16.47%	10.73%	9.95%	12.88%	13.74%	12.83%	14.32%	14.85%	17.32%	14.25%	13.87%	17.68%	11.79%	7.98%	22.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	8	4	6	5	5	7	0	2	5	1	4	1	5	5	4	1	2	4	3					
		1.13%	1.59%	1.52%	1.13%	1.15%	1.45%	1.71%	0.00%	0.61%	1.37%	0.26%	1.06%	0.50%	1.15%	1.25%	1.46%	0.55%	1.03%	1.23%	1.38%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1426	104	57	146	85	93	90	23	53	107	91	113	23	101	104	58	39	34	56	49					
		22.43%	20.72%	21.67%	27.50%	19.50%	26.88%	21.95%	12.04%	16.26%	29.40%	23.82%	29.97%	11.39%	23.33%	26.00%	21.17%	21.55%	17.44%	17.18%	22.48%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	100	9	9	18	8	4	2	2	4	8	0	7	2	7	9	2	4	3	0	2					
		1.57%	1.79%	3.42%	3.39%	1.83%	1.16%	0.49%	1.05%	1.23%	2.20%	0.00%	1.86%	0.99%	1.62%	2.25%	0.73%	2.21%	1.54%	0.00%	0.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2873	197	100	197	199	138	220	121	184	151	200	160	121	156	122	124	84	110	210	79					
		45.19%	39.24%	38.02%	37.10%	45.64%	39.88%	53.66%	63.35%	56.44%	41.48%	52.36%	42.44%	59.90%	36.03%	30.50%	45.26%	46.41%	56.41%	64.42%	36.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	32	4	1	2	3	0	0	0	0	2	2	3	0	4	2	3	0	0	3	3					
		0.50%	0.80%	0.38%	0.38%	0.69%	0.00%	0.00%	0.00%	0.00%	0.55%	0.52%	0.80%	0.00%	0.92%	0.50%	1.09%	0.00%	0.00%	0.92%	1.38%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
