Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Билибинская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5629	1440	963	1555	466	346	166	316	136	241									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5695	1400	950	1500	420	515	223	282	134	271									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	241	0	0	28	47	73	31	32	12	18									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2583	715	402	595	151	206	128	156	86	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	80	2	5	42	2	12	3	10	0	4									
6	Число погашенных избирательных бюллетеней	2791	683	543	835	220	224	61	84	36	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	321	2	5	70	49	85	34	42	12	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2582	715	402	595	151	205	128	156	86	144									
9	Число недействительных избирательных бюллетеней	211	23	18	37	4	12	3	8	42	64									
10	Число действительных избирательных бюллетеней	2692	694	389	628	196	278	159	190	56	102									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	20	20	20	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	11	2	0	5	0	1	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	11	3	2	1	1	0	0	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	139	18	20	15	15	14	14	13	15	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	10	6	5	3	1	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	44	6	9	13	2	6	2	3	0	3									
		1.52%	0.84%	2.21%	1.95%	1.00%	2.07%	1.23%	1.52%	0.00%	1.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	66	13	6	20	5	6	2	10	0	4									
		2.27%	1.81%	1.47%	3.01%	2.50%	2.07%	1.23%	5.05%	0.00%	2.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	77	17	12	19	4	10	2	6	0	7									
		2.65%	2.37%	2.95%	2.86%	2.00%	3.45%	1.23%	3.03%	0.00%	4.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1243	294	165	265	94	169	103	67	43	43									
		42.82%	41.00%	40.54%	39.85%	47.00%	58.28%	63.58%	33.84%	43.88%	25.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	12	3	3	1	0	1	4	0	1									
		0.86%	1.67%	0.74%	0.45%	0.50%	0.00%	0.62%	2.02%	0.00%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	2	2	0	0	0	0	0	0	0									
		0.14%	0.28%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	677	194	122	158	47	50	36	34	10	26									
		23.32%	27.06%	29.98%	23.76%	23.50%	17.24%	22.22%	17.17%	10.20%	15.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	3	0	6	2	0	1	0	0	0									
		0.41%	0.42%	0.00%	0.90%	1.00%	0.00%	0.62%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	8	4	3	1	1	0	2	0	0									
		0.65%	1.12%	0.98%	0.45%	0.50%	0.34%	0.00%	1.01%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	1	0	1	0	0	1									
		0.10%	0.00%	0.00%	0.00%	0.50%	0.00%	0.62%	0.00%	0.00%	0.60%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	11	1	2	0	2	0	1	0	0									
		0.59%	1.53%	0.25%	0.30%	0.00%	0.69%	0.00%	0.51%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	386	105	50	110	28	20	8	50	2	13									
		13.30%	14.64%	12.29%	16.54%	14.00%	6.90%	4.94%	25.25%	2.04%	7.83%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	7	4	4	1	2	1	0	0	0									
		0.65%	0.98%	0.98%	0.60%	0.50%	0.69%	0.62%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	100	22	11	25	10	12	2	13	1	4									
		3.44%	3.07%	2.70%	3.76%	5.00%	4.14%	1.23%	6.57%	1.02%	2.41%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
