Выборы Президента Российской Федерации																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																			
																																																																																																																			
Итоги голосования 																																																																																																																			
																																																																																																																			
		Сумма	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236	УИК  1237	УИК  1238	УИК  1239	УИК  1240	УИК  1241	УИК  1242	УИК  1243	УИК  1244	УИК  1245	УИК  1246	УИК  1247	УИК  1248	УИК  1249	УИК  1250	УИК  1251	УИК  1252	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270	УИК  1271	УИК  1272	УИК  1273	УИК  1274	УИК  1275	УИК  1276	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303					
1	"Число избирателей, внесенных в список"	194085	1120	963	2612	2986	1620	706	2076	1444	2391	1340	2468	2557	2979	1526	1180	1660	2085	2097	2161	746	1790	2952	790	1556	2316	2735	1849	1650	1789	1597	2010	2792	1197	2583	623	2100	1243	2853	2098	1087	1648	1948	1300	2157	1266	2593	1320	1831	1248	2556	1516	1931	1599	1870	1294	1452	1007	963	2128	2105	2463	2399	2537	1647	1664	2063	2595	2087	2589	2766	1575	2254	1657	1682	1503	1320	1033	2700	1596	2039	2333	2646	2190	1238	1533	2098	1045	1177	1133	2350	2229	2605	2115	1285	2650	2121	2064	50	780	1834	2446	2882	25	1273	1113	1521	793	328					
2	Число полученных избирательных бюллетеней	187533	1102	900	2599	2800	1500	601	1995	1409	2300	1199	2380	2500	2800	1400	1200	1702	1992	2000	2004	700	1598	2792	798	1600	2291	2700	1704	1600	1700	1500	2000	2700	1100	2500	599	2090	1300	2700	2000	1000	1606	1900	1300	2197	1200	2500	1300	1894	1204	2500	1500	1800	1600	1900	1300	1500	993	900	2022	2100	2400	2400	2400	1600	1600	2100	2500	2100	2500	2700	1494	2200	1600	1600	1403	1199	1000	2600	1493	1900	2304	2498	2000	1200	1500	1996	1000	1100	1100	2200	2100	2495	1996	1200	2596	2000	1999	60	998	1700	2400	2907	30	1201	1098	1500	695	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	163953	947	827	2287	2753	1384	571	1750	1203	2119	1154	2059	2216	2432	1307	960	1222	1725	1818	1820	629	1538	2313	611	1313	2045	2330	1559	1432	1548	1202	1724	2305	1001	2240	532	1924	1064	2477	1725	845	1530	1613	1094	1747	882	2174	1055	1578	1053	2113	1306	1549	1423	1605	1083	1219	863	816	1917	1754	2059	2027	2225	1394	1358	1722	2308	1558	2146	2366	1376	1998	1383	1396	1132	1141	898	2037	1347	1678	2037	2213	1892	1005	1278	1589	887	1016	945	1966	1863	2274	1866	1099	2251	1795	1794	50	780	1565	2080	2541	25	1074	973	1373	633	255					
5	"Число избирательных бюллетеней, выданных вне помещения"	4728	26	0	8	9	55	22	82	41	54	13	57	52	130	37	43	213	47	23	19	15	21	18	61	13	17	24	40	14	44	204	42	69	37	27	25	24	28	30	38	114	47	43	11	172	196	15	67	24	19	70	14	31	32	25	19	22	11	26	25	142	47	15	18	26	11	43	29	78	31	46	27	52	27	34	39	9	17	312	24	76	54	65	67	48	28	230	15	13	21	46	111	23	21	6	2	12	12	0	0	25	4	14	0	18	11	5	45	24					
6	Число погашенных избирательных бюллетеней	18852	129	73	304	38	61	8	163	165	127	32	264	232	238	56	197	267	220	159	165	56	39	461	126	274	229	346	105	154	108	94	234	326	62	233	42	142	208	193	237	41	29	244	195	278	122	311	178	292	132	317	180	220	145	270	198	259	119	58	80	204	294	358	157	180	231	335	163	464	323	288	91	150	190	170	232	49	85	251	122	146	213	220	41	147	194	177	98	71	134	188	126	198	109	95	343	193	193	10	218	110	316	352	5	109	114	122	17	21					
7	Число избирательных бюллетеней в переносных ящиках	4728	26	0	8	9	55	22	82	41	54	13	57	52	130	37	43	213	47	23	19	15	21	18	61	13	17	24	40	14	44	204	42	69	37	27	25	24	28	30	38	114	47	43	11	172	196	15	67	24	19	70	14	31	32	25	19	22	11	26	25	142	47	15	18	26	11	43	29	78	31	46	27	52	27	34	39	9	17	312	24	76	54	65	67	48	28	230	15	13	21	46	111	23	21	6	2	12	12	0	0	25	4	14	0	18	11	5	45	24					
8	Число бюллетеней в стационарных ящиках для голосования	163894	947	827	2287	2753	1384	571	1750	1203	2119	1154	2059	2216	2432	1307	960	1222	1725	1818	1820	629	1538	2295	611	1313	2045	2306	1559	1432	1548	1202	1724	2305	1001	2240	532	1924	1064	2477	1725	845	1530	1613	1094	1747	882	2174	1055	1578	1053	2113	1306	1549	1423	1605	1083	1219	863	816	1917	1754	2059	2027	2225	1394	1358	1722	2308	1558	2146	2366	1376	1998	1383	1396	1132	1141	881	2037	1347	1678	2037	2213	1892	1005	1278	1589	887	1016	945	1966	1863	2274	1866	1099	2251	1795	1794	50	780	1565	2080	2541	25	1074	973	1373	633	255					
9	Число недействительных избирательных бюллетеней	520	0	0	0	29	0	0	0	0	5	0	0	3	3	4	2	0	0	1	6	0	2	9	10	7	17	6	3	4	3	1	5	0	3	13	0	0	73	0	7	0	6	3	0	7	10	20	15	6	0	0	11	0	5	6	2	1	5	1	12	0	2	9	0	3	4	2	0	4	23	10	3	10	21	7	7	3	1	14	3	2	1	16	3	3	1	6	5	0	2	6	4	0	0	0	1	0	0	0	0	4	0	7	0	2	1	0	4	0					
10	Число действительных избирательных бюллетеней	168102	973	827	2295	2733	1439	593	1832	1244	2168	1167	2116	2265	2559	1340	1001	1435	1772	1840	1833	644	1557	2304	662	1319	2045	2324	1596	1442	1589	1405	1761	2374	1035	2254	557	1948	1019	2507	1756	959	1571	1653	1105	1912	1068	2169	1107	1596	1072	2183	1309	1580	1450	1624	1100	1240	869	841	1930	1896	2104	2033	2243	1417	1365	1763	2337	1632	2154	2402	1400	2040	1389	1423	1164	1147	897	2335	1368	1752	2090	2262	1956	1050	1305	1813	897	1029	964	2006	1970	2297	1887	1105	2252	1807	1806	50	780	1586	2084	2548	25	1090	983	1378	674	279					
