Выборы Президента Российской Федерации																																																																																																																										
Дата голосования: 04.03.2012																																																																																																																										
																																																																																																																										
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																										
																																																																																																																										
Сводная таблица итогов голосования																																																																																																																										
																																																																																																																										
	Число участковых избирательных комиссий	111																																																																																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	111																																																																																																																								
																																																																																																																										
		Сумма	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744									
1	Число избирателей, включенных в список избирателей	207922	2751	1571	2251	2655	2250	815	2015	1525	2458	1255	2090	2100	3015	1770	1206	2081	2009	2314	1825	528	2027	2124	870	2156	2398	2517	1948	1665	1792	1840	2153	2337	1929	1943	1204	2168	1703	2902	2058	1044	1609	2196	1660	2042	1155	1506	1416	1911	1542	2462	1678	1923	1607	1740	1277	1944	1113	2479	2514	2030	2275	2594	2458	1550	1677	1745	1996	2170	1399	2603	1516	2360	1832	1526	1435	1775	1676	2552	1691	2022	2345	2648	2120	1230	1458	2441	1106	1162	1662	2286	2250	2576	2059	1330	2859	2523	2349	22	744	2635	2668	2490	11	1908	1258	2557	907	2443	2998	744	215									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	168748	2200	1200	1900	2150	1800	600	1650	1250	2000	1000	1600	1700	2350	1400	1000	1800	1700	2000	1450	500	1650	1750	750	1800	1950	2000	1600	1300	1400	1450	1700	1850	1500	1500	1000	1700	1450	2400	1750	950	1400	1750	1300	1600	900	1250	1100	1550	1100	2150	1450	1900	1300	1450	1000	1500	900	2100	1800	1650	1900	2100	2000	1250	1300	1400	1600	1700	1150	2100	1250	1900	1450	1250	1200	1450	1350	2050	1350	1600	1950	2200	1750	1000	1150	1950	900	950	1300	1900	1800	2150	1700	1100	2300	2100	1900	22	800	2100	2100	2000	11	1500	950	2150	800	1900	2300	600	215									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	118577	1636	913	1225	1541	1368	473	1425	748	1253	746	1254	1585	1923	926	639	1145	1229	1276	974	224	1091	1441	546	1163	1177	1337	1057	874	909	946	1105	1268	1015	1015	635	1103	897	1825	1525	483	959	1445	643	1278	584	843	707	1104	817	1543	880	958	775	1121	647	1039	592	1396	1384	1161	1293	1205	1279	739	816	1018	1271	1266	727	1488	1077	1290	1147	966	966	998	967	1663	1077	1156	1436	1401	1074	608	820	1394	690	689	1070	1444	1121	1488	1186	778	1490	1482	1186	22	744	1793	1445	1306	11	1421	898	1452	386	1313	1496	528	205									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3656	21	1	15	49	46	16	10	15	25	6	21	25	135	23	23	176	41	21	12	48	15	14	14	24	34	23	29	30	46	340	50	31	44	35	19	32	13	14	32	65	19	26	17	210	19	11	143	16	17	49	11	23	36	26	14	14	9	19	25	14	15	20	30	36	40	19	17	36	12	19	15	30	43	16	8	25	38	20	9	20	35	30	26	49	26	377	21	10	19	28	72	10	9	7	13	7	10	0	0	13	9	9	0	4	10	5	18	10	9	1	0									
6	Число погашенных избирательных бюллетеней	46515	543	286	660	560	386	111	215	487	722	248	325	90	292	451	338	479	430	703	464	228	544	295	190	613	739	640	514	396	445	164	545	551	441	450	346	565	540	561	193	402	422	279	640	112	297	396	250	430	266	558	559	919	489	303	339	447	299	685	391	475	592	875	691	475	444	363	312	398	411	593	158	580	260	268	226	427	345	367	264	424	479	769	650	343	304	179	189	251	211	428	607	652	505	315	797	611	704	0	56	294	646	685	0	75	42	693	396	577	795	71	10									
